,category_Fleiss_kappa
2091,1.0
2092,0.5833333333333333
2093,1.0
2094,1.0
2095,1.0
2096,1.0
2097,1.0
2098,1.0
2100,1.0
2102,1.0
2104,1.0
2113,1.0
2114,1.0
2119,1.0
2120,1.0
2127,0.76
2128,1.0
2139,1.0
2140,1.0
2141,1.0
2142,0.76
2143,0.423076923076923
2144,1.0
2145,1.0
2146,1.0
2147,1.0
2148,1.0
2149,1.0
2150,1.0
2152,1.0
2163,0.8136645962732919
2164,0.76
2168,0.8136645962732919
2170,1.0
2171,1.0
2172,1.0
2173,1.0
2174,1.0
2175,1.0
2176,1.0
2177,1.0
2178,1.0
2181,1.0
2182,1.0
2185,1.0
2186,1.0
2189,1.0
2190,1.0
2191,1.0
2192,1.0
2205,1.0
2206,1.0
2207,1.0
2208,0.5833333333333333
2209,1.0
2210,1.0
2217,1.0
2218,1.0
2219,1.0
2220,1.0
2222,1.0
2223,1.0
2224,-0.20000000000000057
2227,0.8136645962732919
2228,1.0
2229,1.0
2230,0.8136645962732919
2231,1.0
2232,1.0
2237,1.0
2245,1.0
2248,1.0
2250,1.0
2251,1.0
2252,0.8136645962732919
2253,0.5833333333333333
2254,0.6590909090909093
2255,1.0
2256,1.0
2257,1.0
2258,1.0
2259,1.0
2260,1.0
2261,1.0
2263,1.0
2264,1.0
2265,0.423076923076923
2266,1.0
2267,1.0
2270,1.0
2283,0.8412698412698413
2285,1.0
2286,1.0
2287,1.0
1668,-0.07142857142857194
1868,-0.1538461538461544
average,0.8443259972136489
