,Unnamed: 0,sql_id,nl_query,sql,GT_sql,tianyi_code,zhengn_code
33,33,942,Find the parties associated with the delegates from district 1. Who served as governors of the parties?,SELECT party.Party FROM party JOIN election ON party.Party_ID = election.Party WHERE election.District = 1,SELECT T2.Governor FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.District  =  1,"CE2, BF4","CE2, BF4"
34,34,1161,How many project staff worked as leaders or started working before '1989-04-24 23:51:54'?,"SELECT COUNT(*) FROM Project_Staff WHERE Project_Staff.date_from < ""1989-04-24 23 : 51 : 54"" OR Project_Staff.date_from < ""1989-04-24 23 : 51 : 54""",SELECT count(*) FROM Project_Staff WHERE role_code  =  'leader' OR date_from  <  '1989-04-24 23:51:54',"BL1, F3, F1, D1, BF4","BL1, F3, BF4, F4"
35,35,1199,Who has a friend that is from new york city?,"SELECT Person.name FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE Person.city = ""new york""",SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.friend WHERE T1.city  =  'new york city',"F3, F1, D1, BF4, D1c","D1c, F3, F4, BF4"
36,36,1066,What is average salary of the players in the team named 'Boston Red Stockings' ?,"SELECT AVG(player_college.year) FROM player_college WHERE player_college.college_id = ""Boston Red Stockings""",SELECT avg(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id_br WHERE T2.name  = 'Boston Red Stockings',"CL1, D1c","CL1, D1c"
37,37,1151,"When do all the researcher role staff start to work, and when do they stop working?","SELECT Project_Staff.date_from, Project_Staff.date_to FROM Project_Staff","SELECT date_from ,  date_to FROM Project_Staff WHERE role_code  =  'researcher'","CL1, F4","CL1, F4"
38,38,899,What are the countries that have at least two perpetrators?,SELECT perpetrator.Country FROM perpetrator GROUP BY perpetrator.Country HAVING COUNT(*) >= 2,"SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country HAVING COUNT(*)  >=  2","L5, F4, BL3","L5, F4, BL3"
39,39,854,What are the payment date of the payment with amount paid higher than 300 or with payment type is 'Check',"SELECT Payments.payment_date FROM Payments WHERE Payments.amount_paid_in_full_yn > 300 OR Payments.payment_type_code = ""Check""",SELECT payment_date FROM payments WHERE amount_paid  >  300 OR payment_type_code  =  'Check',"L5, BF4, BL3","L5, BF4"
40,40,780,"What are the the full names and ids for all customers, and how many accounts does each have?","SELECT Customers.customer_first_name, Customers.customer_middle_initial, COUNT(*), Customers.customer_id FROM Customers JOIN Accounts ON Customers.customer_id = Accounts.customer_id GROUP BY Customers.customer_id","SELECT T1.customer_id ,  T2.customer_first_name ,  T2.customer_last_name ,  count(*) FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id","BN1, BF4, BL3","CL1, BF4"
41,41,1290,Find the average hours for the students whose tryout decision is no.,"SELECT AVG(Tryout.decision) FROM Tryout WHERE Tryout.decision = ""no""",SELECT avg(T1.HS) FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'no',"BL3, BN1, CL1, CE2","BL1, CE2"
42,42,1149,Find the organisation ids and details of the organisations which are involved in,"SELECT Organisations.organisation_id, Organisations.organisation_details FROM Organisations","SELECT T2.organisation_id ,  T2.organisation_details FROM Grants AS T1 JOIN Organisations AS T2 ON T1.organisation_id  =  T2.organisation_id GROUP BY T2.organisation_id HAVING sum(T1.grant_amount)  >  6000","AN2, CL1, A1f","CL1, A1f, AN2"
43,43,229,List the position of players with average number of points scored by players of that position bigger than 20.,SELECT player.Position FROM player GROUP BY player.Position HAVING AVG(player.Points) > 20,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,"F1, AN2, BN1, CE2, A1f","CE2, BN1, A1f, AN2"
44,44,656,Find the name and capacity of products with price greater than 700 (in USD).,SELECT Catalog_Contents.capacity FROM Catalog_Contents WHERE Catalog_Contents.price_in_dollars > 700,"SELECT catalog_entry_name ,  capacity FROM Catalog_Contents WHERE price_in_dollars  >  700","BN1, F1, BL3","BN1, BL3"
45,45,713,What are the names of enzymes that include the string 'ALA'?,"SELECT enzyme.name FROM enzyme WHERE enzyme.name LIKE ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""","D1c, BL3","D1, BL3"
46,46,280,"Find the description of the club called ""Tennis Club"".","SELECT Club.ClubDesc FROM Club WHERE Club.ClubName = ""Tennis club""","SELECT clubdesc FROM club WHERE clubname  =  ""Tennis Club""","D1c, D1a","D1, D1a"
47,47,1069,List the first and last name for players who participated in all star game in 1998.,SELECT all_star.game_id FROM player_college JOIN all_star ON player_college.player_id = all_star.player_id WHERE all_star.year = 1998,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998","CE3, BL1, D1a","CL1, D1a"
48,48,592,"In 1980, how many cars were made?",SELECT COUNT(*) FROM car_names WHERE car_names.Model = 1980,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,"CE3, BF4",CF5
49,49,675,Count the number of tracks that are part of the rock genre.,"SELECT COUNT(*) FROM Genre JOIN Track ON Genre.GenreId = Track.GenreId WHERE Genre.Name = ""rock""","SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""","BF4, D1a","CF5, CL1, D1a"
50,50,967,Find the name and account balance of the customer whose name includes the letter ‘a’.,"SELECT customer.cust_name, customer.acc_bal FROM customer WHERE customer.cust_name LIKE ""% a %""","SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%'","D1c, D1a","D1, D1a"
51,51,414,What are the different cities that have more than 100 memberships?,SELECT member.Hometown FROM member GROUP BY member.Hometown HAVING COUNT(*) > 100,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,"O2, D1c, N3, CL1","BL3, D1, O2"
52,52,668,"Find the names of all the tracks that contain the word ""you"".","SELECT Track.Name FROM Track WHERE Track.Name LIKE ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',"N3, CL1",BL3
53,53,649,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.","SELECT Catalog_Contents.catalog_entry_name FROM Catalog_Contents WHERE Catalog_Contents.catalog_entry_name LIKE ""2 %""","SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",BF4,BF4
54,54,906,"What are the support, consider, and oppose rates of each candidate, ordered ascending by their unsure rate?","SELECT candidate.Support_rate, candidate.Oppose_rate FROM candidate ORDER BY candidate.Unsure_rate","SELECT Support_rate ,  Consider_rate ,  Oppose_rate FROM candidate ORDER BY unsure_rate","D1c, BF4, BL3","BF4, BL3"
55,55,698,What is the average unit price of rock tracks?,"SELECT AVG(Track.UnitPrice) FROM Genre JOIN Track ON Genre.GenreId = Track.GenreId WHERE Genre.Name = ""rock""","SELECT AVG(T2.UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""","BL3, D1a","BL3, D1a"
56,56,317,Find the person who has exactly one friend.,SELECT PersonFriend.friend FROM PersonFriend GROUP BY PersonFriend.name HAVING COUNT(*) = 1,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,"BL1, D1a","BL1, D1a"
57,57,757,Show the names of people and the number of times they have been on the affirmative side of debates.,"SELECT people.Name, COUNT(*) FROM debate_people JOIN people ON debate_people.Affirmative = people.People_ID WHERE debate_people.Affirmative = affirmative GROUP BY debate_people.Affirmative","SELECT T2.Name ,  COUNT(*) FROM debate_people AS T1 JOIN people AS T2 ON T1.Affirmative  =  T2.People_ID GROUP BY T2.Name","BL1, BN1, F4","BL1, F3, BN1"
58,58,761,Find the total and average amount paid in claim headers.,"SELECT SUM(Claim_Headers.Amount_Claimed), AVG(Claim_Headers.Amount_Claimed) FROM Claim_Headers","SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers","BL1, BN1, F4","BL1, BN1, F3"
59,59,851,"What are the first name, last name, and gender of all the good customers? Order by their last name.","SELECT Customers.first_name, Customers.last_name, Customers.gender_mf FROM Customers ORDER BY Customers.good_or_bad_customer","SELECT first_name ,  last_name ,  gender_mf FROM customers WHERE good_or_bad_customer  =  'good' ORDER BY last_name","BL1, K3, F4","BL1, F4"
60,60,1059,What are the names of all male British artists?,"SELECT artist.artist_name FROM artist WHERE artist.gender = ""British""","SELECT artist_name FROM artist WHERE country  =  ""UK"" AND gender  =  ""Male""","D1c, K3",D1
61,61,1046,What is the country of origin of the artist who is female and produced a song in Bangla?,"SELECT artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = ""female"" AND song.languages = ""Bangla""","SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female"" AND T2.languages  =  ""bangla""","D1c, F4, D1a","D1, F4, D1a"
62,62,1062,What are the average rating and resolution of songs that are in Bangla?,"SELECT AVG(song.rating), AVG(song.resolution) FROM song WHERE song.languages = ""Bangla""","SELECT avg(rating) ,  avg(resolution) FROM song WHERE languages  =  ""bangla""",,
63,63,1324,Give me a list of descriptions of the problems that are reported by the staff whose first name is Christop.,"SELECT Problems.problem_description FROM Staff JOIN Problem_Log ON Staff.staff_id = Problem_Log.assigned_to_staff_id JOIN Problems ON Problem_Log.problem_id = Problems.problem_id WHERE Staff.staff_first_name = ""Christop""","SELECT T1.problem_description FROM problems AS T1 JOIN staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE T2.staff_first_name = ""Christop""","CE3, E1, D1a","E1, D1a"
64,64,391,How many states that have some college students playing in the mid position but not in the goalie position.,"SELECT COUNT(*) FROM Tryout WHERE Tryout.pPos = ""mid"" AND Tryout.pPos != ""goalie""",SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),"A1d, CE3, E1","CE2, E1, A1d"
65,65,1010,"Give me the times and numbers of all trains that go to Chennai, ordered by time.","SELECT train.train_number, train.time FROM train WHERE train.origin = ""Chennai"" ORDER BY train.time","SELECT TIME ,  train_number FROM train WHERE destination  =  'Chennai' ORDER BY TIME","CE2, A1d, BF4","CE2, A1d, BF4"
66,66,762,What are the total amount and average amount paid in claim headers?,"SELECT SUM(Claim_Headers.Amount_Claimed), AVG(Claim_Headers.Amount_Piad) FROM Claim_Headers","SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers","BL1, BF4","BL1, BF4"
67,67,1246,"What are the total number of Domestic Passengers of airports that contain the word ""London"".","SELECT SUM(airport.Total_Passengers) FROM airport WHERE airport.Domestic_Passengers LIKE ""% London %""","SELECT sum(Domestic_Passengers) FROM airport WHERE Airport_Name LIKE ""%London%""",D1c,BF4
68,68,1068,What are first and last names of players participating in all star game in 1998?,"SELECT all_star.player_id, all_star.game_id FROM player_college JOIN all_star ON player_college.player_id = all_star.player_id WHERE all_star.year = 1998","SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998","BL1, D1c","BL1, CL1, BF4"
69,69,625,find id of the tv channels that from the countries where have more than two tv channels.,SELECT TV_Channel.Country FROM TV_Channel GROUP BY TV_Channel.Country HAVING COUNT(*) > 2,SELECT id FROM tv_channel GROUP BY country HAVING count(*)  >  2,BL1,"BL1, CL1"
70,70,971,Find the branch name of the bank that has the most number of customers.,SELECT bank.branch_ID FROM bank ORDER BY bank.no_of_customers DESC LIMIT 1,SELECT bname FROM bank ORDER BY no_of_customers DESC LIMIT 1,,
71,71,1057,"What are the names of all genres in alphabetical order, combined with its ratings?","SELECT genre.g_name, genre.rating FROM genre ORDER BY genre.rating","SELECT g_name ,  rating FROM genre ORDER BY g_name","BL1, K3","BL1, BN1"
72,72,992,What are the names and cities of bank branches that offer loans for business?,"SELECT loan.branch_ID, bank.city FROM bank JOIN loan ON bank.branch_ID = loan.branch_ID","SELECT T1.bname ,  T1.city FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.loan_type  =  'Business'","CL1, K3","BN1, CL1, F4"
73,73,5,Find the names of all the catalog entries.,SELECT Catalogs.catalog_name FROM Catalogs,SELECT distinct(catalog_entry_name) FROM catalog_contents,"A1b, CL1","CL1, A1b, F4"
74,74,1173,How many people whose age is greater 30 and job is engineer?,"SELECT COUNT(*) FROM Person WHERE Person.age > 30 AND Person.job = ""VALUE""",SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer',"A1b, D1, CL1","CL1, D1, A1b"
75,75,1174,HOw many engineers are older than 30?,SELECT COUNT(*) FROM Person WHERE Person.age > 30,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer',"D1, F4","D1, F4"
76,76,821,Find the total checking and saving balance of all accounts sorted by the total balance in ascending order.,"SELECT ""CHECKING"", CHECKING.balance FROM CHECKING ORDER BY CHECKING.balance ASC",SELECT T1.balance + T2.balance FROM checking AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid ORDER BY T1.balance + T2.balance,"BL1, CE2, F4","L5, CE2, F4"
77,77,711,"What are the different names, locations, and products of the enzymes that are capable inhibitor interactions?","SELECT enzyme.name, enzyme.Location, enzyme.Product FROM enzyme JOIN medicine_enzyme_interaction ON enzyme.id = medicine_enzyme_interaction.enzyme_id WHERE medicine_enzyme_interaction.interaction_type = ""VALUE""","SELECT DISTINCT T1.name ,  T1.location ,  T1.product FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.enzyme_id  =  T1.id WHERE T2.interaction_type  =  'inhibitor'","BL1, D1, CE2","L5, D1, CE2"
78,78,1158,What is the type of the document whose description starts with the word 'Initial'?,"SELECT Documents.document_type_code FROM Document_Types JOIN Documents ON Document_Types.document_type_code = Documents.document_type_code WHERE Document_Types.document_description LIKE ""% Initial %""",SELECT document_type_code FROM Document_Types WHERE document_description LIKE 'Initial%',"D1c, D1","D1c, D1"
79,79,1157,Which document type is described with the prefix 'Initial'?,"SELECT Document_Types.document_description FROM Document_Types WHERE Document_Types.document_description LIKE ""% Initial %""",SELECT document_type_code FROM Document_Types WHERE document_description LIKE 'Initial%',BL1,BL1
80,80,1004,Which staff have contacted which engineers? List the staff name and the engineer first name and last name.,"SELECT Staff.staff_name, Maintenance_Engineers.last_name FROM Staff JOIN Engineer_Visits ON Staff.staff_id = Engineer_Visits.contact_staff_id JOIN Maintenance_Engineers ON Engineer_Visits.engineer_id = Maintenance_Engineers.engineer_id","SELECT T1.staff_name ,  T3.first_name ,  T3.last_name FROM Staff AS T1 JOIN Engineer_Visits AS T2 ON T1.staff_id  =  T2.contact_staff_id JOIN Maintenance_Engineers AS T3 ON T2.engineer_id  =  T3.engineer_id","D1c, BL1, BL3","D1c, BL1, BL3"
81,81,1145,"Find the titles and studios of the films that are produced by some film studios that contained the word ""Universal"".","SELECT film.Title, film.Studio FROM film WHERE film.Studio LIKE ""% Universal %""","SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""","D1c, BL3","D1, BL3"
82,82,866,List roles that have more than one employee. List the role description and number of employees.,"SELECT Roles.role_description, COUNT(*) FROM Employees JOIN Roles ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING COUNT(*) > 1","SELECT Roles.role_description , count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING count(Employees.employee_id)  >  1;","D1c, BL1","BL1, D1"
83,83,304,List the description of the outcomes for all projects.,SELECT Research_Outcomes.outcome_description FROM Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,"BL1, E1","BL1, CE2"
84,84,240,What are the id of all the files in mp3 format?,"SELECT files.file_size FROM files WHERE files.formats = ""mp3""","SELECT f_id FROM files WHERE formats  =  ""mp3""","BL1, E1","BL1, CE2"
85,85,279,"What is the description of the club named ""Tennis Club""?","SELECT Club.ClubDesc FROM Club WHERE Club.ClubName = ""Tennis club""","SELECT clubdesc FROM club WHERE clubname  =  ""Tennis Club""","BL1, D1a","BL1, D1a"
