,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengning,zhengn_code
436,select count ( state ) from bank,Find the number of different states which banks are located at.,SELECT count(DISTINCT state) FROM bank,tianyi,A1b,zhengning,A1b
437,select count ( state ) from bank,In how many different states are banks located?,SELECT count(DISTINCT state) FROM bank,tianyi,A1b,zhengning,A1b
438,select Position from player where Position > 20 group by Position having avg ( Points ) > 1,List the position of players with average number of points scored by players of that position bigger than 20.,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,tianyi,"D1, BN1, F3",zhengning,"D1, BN1, F3"
439,select Position from player where Position > ( select avg ( Points ) from player group by Position,What are the positions of players whose average number of points scored by that position is larger than 20?,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,tianyi,O1,zhengning,O1
440,select Position from player where Position > ( select avg ( Points ) from player group by Position,What are the positions of players whose average number of points scored by that position is larger than 20?,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,tianyi,"KA1b, CL1, A1b, F4, D1c",zhengning,"BL2, N3, AN2, I2, O3, BK1, BE5, CE2, Q1, CM6, BN1, L5, nan, A2c, KA1b, CL1, A1b, F4, D1c"
441,select Competition_type from competition group by Competition_type order by count ( * ) desc limit 5,What are the types of competition that have most 5 competitions for that type?,SELECT Competition_type FROM competition GROUP BY Competition_type HAVING COUNT(*)  <=  5,tianyi,"O1, K2, nan, Q1, N3",zhengning,"O1, K2, nan, Q1, N3"
442,select Points from player,Show total points of all players.,SELECT sum(Points) FROM player,tianyi,L5,zhengning,L5
443,select count ( Position ) from player,how many different positions are there?,SELECT count(DISTINCT POSITION) FROM player,tianyi,A1b,zhengning,A1b
444,select count ( Position ) from player,How many different position for players are listed?,SELECT count(DISTINCT POSITION) FROM player,tianyi,A1b,zhengning,A1b
445,"select song_name from song where languages = ""English""",Find the names of all English songs.,"SELECT song_name FROM song WHERE languages  =  ""english""",tianyi,D1a,zhengning,D1a
446,"select song_name from song where languages = ""English""",What are the names of all songs in English?,"SELECT song_name FROM song WHERE languages  =  ""english""",tianyi,D1a,zhengning,D1a
447,"select formats from files where formats = ""mp3""",What are the id of all the files in mp3 format?,"SELECT f_id FROM files WHERE formats  =  ""mp3""",tianyi,BL1,zhengning,BL1
448,"select count ( * ) from artist where country = ""Bangladeshi""",How many Bangladeshi artists are listed?,"SELECT count(*) FROM artist WHERE country  =  ""Bangladesh""",tianyi,D1,zhengning,D1
449,select count ( * ) from company where Headquarters = 1,How many companies are headquartered in the US?,SELECT count(*) FROM company WHERE Headquarters  =  'USA',tianyi,D1,zhengning,D1
450,select Country from market group by Country order by count ( * ) desc,List all countries of markets in descending order of number of cities.,SELECT Country FROM market ORDER BY Number_cities DESC,tianyi,"N3, BK1",zhengning,"N3, BK1"
451,select Country from market group by Country order by count ( * ) desc,What are the countries for each market ordered by decreasing number of cities?,SELECT Country FROM market ORDER BY Number_cities DESC,tianyi,"N3, BK1",zhengning,"N3, BK1"
452,select Studio from film group by avg ( Gross_in_dollar ) > 4500000,List the studios which average gross is above 4500000.,SELECT Studio FROM film GROUP BY Studio HAVING avg(Gross_in_dollar)  >=  4500000,tianyi,"O1, BN1",zhengning,"O1, BN1"
453,select Fname from Student,What are the first names of all the students?,SELECT DISTINCT fname FROM student,tianyi,A1b,zhengning,A1b
454,select Fname from Student,Find each student's first name.,SELECT DISTINCT fname FROM student,tianyi,A1b,zhengning,A1b
455,select count ( * ) from Staff_Roles,How many kinds of roles are there for the staff?,SELECT count(DISTINCT role_code) FROM Project_Staff,tianyi,"BL1, CM6",zhengning,"BL1, CM6"
456,select count ( role_code ) from Project_Staff,How many different roles are there on the project staff?,SELECT count(DISTINCT role_code) FROM Project_Staff,tianyi,BL1,zhengning,BL1
457,"select T5.role_description , T7.organisation_type_description from Research_Outcomes as T1 join Project_Outcomes as T2 on T1.outcome_code = T2.outcome_code join Projects as T3 on T2.project_id = T3.project_id join Project_Staff as T4 on T3.project_id = T4.project_id join Staff_Roles as T5 on T4.role_code = T5.role_code join Organisations as T6 on T3.organisation_id = T6.organisation_id join Organisation_Types as T7 on T6.organisation_type = T7.organisation_type where T1.outcome_description = 1",What is the complete description of the researcher role.,SELECT role_description FROM Staff_Roles WHERE role_code  =  'researcher',tianyi,"CL1, D1, BL2",zhengning,"CL1, D1, BL2"
458,select sum ( organisation_type_description ) from Organisation_Types,What is the complete description of the job of a researcher?,SELECT role_description FROM Staff_Roles WHERE role_code  =  'researcher',tianyi,"F4, L4, BL1, CM6",zhengning,"F4, L4, BL1, CM6"
459,select count ( * ) from Project_Outcomes,How many Patent outcomes are generated from all the projects?,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tianyi,F4,zhengning,F4
0,select avg ( Num_Employees ) from department where between 10 and 15,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,tianyi,BF4,zhengning,"F4, E1, D1"
1,select name from head where born_state = 'California',What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state != 'California',tianyi,F1,zhengning,A1a
2,select count ( temporary_acting ) from management,How many acting statuses are there?,SELECT count(DISTINCT temporary_acting) FROM management,tianyi,A1b,zhengning,A1b
3,select catalog_name from Catalogs,What are all the catalog entry names?,SELECT distinct(catalog_entry_name) FROM catalog_contents,tianyi,"CL1, BL1, A1b",zhengning,"CL1, A1b"
4,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( * ) > 1,Find the dates on which more than one revisions were made.,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,tianyi,BN1,zhengning,L5
5,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( date_of_latest_revision ) > 1,On which days more than one revisions were made on catalogs.,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,tianyi,L4,zhengning,"L5, L4, A1f"
6,select count ( catalog_name ) from Catalogs,How many products are there in the records?,SELECT count(*) FROM catalog_contents,tianyi,CL1,zhengning,"CL1, BL1"
7,select BillingCountry from Invoice,What are the distinct billing countries of the invoices?,SELECT distinct(BillingCountry) FROM INVOICE,tianyi,A1b,zhengning,A1b
8,select BillingCountry from Invoice,Find the different billing countries for all invoices.,SELECT distinct(BillingCountry) FROM INVOICE,tianyi,A1b,zhengning,A1b
9,select avg ( UnitPrice ) from InvoiceLine,What is the average unit price of all the tracks?,SELECT AVG(UnitPrice) FROM TRACK,tianyi,CL1,zhengning,CL1
10,select avg ( UnitPrice ) from InvoiceLine,Find the average unit price for a track.,SELECT AVG(UnitPrice) FROM TRACK,tianyi,CL1,zhengning,CL1
11,select count ( City ) from Employee,How many distinct cities does the employees live in?,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,tianyi,A1b,zhengning,A1b
12,select count ( City ) from Employee,Find the number of different cities that employees live in.,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,tianyi,A1b,zhengning,A1b
13,select UnitPrice from InvoiceLine,What are the distinct unit prices of all tracks?,SELECT distinct(UnitPrice) FROM TRACK,tianyi,"A1b, CL1",zhengning,"CL1, A1b"
14,select UnitPrice from InvoiceLine,Find the distinct unit prices for tracks.,SELECT distinct(UnitPrice) FROM TRACK,tianyi,"CL1, A1b",zhengning,"A1b, CL1"
15,"select max ( OMIM ) from enzyme where Porphyria = ""mandelim""",What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,SELECT max(OMIM) FROM enzyme,tianyi,F4,zhengning,F4
16,select name from enzyme except select name from enzyme where Porphyria = 'Heme',What are the names of enzymes who does not produce 'Heme'?,SELECT name FROM enzyme WHERE product != 'Heme',tianyi,"F1, A2c",zhengning,A1d
17,select count ( * ) from medicine where FDA_approved != ',How many medicines were not approved by the FDA?,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',tianyi,"F1, D1",zhengning,D1
18,select count ( FDA_approved ) from medicine,How many distinct FDA approval statuses are there for the medicines?,SELECT count(DISTINCT FDA_approved) FROM medicine,tianyi,A1b,zhengning,A1b
19,select count ( FDA_approved ) from medicine,How many different FDA approval statuses exist for medicines?,SELECT count(DISTINCT FDA_approved) FROM medicine,tianyi,A1b,zhengning,A1b
20,select count ( Affiliation ) from university,Find how many different affiliation types there are.,SELECT count(DISTINCT affiliation) FROM university,tianyi,A1b,zhengning,A1b
21,select count ( Affiliation ) from university,Count the number of different affiliation types.,SELECT count(DISTINCT affiliation) FROM university,tianyi,A1b,zhengning,A1b
22,select Venue from debate,Show the distinct venues of debates,SELECT DISTINCT Venue FROM debate,tianyi,A1b,zhengning,A1b
23,select Customer_Details from Customers order by limit 1,List the names of all the customers in alphabetical order.,SELECT customer_details FROM customers ORDER BY customer_details,tianyi,"BK1, Q1",zhengning,"BK1, Q1"
24,select Customer_Details from Customers order by limit 1,Sort the customer names in alphabetical order.,SELECT customer_details FROM customers ORDER BY customer_details,tianyi,"BK1, Q1",zhengning,"BK1, Q1"
25,select count ( Claim_Stage_ID ) from Claims_Processing,Find the number of distinct stages in claim processing.,SELECT count(*) FROM claims_processing_stages,tianyi,"CL1, BL1",zhengning,"CL1, BL3"
26,select count ( Claim_Outcome_Code ) from Claims_Processing,How many distinct claim outcome codes are there?,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,tianyi,A1b,zhengning,"BL1, A1b"
27,select count ( Claim_Outcome_Code ) from Claims_Processing,Count the number of distinct claim outcome codes.,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,tianyi,A1b,zhengning,A1b
28,select count ( customer_id ) from Accounts,How many customers have opened an account?,SELECT count(DISTINCT customer_id) FROM Accounts,tianyi,A1b,zhengning,A1b
29,select count ( customer_id ) from Accounts,Count the number of customers who have an account.,SELECT count(DISTINCT customer_id) FROM Accounts,tianyi,A1b,zhengning,A1b
30,select product_size from Products,Show all product sizes.,SELECT DISTINCT product_size FROM Products,tianyi,A1b,zhengning,A1b
31,select product_size from Products,What are the different product sizes?,SELECT DISTINCT product_size FROM Products,tianyi,A1b,zhengning,A1b
32,select product_color from Products,Show all product colors.,SELECT DISTINCT product_color FROM Products,tianyi,A1b,zhengning,A1b
33,select product_color from Products,What are the different product colors?,SELECT DISTINCT product_color FROM Products,tianyi,A1b,zhengning,A1b
34,select count ( * ) from budget where Invested < ( select total_budget_percent_invested from budget where Budget_invested_percent < 1 ),How many budget record has a budget amount smaller than the invested amount?,SELECT count(*) FROM budget WHERE budgeted  <  invested,tianyi,"F1, D1",zhengning,F3
35,select count ( School_id ) from endowment where amount < 8.5 group by amount having count ( amount ) > 1,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),tianyi,"F1, BN1, O3",zhengning,"O3, F1, BL3"
36,select Type from Institution,Show all the distinct institution types.,SELECT DISTINCT TYPE FROM institution,tianyi,A1b,zhengning,A1b
37,select count ( product_type_code ) from Products_for_Hire,How many different product types are there?,SELECT count(DISTINCT product_type_code) FROM products_for_hire,tianyi,A1b,zhengning,A1b
38,select payment_type_code from Payments,What are all the distinct payment types?,SELECT DISTINCT payment_type_code FROM payments,tianyi,A1b,zhengning,A1b
39,select Position from pilot where Age > 30,List the distinct positions of pilots older than 30.,SELECT DISTINCT POSITION FROM pilot WHERE Age  >  30,tianyi,A1b,zhengning,A1b
40,select document_type_code from Documents,What document type codes do we have?,SELECT document_type_code FROM Ref_Document_Types;,tianyi,CL1,zhengning,CL1
41,"select shipping_agent_code from Ref_Shipping_Agents where shipping_agent_name = ""shipping""",What is the shipping agent code of shipping agent UPS?,"SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = ""UPS"";",tianyi,D1,zhengning,D1
42,select role_code from Employees,What are all role codes?,SELECT role_code FROM ROLES;,tianyi,CL1,zhengning,CL1
43,select count ( * ) from Documents where document_status_code = 1,How many documents have the status code done?,"SELECT count(*) FROM Documents WHERE document_status_code = ""done"";",tianyi,D1,zhengning,D1
44,select document_type_code from Documents where document_status_code = 2,List the document type code for the document with the id 2.,SELECT document_type_code FROM Documents WHERE document_id = 2;,tianyi,BF4,zhengning,BF4
45,select T1.mailing_date from Documents_Mailed as T1 join Documents as T2 on T1.document_id = T2.document_id where T2.document_type_code = 7,What is the mail date of the document with id 7?,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,tianyi,"BF4, E1",zhengning,"CF5, E1"
46,select Participant_ID from Participants_in_Events,What are all the distinct participant ids who attended any events?,SELECT count(DISTINCT participant_id) FROM participants_in_Events,tianyi,"L5, A1b",zhengning,A1b
47,select Name from people,What are the names of entrepreneurs?,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,"CL1, CE2",zhengning,"CL1, CE2"
48,select Name from people,Return the names of entrepreneurs.,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,"BE5, CE2",zhengning,"CL1, CE2"
49,select count ( Perpetrator_ID ) from perpetrator,How many perpetrators are there?,SELECT count(*) FROM perpetrator,tianyi,BL1,zhengning,BL3
50,select Injured from perpetrator order by Killed asc,List the number of people injured by perpetrators in ascending order.,SELECT Injured FROM perpetrator ORDER BY Injured ASC,tianyi,BK1,zhengning,BK1
51,select Name from people,What are the names of perpetrators?,SELECT T1.Name FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,BE5,zhengning,CE2
52,select Name from people order by Date_of_Birth desc,List all people names in the order of their date of birth from old to young.,SELECT name FROM people ORDER BY date_of_birth,tianyi,K3,zhengning,K2
53,select District from election,Show all the distinct districts for elections.,SELECT DISTINCT District FROM election,tianyi,A1b,zhengning,A1b
54,select District from election,What are the distinct districts for elections?,SELECT DISTINCT District FROM election,tianyi,A1b,zhengning,A1b
55,select count ( Governor ) from party,How many distinct governors are there?,SELECT count(DISTINCT Governor) FROM party,tianyi,A1b,zhengning,A1b
56,select count ( Governor ) from party,Count the number of distinct governors.,SELECT count(DISTINCT Governor) FROM party,tianyi,A1b,zhengning,A1b
57,"select Year from party where Governor = ""Eliot"" and Lieutenant_Governor = 1","In which distinct years was the governor ""Eliot Spitzer""?","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",tianyi,"D1c, F3, A1b",zhengning,"D1, F3, A1b"
58,"select Year from party where Governor = ""Eliot Spitzer""","Find the distinct years when the governor was named ""Eliot Spitzer"".","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",tianyi,A1b,zhengning,A1b
59,select count ( * ) from customer,How many customers are there?,SELECT sum(no_of_customers) FROM bank,tianyi,"L4, CL1",zhengning,"L4, CL1, BL2"
60,select count ( * ) from customer,What is the total number of customers across banks?,SELECT sum(no_of_customers) FROM bank,tianyi,"L4, CL1",zhengning,"L4, CL1, BL1"
61,"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York"" and T2.state = 1",Find the number of customers in the banks at New York City.,SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',tianyi,"D1c, F4, E1",zhengning,"L4, F3, BL2, E1"
62,"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York""",What is the total number of customers who use banks in New York City?,SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',tianyi,"nan, A1b, CE2",zhengning,"CL1, BL1, A1b, CE2"
63,select count ( acc_type ) from customer,How many distinct types of accounts are there?,SELECT count(DISTINCT acc_type) FROM customer,tianyi,"nan, A1b, CE2",zhengning,"CL1, BL1, A1b, CE2"
64,select count ( acc_type ) from customer,Count the number of different account types.,SELECT count(DISTINCT acc_type) FROM customer,tianyi,"nan, A1b",zhengning,A1b
65,select branch_ID from loan,Find the name of bank branches that provided some loans.,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,tianyi,CE2,zhengning,CE2
66,select count ( no_of_loans ) from customer,What are the names of the different banks that have provided loans?,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,tianyi,CE2,zhengning,CE2
67,select count () from Fault_Log_Parts,How many fault status codes are recorded in the fault log parts table?,SELECT DISTINCT fault_status FROM Fault_Log_Parts,tianyi,"L4, A1b, nan",zhengning,"L4, A1b"
68,select count ( services ) from station,How many different services are provided by all stations?,SELECT count(DISTINCT services) FROM station,tianyi,A1b,zhengning,A1b
69,"select Year from competition where Competition_type != ""Tournament""","What are the distinct years in which the competitions type is not ""Tournament""?","SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",tianyi,A1b,zhengning,A1b
70,select Year from competition where Competition_type != 1,What are the different years for all competitions that are not of type equal to tournament?,"SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",tianyi,"D1, A1b",zhengning,"D1, A1b"
71,select name from club order by Start_year desc limit 1,What are the names of all the clubs starting with the oldest?,SELECT name FROM club ORDER BY Start_year ASC,tianyi,"K3, Q1",zhengning,"Q1, K2"
72,select count ( outcome_code ) from Project_Outcomes,How many patents outcomes were listed for all the projects?,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tianyi,"D1, K3, L4, F4",zhengning,"BL1, F4"
73,select outcome_description from Research_Outcomes,What are the descriptions of all the project outcomes?,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tianyi,"BN1, E1, CL1",zhengning,"CL1, BN1"
74,select outcome_description from Research_Outcomes,List the description of the outcomes for all projects.,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tianyi,"CF5, E1",zhengning,"CF5, CL1, E1"
75,select count ( gender ) from Person where limit 'f' = 1,How many females does this network has?,SELECT count(*) FROM Person WHERE gender  =  'female',tianyi,"D1, BF4, Q1",zhengning,"BF4, BL1, Q1"
76,select count ( job ) from Person,How many type of jobs do they have?,SELECT count(DISTINCT job) FROM Person,tianyi,A1b,zhengning,A1b
77,select count ( job ) from Person,How many different jobs are listed?,SELECT count(DISTINCT job) FROM Person,tianyi,A1b,zhengning,A1b
78,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,Find the person who has exactly one friend.,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,tianyi,CL1,zhengning,CL1
79,select premises_type from Premises,What are all the distinct premise types?,SELECT DISTINCT premises_type FROM premises,tianyi,A1b,zhengning,A1b
80,select address_type_code from Customer_Addresses,What are the distinct address type codes for all customer addresses?,SELECT DISTINCT address_type_code FROM customer_addresses,tianyi,A1b,zhengning,A1b
81,select CName from Course group by CName having count ( Credits ) = 1,List all names of courses with 1 credit?,SELECT CName FROM COURSE WHERE Credits  =  1,tianyi,"N3, O2",zhengning,"O2, F4, N3"
82,select CName from Course group by CName having count ( Credits ) = 1,What are the names of courses with 1 credit?,SELECT CName FROM COURSE WHERE Credits  =  1,tianyi,"N3, O2",zhengning,"O2, F4, N3"
83,"select T2.CName from Department as T1 join Course as T2 on T1.DNO = T2.DNO where T1.DName = ""MTW""",What are the course names for courses taught on MTW?,"SELECT CName FROM COURSE WHERE Days  =  ""MTW""",tianyi,"BF4, BL2, E1",zhengning,"CF5, E1, BL1"
84,select DPhone from Department where Division = 268,What are the phones of departments in Room 268?,SELECT DPhone FROM DEPARTMENT WHERE Room  =  268,tianyi,BF4,zhengning,BF4
85,select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = 'b',"Find the number of students that have at least one grade ""B"".","SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",tianyi,E1,zhengning,"BL1, D1a, E1"
86,"select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = ""B""","How many students have had at least one ""B"" grade?","SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",tianyi,E1,zhengning,"BL1, E1"
87,select Fname from Student order by Age asc,"What are the first names of students, ordered by age from greatest to least?",SELECT Fname FROM STUDENT ORDER BY Age DESC,tianyi,K2,zhengning,K2
88,select count ( * ) from airport_aircraft,What is the number of aircraft?,SELECT count(*) FROM aircraft,tianyi,"CE2, A1b",zhengning,"CE2, A1b"
89,select count ( enr ) from College,How many students are enrolled in college?,SELECT sum(enr) FROM College,tianyi,L4,zhengning,L4
90,"select avg ( enr ) , count ( * ) from College group by cName","How many students, on average, does each college have enrolled?",SELECT avg(enr) FROM College,tianyi,"BL2, N3",zhengning,"BL2, N3"
91,select count ( cName ) from College,How many different colleges are there?,SELECT count(*) FROM College,tianyi,BL2,zhengning,BL1
92,select count ( HS ) from Player where HS > 1000,How many different players trained for more than 1000 hours?,SELECT count(*) FROM Player WHERE HS  >  1000,tianyi,BL2,zhengning,BL1
93,select count ( cName ) from Tryout,How many different colleges do attend the tryout test?,SELECT count(DISTINCT cName) FROM tryout,tianyi,A1b,zhengning,A1b
94,select count ( cName ) from Tryout,How many different colleges were represented at tryouts?,SELECT count(DISTINCT cName) FROM tryout,tianyi,A1b,zhengning,A1b
95,select pPos from Tryout,What are the unique types of player positions in the tryout?,SELECT count(DISTINCT pPos) FROM tryout,tianyi,"L5, A1b",zhengning,"L5, A1b"
96,select pPos from Tryout,What are the different types of player positions?,SELECT count(DISTINCT pPos) FROM tryout,tianyi,A1b,zhengning,"L5, A1b"
97,select count ( * ) from Tryout,How many students received a yes from tryouts?,SELECT count(*) FROM tryout WHERE decision  =  'yes',tianyi,F4,zhengning,F4
98,"select count ( T1.pPos ) from Tryout as T1 join Player as T2 on T1.pID = T2.pID where T2.pName = ""goalie""",What is the number of students playing as a goalie?,SELECT count(*) FROM tryout WHERE pPos  =  'goalie',tianyi,"L4, CE2, A1b",zhengning,"L4, CE2, A1b"
99,"select avg ( enr ) from College where state = ""Florida""",What is average number of students enrolled in Florida colleges?,SELECT avg(enr) FROM College WHERE state  =  'FL',tianyi,D1c,zhengning,D1c
100,select * from College order by enr desc,What information do you have on colleges sorted by increasing enrollment numbers?,SELECT * FROM College ORDER BY enr,tianyi,K2,zhengning,K2
101,select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,Find the name of different colleges involved in the tryout in alphabetical order.,SELECT DISTINCT cName FROM tryout ORDER BY cName,tianyi,"A1b, E1",zhengning,"A1b, BK1, E1"
102,select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,What are the different names of the colleges involved in the tryout in alphabetical order?,SELECT DISTINCT cName FROM tryout ORDER BY cName,tianyi,"A1b, E1",zhengning,"A1b, BK1, E1"
103,select state from College,Find the states where have some college students in tryout.,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,tianyi,BK1,zhengning,"L4, D1c, CL1, BL1, L5, D1, D1a"
104,select count ( state ) from College,What are the different states that have students trying out?,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,tianyi,"CL1, BF4, BL1, F1, A1b, E1",zhengning,"CF5, A1b, E1"
105,"select count ( cName ) from Tryout where pPos = ""goalie"" and pPos = ""mid""",How many schools have some students playing in goalie and mid positions.,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),tianyi,F2,zhengning,"BL1, A1g"
106,"select count ( cName ) from Tryout where pPos = ""goalie"" and pPos = ""mid field""",How many schools have students playing in goalie and mid-field positions?,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),tianyi,F2,zhengning,"BL1, A1g"
107,select count ( T2.state ) from Tryout as T1 join College as T2 on T1.cName = T2.cName where T1.pPos = 'mid' except select T4.state from Tryout as T3 join College as T4 on T3.cName = T4.cName where T3.pPos = 'goalie',How many states that have some college students playing in the mid position but not in the goalie position.,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),tianyi,"CL1, A1b",zhengning,"CL1, BL1, A1b"
108,"select count ( T2.state ) from Tryout as T1 join College as T2 on T1.cName = T2.cName where T1.pPos = ' and T1.cName = ""goalies""",What is the count of states with college students playing in the mid position but not as goalies?,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),tianyi,"CL1, BL1, A1b",zhengning,"CL1, BL1, A1b"
