,sql_id,nl_query,Unnamed: 0,coder_tianyi,code_tianyi,coder,code_ning,sql,GT_sql
198,2153,Which projects have no outcome? List the project details.,215.0,Tianyi,A1a,zhengning,A1a,SELECT projects.project_details FROM projects JOIN project_outcomes ON projects.project_id = project_outcomes.project_id,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_outcomes )
214,2168,How many people are older than every engineer?,235.0,Tianyi,N3; BL2,zhengning,"BL2, N3, F4","SELECT COUNT( * ) , person.job FROM person WHERE person.job = 'engineer' GROUP BY person.job",SELECT count(*) FROM Person WHERE age > (SELECT max(age) FROM person WHERE job = 'engineer')
231,2000,What are the names and genders of all artists who released songs in the month of March?,247.0,Tianyi,"BL3, P1",zhengning,"BL3, CE2, N3, K4, P1",SELECT artist.artist_name FROM artist GROUP BY song.releasedate ORDER BY song.releasedate ASC LIMIT 1,"SELECT T1.artist_name , T1.gender FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.releasedate LIKE ""%Mar%"""
247,1961,Find the names of bank branches that have provided a loan to any customer whose credit score is below 100.,263.0,Tianyi,CE3,zhengning,CE2,SELECT bank.bname FROM customer JOIN bank ON customer.branch_id = bank.branch_id WHERE customer.credit_score<100,SELECT T2.bname FROM loan AS T1 JOIN bank AS T2 ON T1.branch_id = T2.branch_id JOIN customer AS T3 ON T1.cust_id = T3.cust_id WHERE T3.credit_score < 100
263,1578,Show ids for all documents with budget types described as 'Government'.,279.0,Tianyi,CE3,zhengning,CE3,SELECT documents.document_id FROM documents JOIN ref_document_types ON documents.document_type_code = ref_document_types.document_type_code WHERE ref_budget_codes.budget_type_description = 'Government',"SELECT T1.document_id FROM Documents_with_expenses AS T1 JOIN Ref_Budget_Codes AS T2 ON T1.Budget_Type_code = T2.Budget_Type_code WHERE T2.budget_type_Description = ""Government"""
280,1585,Show all locations and the total number of platforms and passengers for all train stations in each location.,295.0,Tianyi,BL3,zhengning,BL3,"SELECT station.location , SUM( station.total_passengers ) FROM station GROUP BY station.location","SELECT LOCATION , sum(number_of_platforms) , sum(total_passengers) FROM station GROUP BY LOCATION"
296,1671,List the cities which have more than 2 airports sorted by the number of airports.,311.0,Tianyi,KA1b,zhengning,KA1b,SELECT airports.city FROM airports GROUP BY airports.city HAVING COUNT( * ) > 2,SELECT city FROM airports GROUP BY city HAVING count(*) > 2 ORDER BY count(*)
313,1704,What are the distinct details of invoices created before 1989-09-03 or after 2007-12-25?,327.0,Tianyi,F1,zhengning,F1,SELECT DISTINCT invoices.invoice_details FROM invoices WHERE invoices.invoice_date > '1989-09-03' OR invoices.invoice_date<'2007-12-25',"SELECT DISTINCT invoice_details FROM invoices WHERE invoice_date < ""1989-09-03"" OR invoice_date > ""2007-12-25"""
329,2373,Which model of the car has the minimum horsepower?,343.0,Tianyi,CL1,zhengning,CL1,SELECT model_list.model FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid ORDER BY cars_data.horsepower ASC LIMIT 1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId = T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
345,798,What is the maximum and minimum height of all players?,359.0,Tianyi,BL1,zhengning,BL1,"SELECT MAX( player.weight ) , MIN( player.height ) FROM player","SELECT max(weight) , min(weight) FROM Player"
361,1131,What are the first name and last name of the players whose death record is empty?,375.0,Tianyi,BL2; BF4,zhengning,"BL2, BF4","SELECT player.name_first , player.name_first FROM player WHERE player.death_city = 'null'","SELECT name_first , name_last FROM player WHERE death_year = '';"
377,2374,What is the model of the car with the smallest amount of horsepower?,399.0,Tianyi,CL1; CE2,zhengning,"CL1, CE2",SELECT model_list.model FROM cars_data ORDER BY cars_data.horsepower ASC LIMIT 1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId = T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
393,1151,How many games in total did team Boston Red Stockings attend from 2000 to 2010?,407.0,Tianyi,BF4; BL1,zhengning,"BL1, BF4",SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 2000 and 2010,SELECT sum(T1.attendance) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 2000 AND 2010;
409,2051,Find the names of all physicians and their primary affiliated departments' names.,423.0,Tianyi,CE2; BL1,zhengning,"CE2, BL1","SELECT physician.name , affiliated_with.department FROM affiliated_with JOIN physician ON affiliated_with.physician = physician.employeeid WHERE affiliated_with.primaryaffiliation = 1","SELECT T1.name , T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID = T2.physician JOIN department AS T3 ON T2.department = T3.DepartmentID WHERE T2.PrimaryAffiliation = 1"
425,1880,Find the name and total checking and savings balance of the accounts whose savings balance is lower than corresponding checking balance.,447.0,Tianyi,"N3, F4",zhengning,"N3, F4","SELECT accounts.name , savings.balance FROM accounts JOIN savings ON accounts.custid = savings.custid JOIN accounts ON accounts.custid = savings.custid WHERE savings.balance<savings.balance GROUP BY accounts.name","SELECT T1.name , T3.balance + T2.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid = T2.custid JOIN savings AS T3 ON T1.custid = T3.custid WHERE T3.balance < T2.balance"
441,2069,What is the average cost of procedures that physician John Wen was trained in?,459.0,Tianyi,CE3; BE5,zhengning,BE5,SELECT AVG( procedures.cost ) FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN procedures ON procedures.code = trained_in.physician WHERE physician.name = 'John Wen',"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician JOIN procedures AS T3 ON T3.code = T2.treatment WHERE T1.name = ""John Wen"""
457,2367,Show names for all stadiums except for stadiums having a concert in year 2014.,483.0,Tianyi,F3,zhengning,A1d,"SELECT stadium.name FROM concert, stadium WHERE stadium.stadium_id = (SELECT stadium.name FROM concert JOIN stadium ON concert.stadium_id = stadium.stadium_id WHERE concert.year = 2014 AND concert.year = 2014)",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014
473,2312,Find the name of all the cities and states.,487.0,Tianyi,A1e,zhengning,A1e,"SELECT addresses.town_city , addresses.state_province_county FROM addresses",SELECT town_city FROM addresses UNION SELECT state_province_county FROM addresses
489,361,How many females does this network has?,503.0,Tianyi,D1b,zhengning,D1b,SELECT COUNT( * ) FROM person WHERE person.gender = 'females',SELECT count(*) FROM Person WHERE gender = 'female'
505,2037,What were all the salary values of players in 2010 and 2001?,519.0,Tianyi,L4,zhengning,L4,SELECT SUM( salary.salary ) FROM salary WHERE salary.year = 2010 AND salary.year = 2001,SELECT salary FROM salary WHERE YEAR = 2010 UNION SELECT salary FROM salary WHERE YEAR = 2001
521,1841,List the names and birthdays of the top five players in terms of potential.,535.0,Tianyi,A1b,zhengning,A2a,"SELECT player.player_name , player.birthday FROM player JOIN player_attributes ON player.player_api_id = player_attributes.player_api_id ORDER BY player_attributes.potential DESC LIMIT 5","SELECT DISTINCT T1.player_name , T1.birthday FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id ORDER BY potential DESC LIMIT 5"
537,2078,What procedures cost less than 5000 and have John Wen as a trained physician?,559.0,Tianyi,CE2; F3,zhengning,CE2,SELECT procedures.name FROM trained_in JOIN physician ON trained_in.physician = physician.employeeid WHERE procedures.cost<5000 AND physician.name = 'John Wen' AND procedures.cost<5000,"SELECT name FROM procedures WHERE cost < 5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician JOIN procedures AS T3 ON T3.code = T2.treatment WHERE T1.name = ""John Wen"""
556,2151,How many staff does each project has? List the project id and the number in an ascending order.,575.0,Tianyi,KA1b; CE2,zhengning,"CE2, KA1b","SELECT project_staff.project_id , COUNT( * ) FROM project_staff GROUP BY project_staff.project_id","SELECT T1.project_id , count(*) FROM Project_Staff AS T1 JOIN Projects AS T2 ON T1.project_id = T2.project_id GROUP BY T1.project_id ORDER BY count(*) ASC"
572,2025,Find the names of the artists who have produced English songs but have never received rating higher than 8.,591.0,Tianyi,A1b; D1a; E1,zhengning,"A1b, D1a",SELECT song.artist_name FROM song WHERE song.languages = 'English' EXCEPT SELECT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.languages = 'English' AND song.rating > 8,"SELECT DISTINCT artist_name FROM song WHERE languages = ""english"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating > 8"
588,2070,Compute the mean price of procedures physician John Wen was trained in.,618.0,Tianyi,BE5,zhengning,BE5,SELECT AVG( procedures.cost ) FROM procedures JOIN trained_in ON procedures.code = trained_in.physician JOIN procedures ON procedures.code = trained_in.physician WHERE physician.name = 'John Wen',"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician JOIN procedures AS T3 ON T3.code = T2.treatment WHERE T1.name = ""John Wen"""
607,1804,What are the package options and the name of the series for the TV Channel that supports high definition TV?,623.0,Tianyi,D1,zhengning,D1c,"SELECT tv_channel.package_option , tv_channel.series_name FROM tv_channel WHERE tv_channel.hight_definition_tv = 'y'","SELECT package_option , series_name FROM TV_Channel WHERE hight_definition_TV = ""yes"""
623,1747,What are the countries having at least one car maker? List name and id.,651.0,Tianyi,CL1,zhengning,BL1,"SELECT countries.countryname , car_makers.id FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid HAVING COUNT( * ) >= 1","SELECT T1.CountryName , T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId = T2.Country GROUP BY T1.CountryId HAVING count(*) >= 1;"
639,1673,Find the number of routes for each source airport and the airport name.,655.0,Tianyi,BL2,zhengning,BL2,"SELECT routes.src_ap , airports.name , COUNT( * ) FROM routes JOIN airports ON routes.src_apid = airports.apid GROUP BY airports.name","SELECT count(*) , T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.src_apid GROUP BY T1.name"
655,2310,Find name of the services that has never been used.,671.0,Tianyi,CL1,zhengning,CE3,SELECT services.service_name FROM services WHERE services.service_id NOT IN (SELECT forms.service_id FROM forms),SELECT service_name FROM services EXCEPT SELECT t1.service_name FROM services AS t1 JOIN party_services AS t2 ON t1.service_id = t2.service_id
671,2061,Find the name and position of physicians who prescribe some medication whose brand is X?,691.0,Tianyi,CE2; A1b,zhengning,"A1b, CE2","SELECT physician.name , physician.position FROM physician JOIN prescribes ON physician.employeeid = prescribes.physician WHERE medication.brand = 'X'","SELECT DISTINCT T1.name , T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand = ""X"""
687,478,Find the name of dorms only for female (F gender).,703.0,Tianyi,D1a,zhengning,D1a,SELECT dorm.dorm_name FROM dorm WHERE dorm.gender = 'f',SELECT dorm_name FROM dorm WHERE gender = 'F'
703,1189,How many rooms are located for each block code?,727.0,Tianyi,BE5,zhengning,BE5,"SELECT COUNT( * ) , block.blockcode FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockcode","SELECT count(*) , T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor = T2.blockfloor AND T1.blockcode = T2.blockcode GROUP BY T1.blockcode"
719,1563,"What are the details for statements with the details 'Private Project', and what are the names of the corresponding documents?",,,,,,,
731,531,What are the ids for all sporty students who are on scholarship?,,,,,,,
