,sql,nl_query,Unnamed: 0,sql_id,coder,code_ning,username,error_classification,GT_sql
60,SELECT song.f_id FROM files WHERE files.formats = 'mp4' OR song.resolution > 720,What are the ids of all songs that are available on mp4 or have a higher resolution than 720?,,,,,,,
63,"SELECT DISTINCT artist.artist_name , artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.resolution > 900",What is the name and country of origin for each artist who has released a song with a resolution higher than 900?,17.0,145.0,zhengning,F4,tianyi,F4,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.resolution  >  900 GROUP BY T2.artist_name HAVING count(*)  >=  1"
67,SELECT lessons.lesson_id FROM lessons JOIN staff ON lessons.staff_id = staff.staff_id WHERE staff.nickname LIKE '%s%',What are the the lesson ids of all staff taught by Janessa Sawayn whose nickname has the letter s?,18.0,146.0,zhengning,CE2,tianyi,F4,"SELECT T1.lesson_id FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"" AND nickname LIKE ""%s%"";"
71,SELECT AVG( track.unitprice ) FROM genre JOIN track ON genre.genreid = track.genreid WHERE genre.name = 'jazz',Find the average unit price of jazz tracks.,19.0,147.0,zhengning,D1a,tianyi,D1a,"SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Jazz"""
75,SELECT AVG( customer.credit_score ) FROM customer JOIN loan ON customer.cust_id = loan.cust_id,Find the average credit score of the customers who have some loan.,20.0,148.0,zhengning,L4,tianyi,L4,SELECT avg(credit_score) FROM customer WHERE cust_id IN (SELECT cust_id FROM loan)
79,SELECT AVG( gradeconversion.gradepoint ) FROM student WHERE student.lname = 'Smith',Find the average grade point of student whose last name is Smith.,21.0,150.0,zhengning,CE2,tianyi,CE2,"SELECT avg(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.LName  =  ""Smith"""
83,SELECT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.country = 'Bangladesh' AND song.rating > 7,Find the names of the artists who are from Bangladesh and have never received rating higher than 7.,22.0,151.0,zhengning,"A1b, A1d",tianyi,"A1b, A1d","SELECT DISTINCT artist_name FROM artist WHERE country  =  ""Bangladesh"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating  >  7"
87,SELECT COUNT( * ) FROM postseason WHERE postseason.losses = 1885 AND postseason.ties = 1,"Find the number of tied games (the value of ""ties"" is '1') in 1885 postseason.",23.0,152.0,zhengning,BF4,tianyi,BF4,SELECT count(*) FROM postseason WHERE YEAR  =  1885 AND ties  =  1;
91,"SELECT accounts.name FROM accounts, checking, savings WHERE accounts.name = (SELECT accounts.name , checking.balance , savings.balance , SUM( savings.balance ) FROM accounts JOIN checking ON accounts.custid = checking.custid JOIN savings ON checking.balance = savings.custid)","Find the name, checking balance and savings balance of all accounts in the bank sorted by their total checking and savings balance in descending order.",24.0,153.0,zhengning,"L4, KA1b, BL3",tianyi,"KA1b, BL3","SELECT T2.balance ,  T3.balance ,  T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid ORDER BY T2.balance + T3.balance DESC"
95,"SELECT MAX( files.duration ) , AVG( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id ORDER BY song.languages ASC","What are the maximum duration and resolution of all songs, for each language, ordered alphabetically by language?",25.0,154.0,zhengning,BL3,tianyi,BL3,"SELECT max(T1.duration) ,  max(T2.resolution) ,  T2.languages FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id GROUP BY T2.languages ORDER BY T2.languages"
99,SELECT COUNT( * ) FROM participants JOIN participants_in_events ON participants.participant_id = participants_in_events.participant_id WHERE participants.participant_details LIKE '%Dr%',How many events had participants whose details had the substring 'Dr.',26.0,155.0,zhengning,P3,tianyi,P3,SELECT count(*) FROM participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID  =  T2.Participant_ID WHERE T1.participant_details LIKE '%Dr.%'
103,SELECT COUNT( * ) FROM medicine WHERE medicine.fda_approved = 'no',How many medicines were not approved by the FDA?,27.0,156.0,zhengning,D1a,tianyi,D1a,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No'
107,"SELECT DISTINCT student.fname , student.lname FROM student JOIN member_of_club ON student.stuid = member_of_club.stuid JOIN club ON club.clubid = member_of_club.clubid WHERE club.clubname = 'Bootup Baltimore' AND student.sex = 'f'","Give me the first name and last name for all the female members of the club ""Bootup Baltimore"".",28.0,157.0,zhengning,D1a,tianyi,D1a,"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t3.sex  =  ""F"""
111,"SELECT DISTINCT student.fname , student.lname FROM club JOIN member_of_club ON club.clubid = member_of_club.clubid JOIN student ON student.stuid = member_of_club.stuid WHERE club.clubname = 'Bootup Baltimore' AND member_of_club.position = 'president'","What are the first and last name of the president of the club ""Bootup Baltimore""?",29.0,158.0,zhengning,D1a,tianyi,D1a,"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t2.position  =  ""President"""
115,"SELECT AVG( singer.age ) , MIN( singer.age ) , MAX( singer.age ) FROM singer WHERE singer.country = 'French'","What is the average, minimum, and maximum age for all French singers?",30.0,159.0,zhengning,D1c,tianyi,D1c,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
119,"SELECT ref_document_types.document_type_name , COUNT( * ) FROM documents JOIN ref_document_types ON documents.document_type_code = ref_document_types.document_type_code GROUP BY documents.document_type_code",How many documents are there of each type?,31.0,160.0,zhengning,"CL3, F1",tianyi,"CL1, E1","SELECT document_type_code ,  count(*) FROM Documents GROUP BY document_type_code"
123,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN physician ON trained_in.physician = physician.employeeid WHERE physician.name = 'John Wen' AND procedures.cost<5000,Find the names of all procedures such that the cost is less than 5000 and physician John Wen was trained in.,32.0,161.0,zhengning,CE3,tianyi,CE3 ,"SELECT name FROM procedures WHERE cost  <  5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"""
127,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN physician ON trained_in.physician = physician.employeeid JOIN procedures ON procedures.code = trained_in.treatment JOIN physician ON physician.employeeid = trained_in.physician WHERE physician.name != 'John Wen' AND procedures.cost > 1000,"Among the procedures that cost more than 1000, which were not specialized in by physician John Wen?",33.0,162.0,zhengning,"E1, A1d",tianyi,"E1, A1d","SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"""
131,SELECT customer.cust_name FROM customer EXCEPT SELECT customer.cust_name FROM customer JOIN loan ON customer.cust_id = loan.cust_id WHERE loan.loan_type = 'Mortage',What are the names of customers who have not taken a Mortage loan?,34.0,163.0,zhengning,D1b,tianyi,D1b,SELECT cust_name FROM customer EXCEPT SELECT T1.cust_name FROM customer AS T1 JOIN loan AS T2 ON T1.cust_id  =  T2.cust_id WHERE T2.loan_type  =  'Mortgages'
135,SELECT physician.name FROM prescribes JOIN medication ON prescribes.medication = medication.code JOIN prescribes ON physician.employeeid = prescribes.physician WHERE medication.name = 'Thesisin',What is the names of the physicians who prescribe medication Thesisin?,35.0,164.0,zhengning,CL1,tianyi,CL1,"SELECT DISTINCT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.name  =  ""Thesisin"""
139,"SELECT DISTINCT tv_channel.series_name , tv_channel.content FROM tv_channel",List the number of different series names and contents in the TV Channel table.,36.0,165.0,zhengning,"A1b, L4",tianyi,"A1b, L4","SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;"
143,SELECT COUNT( * ) FROM addresses JOIN staff ON addresses.address_id = staff.staff_address_id WHERE addresses.state_province_county = 'Georgia',How many staff live in state Georgia?,37.0,173.0,zhengning,E1,tianyi,E1,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";"
147,SELECT video_games.gname FROM video_games WHERE video_games.gtype = 'collectible cards',What are the names of all video games that are collectible cards?,38.0,174.0,zhengning,D1,tianyi,D1c,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game"""
151,SELECT sportsinfo.stuid FROM sportsinfo WHERE sportsinfo.onscholarship = 'y',List ids for all student who are on scholarship.,39.0,175.0,zhengning,D1a,tianyi,D1a,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y'
155,SELECT person.name FROM person WHERE personfriend.friend NOT IN (SELECT personfriend.name FROM personfriend),What are the names of all people who do not have friends?,40.0,176.0,zhengning,CF5,tianyi,CF5 ,SELECT name FROM person EXCEPT SELECT name FROM PersonFriend
159,SELECT COUNT( * ) FROM home_game JOIN park ON home_game.park_id = park.park_id WHERE home_game.attendance = 1907 AND park.park_alias = 'Columbia Park',"How many games were played in park ""Columbia Park"" in 1907?",41.0,177.0,zhengning,BF4,tianyi,BF4,SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id  =  T2.park_id WHERE T1.year = 1907 AND T2.park_name = 'Columbia Park';
163,SELECT SUM( salary.salary ) FROM salary JOIN player ON salary.player_id = player.player_id WHERE player.name_first = 'Barker' AND player.name_last = 'Len' AND salary.year BETWEEN 1985 and 1990,Compute the total salary that the player with first name Len and last name Barker received between 1985 to 1990.,42.0,178.0,zhengning,DF2,tianyi,D1,SELECT sum(T1.salary) FROM salary AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T2.name_first  =  'Len' AND T2.name_last = 'Barker' AND T1.year BETWEEN 1985 AND 1990;
167,"SELECT COUNT( * ) , airports.city FROM airports WHERE airports.country = 'US' GROUP BY airports.city ORDER BY COUNT( * ) DESC",How many airports are there per city in the US ordered from most to least?,43.0,179.0,zhengning,D1c,tianyi,D1c,"SELECT count(*) ,  city FROM airports WHERE country  =  'United States' GROUP BY city ORDER BY count(*) DESC"
171,"SELECT DISTINCT personfriend.name , person.age FROM person JOIN personfriend ON person.name = personfriend.name WHERE person.gender = 'Dan' OR person.gender = 'alice'",What are the different names and ages of every friend of either Dan or alice?,44.0,180.0,zhengning,"CL1, D1a",tianyi,"D1a, CL1","SELECT DISTINCT T1.name ,  T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Dan' OR T2.friend  =  'Alice'"
175,SELECT student.stuid FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE student.sex = 'm' AND sportsinfo.sportname != 'football',Show all male student ids who don't play football.,45.0,181.0,zhengning,"CL1, D1a",tianyi,D1a,"SELECT StuID FROM Student WHERE sex  =  'M' EXCEPT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
179,SELECT cars_data.accelerate FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'amc hornet sportabout (sw',What is the accelerate of the car make amc hornet sportabout (sw)?,0.0,93.0,zhengning,D1c,tianyi,D1c,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';
191,SELECT COUNT( * ) FROM customers JOIN lessons ON customers.customer_id = lessons.customer_id WHERE customers.first_name = 'Ryan' AND customers.last_name = 'Goodwin',How many lessons did the customer Ryan Goodwin complete?,,,,,,,
