,unique_nlq
138,How many distinct governors are there?
139,"List the names of all genres in alphabetical oder, together with its ratings."
140,What is the total kills of the perpetrators with height more than 1.84.
141,What is the average high temperature for each day of week?
142,What is the joined year of the pilot of the highest rank?
143,Show all different home cities.
144,List all the names of schools with an endowment amount smaller than or equal to 10.
145,What are all the catalog entry names?
146,"For each sex, what is the name and sex of the candidate with the oppose rate for their sex?"
147,What is the entry name of the most expensive catalog (in USD)?
