,0,1,2,3,4,5,6
A1f,{2015.0},"{922.0, 525.0, 2015.0}",{2015.0},"{922.0, 525.0, 2015.0}",1,3,0.3333333333333333
D1,"{517.0, 2056.0, 2190.0, 1557.0, 284.0, 285.0, 1695.0, 1952.0, 1697.0, 2338.0, 1698.0, 2217.0, 1974.0, 1598.0, 1602.0, 1608.0, 1740.0, 613.0, 614.0, 242.0}","{517.0, 2056.0, 2190.0, 1556.0, 1557.0, 284.0, 285.0, 1952.0, 1697.0, 1698.0, 2214.0, 2215.0, 2217.0, 306.0, 1974.0, 1344.0, 705.0, 1602.0, 1608.0, 1098.0, 1099.0, 1740.0, 1999.0, 1367.0, 2396.0, 613.0, 2150.0, 614.0, 1130.0}","{1952.0, 1697.0, 1698.0, 1602.0, 517.0, 613.0, 614.0, 2056.0, 2217.0, 1608.0, 1740.0, 2190.0, 1557.0, 1974.0, 284.0, 285.0}","{517.0, 2056.0, 2190.0, 1556.0, 1557.0, 284.0, 285.0, 1695.0, 1952.0, 1697.0, 1698.0, 2338.0, 2214.0, 2215.0, 2217.0, 306.0, 1974.0, 1598.0, 1344.0, 705.0, 1602.0, 1608.0, 1098.0, 1099.0, 1740.0, 1999.0, 1367.0, 2396.0, 613.0, 2150.0, 614.0, 1130.0, 242.0}",16,33,0.48484848484848486
BE5,"{1136.0, 1137.0, 922.0, 2034.0}","{2147.0, 2376.0, 1737.0, 1136.0, 2034.0, 1145.0, 2074.0}","{1136.0, 2034.0}","{2147.0, 2376.0, 1737.0, 1136.0, 1137.0, 2034.0, 1145.0, 2074.0, 922.0}",2,9,0.2222222222222222
BL3,"{1576.0, 1130.0, 2030.0, 1648.0, 2039.0, 2009.0}","{1827.0, 2011.0, 1736.0, 2345.0, 107.0, 877.0, 526.0, 2001.0, 2039.0, 248.0, 1881.0, 2331.0, 445.0, 446.0}",{2039.0},"{526.0, 2331.0, 1827.0, 1576.0, 2345.0, 445.0, 446.0, 1736.0, 2001.0, 1881.0, 2009.0, 2011.0, 1130.0, 107.0, 877.0, 2030.0, 1648.0, 2039.0, 248.0}",1,19,0.05263157894736842
BL2,"{1130.0, 618.0, 492.0, 2350.0, 1648.0}","{1130.0, 618.0, 492.0, 2350.0, 2030.0, 1648.0, 1877.0}","{1130.0, 618.0, 492.0, 2350.0, 1648.0}","{1130.0, 618.0, 492.0, 2350.0, 2030.0, 1648.0, 1877.0}",5,7,0.7142857142857143
CE3,{1579.0},"{922.0, 2147.0, 2381.0, 2375.0}",set(),"{2147.0, 2375.0, 1579.0, 2381.0, 922.0}",0,5,0.0
BL1,"{1666.0, 2055.0, 2056.0, 526.0, 2040.0, 2329.0, 665.0, 1726.0, 1099.0, 1868.0, 2011.0, 1124.0, 1126.0, 877.0, 621.0, 623.0, 1136.0, 2029.0, 1784.0}","{1666.0, 2055.0, 2056.0, 665.0, 2329.0, 1576.0, 1726.0, 2371.0, 1868.0, 1877.0, 1124.0, 1126.0, 621.0, 2029.0, 623.0, 1136.0, 1137.0, 2032.0, 2035.0, 2292.0, 2040.0}","{1666.0, 1124.0, 1126.0, 2055.0, 2056.0, 1868.0, 621.0, 2029.0, 623.0, 1136.0, 665.0, 2040.0, 2329.0, 1726.0}","{1666.0, 2055.0, 2056.0, 526.0, 1784.0, 665.0, 2329.0, 1576.0, 1726.0, 2371.0, 1099.0, 1868.0, 1877.0, 2011.0, 1124.0, 1126.0, 621.0, 2029.0, 623.0, 1136.0, 1137.0, 2032.0, 2035.0, 2292.0, 877.0, 2040.0}",14,26,0.5384615384615384
BF4,"{2338.0, 1154.0, 2148.0, 2157.0, 2352.0, 1744.0, 1140.0, 1144.0, 1145.0, 1147.0, 1148.0, 1150.0}","{1154.0, 1147.0, 1562.0, 2352.0, 1598.0, 1744.0, 1367.0, 1756.0, 2148.0, 1130.0, 2157.0, 2032.0, 2035.0, 1140.0, 1144.0, 1145.0, 2171.0, 1148.0, 1150.0}","{1154.0, 2148.0, 2157.0, 2352.0, 1744.0, 1140.0, 1144.0, 1145.0, 1147.0, 1148.0, 1150.0}","{1154.0, 1147.0, 1562.0, 2338.0, 2352.0, 1598.0, 1744.0, 1367.0, 1756.0, 2148.0, 1130.0, 2157.0, 2032.0, 2035.0, 1140.0, 1144.0, 1145.0, 2171.0, 1148.0, 1150.0}",11,20,0.55
L4,"{2030.0, 1877.0, 246.0, 1881.0, 2330.0, 2009.0}","{1099.0, 1877.0, 877.0}",{1877.0},"{1099.0, 877.0, 2030.0, 1877.0, 246.0, 1881.0, 2009.0, 2330.0}",1,8,0.125
A2a,"{1999.0, 1807.0, 2329.0, 1950.0, 575.0}","{575.0, 1999.0, 1807.0, 2329.0, 1950.0, 2015.0}","{1807.0, 1999.0, 2329.0, 1950.0, 575.0}","{575.0, 1999.0, 1807.0, 2329.0, 1950.0, 2015.0}",5,6,0.8333333333333334
A1,set(),{1188.0},set(),{1188.0},0,1,0.0
F3,"{1827.0, 2026.0, 1740.0, 1211.0, 922.0, 1115.0}","{1827.0, 487.0, 2026.0, 492.0, 1742.0, 1784.0, 922.0}","{2026.0, 1827.0, 922.0}","{1827.0, 487.0, 2026.0, 1115.0, 492.0, 1740.0, 1742.0, 1784.0, 922.0, 1211.0}",3,10,0.3
CF5,"{1562.0, 250.0}","{2148.0, 249.0, 250.0, 2157.0, 245.0, 1881.0, 1562.0, 2171.0}","{1562.0, 250.0}","{2148.0, 249.0, 250.0, 2157.0, 245.0, 1881.0, 1562.0, 2171.0}",2,8,0.25
KA1b,"{2152.0, 1672.0, 1834.0, 2155.0, 2035.0, 2011.0}","{2152.0, 1672.0, 2155.0, 2030.0, 2035.0, 2011.0, 1822.0}","{2152.0, 1672.0, 2155.0, 2035.0, 2011.0}","{2152.0, 1672.0, 1834.0, 2155.0, 2030.0, 2035.0, 2011.0, 1822.0}",5,8,0.625
E1,"{1666.0, 1188.0, 2372.0, 2150.0, 487.0, 584.0, 682.0, 2155.0, 492.0, 493.0, 1742.0, 1839.0, 1746.0, 2292.0, 1784.0, 670.0}","{1890.0, 1666.0, 2311.0, 584.0, 682.0, 2155.0, 492.0, 493.0, 1742.0, 2383.0, 1839.0, 1746.0, 1784.0, 2074.0, 670.0}","{1666.0, 584.0, 682.0, 2155.0, 492.0, 493.0, 1742.0, 1839.0, 1746.0, 1784.0, 670.0}","{1666.0, 2311.0, 2074.0, 670.0, 1188.0, 682.0, 1839.0, 2372.0, 584.0, 1742.0, 2383.0, 1746.0, 1890.0, 2150.0, 487.0, 2155.0, 492.0, 493.0, 2292.0, 1784.0}",11,20,0.55
L5,"{1921.0, 107.0, 2032.0, 248.0, 474.0, 2331.0, 445.0, 446.0}","{1921.0, 474.0, 1950.0, 1784.0, 2330.0, 2331.0, 446.0}","{1921.0, 474.0, 2331.0, 446.0}","{248.0, 1921.0, 107.0, 2032.0, 474.0, 1950.0, 1784.0, 2330.0, 2331.0, 445.0, 446.0}",4,11,0.36363636363636365
A1e,"{2001.0, 2330.0, 2074.0}","{2074.0, 2001.0, 2330.0, 2331.0}","{2001.0, 2330.0, 2074.0}","{2074.0, 2001.0, 2330.0, 2331.0}",3,4,0.75
A1d,"{2368.0, 1890.0, 2311.0, 2345.0, 2171.0, 2327.0, 2297.0, 2043.0, 2044.0, 2079.0}","{2311.0, 2327.0, 2297.0, 2043.0, 2044.0, 2079.0}","{2311.0, 2327.0, 2297.0, 2043.0, 2044.0, 2079.0}","{2368.0, 1890.0, 2311.0, 2345.0, 2171.0, 2327.0, 2297.0, 2043.0, 2044.0, 2079.0}",6,10,0.6
K2,"{2053.0, 1833.0, 2284.0, 1709.0, 1877.0}","{2053.0, 1833.0, 2284.0, 1709.0, 1877.0}","{2053.0, 1833.0, 2284.0, 1709.0, 1877.0}","{2053.0, 1833.0, 2284.0, 1709.0, 1877.0}",5,5,1.0
A1g,"{1988.0, 2343.0, 1839.0, 2005.0, 2006.0, 2295.0}","{2343.0, 2295.0}","{2295.0, 2343.0}","{1988.0, 2343.0, 1839.0, 2005.0, 2006.0, 2295.0}",2,6,0.3333333333333333
D1c,"{1678.0, 1556.0, 1300.0, 1660.0, 2214.0, 2215.0, 1329.0, 306.0, 446.0, 1344.0, 705.0, 1098.0, 2380.0, 1999.0, 2397.0, 1252.0, 1130.0, 2158.0, 1787.0, 1788.0}","{1856.0, 1788.0, 2380.0, 1678.0, 1329.0, 1300.0, 1787.0, 1660.0}","{1660.0, 2380.0, 1678.0, 1329.0, 1300.0, 1787.0, 1788.0}","{1678.0, 1300.0, 1556.0, 1660.0, 2214.0, 2215.0, 1329.0, 306.0, 446.0, 1856.0, 1344.0, 705.0, 1098.0, 2380.0, 1999.0, 2397.0, 1252.0, 1130.0, 2158.0, 1787.0, 1788.0}",7,21,0.3333333333333333
A1b,"{487.0, 584.0, 649.0, 2026.0, 555.0, 526.0, 1586.0, 2169.0, 2015.0}","{649.0, 2026.0, 555.0, 2060.0, 493.0, 1586.0, 2169.0}","{649.0, 2026.0, 555.0, 1586.0, 2169.0}","{487.0, 584.0, 649.0, 2026.0, 555.0, 2060.0, 493.0, 526.0, 1586.0, 2169.0, 2015.0}",5,11,0.45454545454545453
F4,"{2150.0, 1115.0, 1099.0, 525.0, 2385.0, 2386.0, 1367.0, 2297.0, 922.0, 1211.0, 2396.0}","{2385.0, 2386.0, 2297.0, 1115.0, 2079.0}","{2385.0, 2386.0, 1115.0, 2297.0}","{2150.0, 1099.0, 525.0, 1211.0, 2385.0, 2386.0, 1367.0, 2297.0, 922.0, 1115.0, 2396.0, 2079.0}",4,12,0.3333333333333333
CM4,"{2041.0, 1778.0, 2372.0}",{2297.0},set(),"{2297.0, 1778.0, 2372.0, 2041.0}",0,4,0.0
D1b,"{354.0, 1287.0, 362.0, 2219.0, 1325.0, 1262.0, 1261.0, 2167.0}","{354.0, 1252.0, 1287.0, 362.0, 2219.0, 1325.0, 2158.0, 1262.0, 1261.0, 2167.0}","{354.0, 1287.0, 362.0, 2219.0, 1325.0, 1262.0, 1261.0, 2167.0}","{354.0, 1252.0, 1287.0, 362.0, 2219.0, 1325.0, 2158.0, 1262.0, 1261.0, 2167.0}",8,10,0.8
A1a,"{242.0, 1834.0, 1955.0, 2101.0}",{2150.0},set(),"{1955.0, 2150.0, 1834.0, 242.0, 2101.0}",0,5,0.0
average,,,,,,,0.43281568664262693
