SQL,hyp_correct,NL_query,index,GT,DB,tables
select T1.mailing_date from Documents_Mailed as T1 join Documents as T2 on T1.document_id = T2.document_id where T2.document_type_code = 7,False,What is the mail date of the document with id 7?,129,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,cre_Doc_Control_Systems,"['documents_mailed', 'documents']"
select Participant_ID from Participants_in_Events,False,What are all the distinct participant ids who attended any events?,134,SELECT count(DISTINCT participant_id) FROM participants_in_Events,local_govt_in_alabama,['participants_in_events']
select Name from people,False,What are the names of entrepreneurs?,143,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,entrepreneur,"['entrepreneur', 'people']"
select Name from people,False,Return the names of entrepreneurs.,144,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,entrepreneur,"['entrepreneur', 'people']"
select count ( Perpetrator_ID ) from perpetrator,False,How many perpetrators are there?,149,SELECT count(*) FROM perpetrator,perpetrator,['perpetrator']
select Injured from perpetrator order by Killed asc,False,List the number of people injured by perpetrators in ascending order.,151,SELECT Injured FROM perpetrator ORDER BY Injured ASC,perpetrator,['perpetrator']
select Name from people,False,What are the names of perpetrators?,154,SELECT T1.Name FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID,perpetrator,"['perpetrator', 'people']"
select Name from people order by Date_of_Birth desc,False,List all people names in the order of their date of birth from old to young.,159,SELECT name FROM people ORDER BY date_of_birth,candidate_poll,['people']
select District from election,False,Show all the distinct districts for elections.,167,SELECT DISTINCT District FROM election,election,['election']
select District from election,False,What are the distinct districts for elections?,168,SELECT DISTINCT District FROM election,election,['election']
select count ( Governor ) from party,False,How many distinct governors are there?,173,SELECT count(DISTINCT Governor) FROM party,election,['party']
select count ( Governor ) from party,False,Count the number of distinct governors.,174,SELECT count(DISTINCT Governor) FROM party,election,['party']
"select Year from party where Governor = ""Eliot"" and Lieutenant_Governor = 1",False,"In which distinct years was the governor ""Eliot Spitzer""?",175,"SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",election,['party']
"select Year from party where Governor = ""Eliot Spitzer""",False,"Find the distinct years when the governor was named ""Eliot Spitzer"".",176,"SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",election,['party']
select count ( * ) from customer,False,How many customers are there?,190,SELECT sum(no_of_customers) FROM bank,loan_1,"['customer', 'bank']"
select count ( * ) from customer,False,What is the total number of customers across banks?,191,SELECT sum(no_of_customers) FROM bank,loan_1,"['customer', 'bank']"
"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York"" and T2.state = 1",False,Find the number of customers in the banks at New York City.,192,SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',loan_1,"['customer', 'bank']"
"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York""",False,What is the total number of customers who use banks in New York City?,193,SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',loan_1,"['customer', 'bank']"
"select state from bank where city = ""New York""",False,Find the branch names of banks in the New York state.,198,SELECT bname FROM bank WHERE state  =  'New York',loan_1,['bank']
"select state from bank where state = ""New York""",False,What are the names of banks in the state of New York?,199,SELECT bname FROM bank WHERE state  =  'New York',loan_1,['bank']
select count ( city ) from bank,False,Find the number of different cities which banks are located at.,202,SELECT count(DISTINCT city) FROM bank,loan_1,['bank']
select count ( city ) from bank,False,In how many different cities are banks located?,203,SELECT count(DISTINCT city) FROM bank,loan_1,['bank']
select count ( state ) from bank,False,Find the number of different states which banks are located at.,204,SELECT count(DISTINCT state) FROM bank,loan_1,['bank']
select count ( state ) from bank,False,In how many different states are banks located?,205,SELECT count(DISTINCT state) FROM bank,loan_1,['bank']
select count ( acc_type ) from customer,False,How many distinct types of accounts are there?,206,SELECT count(DISTINCT acc_type) FROM customer,loan_1,['customer']
select count ( acc_type ) from customer,False,Count the number of different account types.,207,SELECT count(DISTINCT acc_type) FROM customer,loan_1,['customer']
select branch_ID from loan,False,Find the name of bank branches that provided some loans.,208,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,loan_1,"['loan', 'bank']"
select count ( no_of_loans ) from customer,False,What are the names of the different banks that have provided loans?,209,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,loan_1,"['customer', 'loan', 'bank']"
select count () from Fault_Log_Parts,False,How many fault status codes are recorded in the fault log parts table?,211,SELECT DISTINCT fault_status FROM Fault_Log_Parts,assets_maintenance,['fault_log_parts']
select count ( services ) from station,False,How many different services are provided by all stations?,213,SELECT count(DISTINCT services) FROM station,station_weather,['station']
"select Year from competition where Competition_type != ""Tournament""",False,"What are the distinct years in which the competitions type is not ""Tournament""?",221,"SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",sports_competition,['competition']
select Year from competition where Competition_type != 1,False,What are the different years for all competitions that are not of type equal to tournament?,222,"SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",sports_competition,['competition']
select name from club order by Start_year desc limit 1,False,What are the names of all the clubs starting with the oldest?,226,SELECT name FROM club ORDER BY Start_year ASC,sports_competition,['club']
select Position from player where Position > 20 group by Position having avg ( Points ) > 1,False,List the position of players with average number of points scored by players of that position bigger than 20.,229,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,sports_competition,['player']
select Position from player where Position > ( select avg ( Points ) from player group by Position,False,What are the positions of players whose average number of points scored by that position is larger than 20?,230,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,sports_competition,['player']
select Competition_type from competition group by Competition_type order by count ( * ) desc limit 5,False,What are the types of competition that have most 5 competitions for that type?,232,SELECT Competition_type FROM competition GROUP BY Competition_type HAVING COUNT(*)  <=  5,sports_competition,['competition']
select Points from player,False,Show total points of all players.,233,SELECT sum(Points) FROM player,sports_competition,['player']
select count ( Position ) from player,False,how many different positions are there?,235,SELECT count(DISTINCT POSITION) FROM player,sports_competition,['player']
select count ( Position ) from player,False,How many different position for players are listed?,236,SELECT count(DISTINCT POSITION) FROM player,sports_competition,['player']
"select song_name from song where languages = ""English""",False,Find the names of all English songs.,237,"SELECT song_name FROM song WHERE languages  =  ""english""",music_1,['song']
"select song_name from song where languages = ""English""",False,What are the names of all songs in English?,238,"SELECT song_name FROM song WHERE languages  =  ""english""",music_1,['song']
"select formats from files where formats = ""mp3""",False,What are the id of all the files in mp3 format?,240,"SELECT f_id FROM files WHERE formats  =  ""mp3""",music_1,['files']
"select count ( * ) from artist where country = ""Bangladeshi""",False,How many Bangladeshi artists are listed?,242,"SELECT count(*) FROM artist WHERE country  =  ""Bangladesh""",music_1,['artist']
select count ( * ) from company where Headquarters = 1,False,How many companies are headquartered in the US?,250,SELECT count(*) FROM company WHERE Headquarters  =  'USA',company_employee,['company']
select Country from market group by Country order by count ( * ) desc,False,List all countries of markets in descending order of number of cities.,265,SELECT Country FROM market ORDER BY Number_cities DESC,film_rank,['market']
select Country from market group by Country order by count ( * ) desc,False,What are the countries for each market ordered by decreasing number of cities?,266,SELECT Country FROM market ORDER BY Number_cities DESC,film_rank,['market']
select Studio from film group by avg ( Gross_in_dollar ) > 4500000,False,List the studios which average gross is above 4500000.,269,SELECT Studio FROM film GROUP BY Studio HAVING avg(Gross_in_dollar)  >=  4500000,film_rank,['film']
select Fname from Student,False,What are the first names of all the students?,277,SELECT DISTINCT fname FROM student,club_1,['student']
select Fname from Student,False,Find each student's first name.,278,SELECT DISTINCT fname FROM student,club_1,['student']
select count ( * ) from Staff_Roles,False,How many kinds of roles are there for the staff?,293,SELECT count(DISTINCT role_code) FROM Project_Staff,tracking_grants_for_research,"['project_staff', 'staff_roles']"
select count ( role_code ) from Project_Staff,False,How many different roles are there on the project staff?,294,SELECT count(DISTINCT role_code) FROM Project_Staff,tracking_grants_for_research,['project_staff']
"select T5.role_description , T7.organisation_type_description from Research_Outcomes as T1 join Project_Outcomes as T2 on T1.outcome_code = T2.outcome_code join Projects as T3 on T2.project_id = T3.project_id join Project_Staff as T4 on T3.project_id = T4.project_id join Staff_Roles as T5 on T4.role_code = T5.role_code join Organisations as T6 on T3.organisation_id = T6.organisation_id join Organisation_Types as T7 on T6.organisation_type = T7.organisation_type where T1.outcome_description = 1",False,What is the complete description of the researcher role.,295,SELECT role_description FROM Staff_Roles WHERE role_code  =  'researcher',tracking_grants_for_research,"['research_outcomes', 'project_outcomes', 'organisations', 'project_staff', 'projects', 'staff_roles', 'organisation_types']"
select sum ( organisation_type_description ) from Organisation_Types,False,What is the complete description of the job of a researcher?,296,SELECT role_description FROM Staff_Roles WHERE role_code  =  'researcher',tracking_grants_for_research,"['organisation_types', 'staff_roles']"
select count ( * ) from Project_Outcomes,False,How many Patent outcomes are generated from all the projects?,297,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tracking_grants_for_research,['project_outcomes']
select count ( outcome_code ) from Project_Outcomes,False,How many patents outcomes were listed for all the projects?,298,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tracking_grants_for_research,['project_outcomes']
select outcome_description from Research_Outcomes,False,What are the descriptions of all the project outcomes?,303,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tracking_grants_for_research,"['project_outcomes', 'research_outcomes']"
select outcome_description from Research_Outcomes,False,List the description of the outcomes for all projects.,304,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tracking_grants_for_research,"['project_outcomes', 'research_outcomes']"
select count ( gender ) from Person where limit 'f' = 1,False,How many females does this network has?,305,SELECT count(*) FROM Person WHERE gender  =  'female',network_2,['person']
select count ( job ) from Person,False,How many type of jobs do they have?,311,SELECT count(DISTINCT job) FROM Person,network_2,['person']
select count ( job ) from Person,False,How many different jobs are listed?,312,SELECT count(DISTINCT job) FROM Person,network_2,['person']
select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,False,Find the person who has exactly one friend.,317,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,network_2,"['personfriend', 'person']"
select premises_type from Premises,False,What are all the distinct premise types?,323,SELECT DISTINCT premises_type FROM premises,customers_campaigns_ecommerce,['premises']
select address_type_code from Customer_Addresses,False,What are the distinct address type codes for all customer addresses?,324,SELECT DISTINCT address_type_code FROM customer_addresses,customers_campaigns_ecommerce,['customer_addresses']
select CName from Course group by CName having count ( Credits ) = 1,False,List all names of courses with 1 credit?,329,SELECT CName FROM COURSE WHERE Credits  =  1,college_3,['course']
select CName from Course group by CName having count ( Credits ) = 1,False,What are the names of courses with 1 credit?,330,SELECT CName FROM COURSE WHERE Credits  =  1,college_3,['course']
"select T2.CName from Department as T1 join Course as T2 on T1.DNO = T2.DNO where T1.DName = ""MTW""",False,What are the course names for courses taught on MTW?,332,"SELECT CName FROM COURSE WHERE Days  =  ""MTW""",college_3,"['course', 'department']"
select DPhone from Department where Division = 268,False,What are the phones of departments in Room 268?,335,SELECT DPhone FROM DEPARTMENT WHERE Room  =  268,college_3,['department']
select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = 'b',False,"Find the number of students that have at least one grade ""B"".",337,"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",college_3,"['student', 'enrolled_in']"
"select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = ""B""",False,"How many students have had at least one ""B"" grade?",338,"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",college_3,"['student', 'enrolled_in']"
select Fname from Student order by Age asc,False,"What are the first names of students, ordered by age from greatest to least?",346,SELECT Fname FROM STUDENT ORDER BY Age DESC,college_3,['student']
select count ( * ) from airport_aircraft,False,What is the number of aircraft?,348,SELECT count(*) FROM aircraft,aircraft,"['aircraft', 'airport_aircraft']"
select count ( enr ) from College,False,How many students are enrolled in college?,360,SELECT sum(enr) FROM College,soccer_2,['college']
"select avg ( enr ) , count ( * ) from College group by cName",False,"How many students, on average, does each college have enrolled?",362,SELECT avg(enr) FROM College,soccer_2,['college']
select count ( cName ) from College,False,How many different colleges are there?,364,SELECT count(*) FROM College,soccer_2,['college']
select count ( HS ) from Player where HS > 1000,False,How many different players trained for more than 1000 hours?,366,SELECT count(*) FROM Player WHERE HS  >  1000,soccer_2,['player']
select count ( cName ) from Tryout,False,How many different colleges do attend the tryout test?,371,SELECT count(DISTINCT cName) FROM tryout,soccer_2,['tryout']
select count ( cName ) from Tryout,False,How many different colleges were represented at tryouts?,372,SELECT count(DISTINCT cName) FROM tryout,soccer_2,['tryout']
select pPos from Tryout,False,What are the unique types of player positions in the tryout?,373,SELECT count(DISTINCT pPos) FROM tryout,soccer_2,['tryout']
select pPos from Tryout,False,What are the different types of player positions?,374,SELECT count(DISTINCT pPos) FROM tryout,soccer_2,['tryout']
select count ( * ) from Tryout,False,How many students received a yes from tryouts?,376,SELECT count(*) FROM tryout WHERE decision  =  'yes',soccer_2,['tryout']
"select count ( T1.pPos ) from Tryout as T1 join Player as T2 on T1.pID = T2.pID where T2.pName = ""goalie""",False,What is the number of students playing as a goalie?,378,SELECT count(*) FROM tryout WHERE pPos  =  'goalie',soccer_2,"['player', 'tryout']"
"select avg ( enr ) from College where state = ""Florida""",False,What is average number of students enrolled in Florida colleges?,380,SELECT avg(enr) FROM College WHERE state  =  'FL',soccer_2,['college']
select * from College order by enr desc,False,What information do you have on colleges sorted by increasing enrollment numbers?,384,SELECT * FROM College ORDER BY enr,soccer_2,['college']
select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,False,Find the name of different colleges involved in the tryout in alphabetical order.,385,SELECT DISTINCT cName FROM tryout ORDER BY cName,soccer_2,"['tryout', 'college']"
select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,False,What are the different names of the colleges involved in the tryout in alphabetical order?,386,SELECT DISTINCT cName FROM tryout ORDER BY cName,soccer_2,"['tryout', 'college']"
select state from College,False,Find the states where have some college students in tryout.,387,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,soccer_2,"['tryout', 'college']"
select count ( state ) from College,False,What are the different states that have students trying out?,388,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,soccer_2,"['tryout', 'college']"
"select count ( cName ) from Tryout where pPos = ""goalie"" and pPos = ""mid""",False,How many schools have some students playing in goalie and mid positions.,389,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),soccer_2,['tryout']
"select count ( cName ) from Tryout where pPos = ""goalie"" and pPos = ""mid field""",False,How many schools have students playing in goalie and mid-field positions?,390,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),soccer_2,['tryout']
select count ( T2.state ) from Tryout as T1 join College as T2 on T1.cName = T2.cName where T1.pPos = 'mid' except select T4.state from Tryout as T3 join College as T4 on T3.cName = T4.cName where T3.pPos = 'goalie',False,How many states that have some college students playing in the mid position but not in the goalie position.,391,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),soccer_2,"['tryout', 'college']"
"select count ( T2.state ) from Tryout as T1 join College as T2 on T1.cName = T2.cName where T1.pPos = ' and T1.cName = ""goalies""",False,What is the count of states with college students playing in the mid position but not as goalies?,392,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),soccer_2,"['tryout', 'college']"
select Carrier from device order by Device asc,False,List the carriers of devices in ascending alphabetical order.,395,SELECT Carrier FROM device ORDER BY Carrier ASC,device,['device']
select Carrier from device order by Device,False,"What are the different carriers for devices, listed in alphabetical order?",396,SELECT Carrier FROM device ORDER BY Carrier ASC,device,['device']
select Device from device except select Carrier from device where Software_Platform = 'Android',False,Return the device carriers that do not have Android as their software platform.,398,SELECT Carrier FROM device WHERE Software_Platform != 'Android',device,['device']
select count ( Software_Platform ) from device,False,How many different software platforms are there for devices?,403,SELECT count(DISTINCT Software_Platform) FROM device,device,['device']
select count ( Software_Platform ) from device,False,Count the number of different software platforms.,404,SELECT count(DISTINCT Software_Platform) FROM device,device,['device']
select T2.City from membership_register_branch as T1 join branch as T2 on T1.Branch_ID = T2.Branch_ID group by T1.Branch_ID having count ( * ) >= 100,False,Show all distinct city where branches with at least 100 memberships are located.,413,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,shop_membership,"['branch', 'membership_register_branch']"
select T1.Hometown from member as T1 join purchase as T2 on T1.Member_ID = T2.Member_ID join branch as T3 on T2.Branch_ID = T3.Branch_ID where T3.City > 100,False,What are the different cities that have more than 100 memberships?,414,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,shop_membership,"['member', 'branch', 'purchase']"
select Open_year from branch group by Open_year having count ( ) >= 2,False,List all open years when at least two shops are opened.,415,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,shop_membership,['branch']
select Open_year from branch group by Open_year having count ( ) >= 2,False,What are the opening years in which at least two shops opened?,416,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,shop_membership,['branch']
select count ( Level ) from member,False,How many different levels do members have?,417,SELECT count(DISTINCT LEVEL) FROM member,shop_membership,['member']
select Level from member,False,What are the different membership levels?,418,SELECT count(DISTINCT LEVEL) FROM member,shop_membership,['member']
select dorm_name from Dorm where gender = 'F' and gender = 1,False,Find the name of dorms only for female (F gender).,422,SELECT dorm_name FROM dorm WHERE gender  =  'F',dorm_1,['dorm']
select dorm_name from Dorm where gender = 'f',False,What are the names of the all-female dorms?,423,SELECT dorm_name FROM dorm WHERE gender  =  'F',dorm_1,['dorm']
select count ( amenity_name ) from Dorm_amenity,False,Find the number of distinct amenities.,430,SELECT count(*) FROM dorm_amenity,dorm_1,['dorm_amenity']
select count ( amenity_name ) from Dorm_amenity,False,How many diffrent dorm amenities are there?,431,SELECT count(*) FROM dorm_amenity,dorm_1,['dorm_amenity']
select count ( * ) from Dorm_amenity,False,Find the number of dorms that have some amenity.,436,SELECT count(DISTINCT dormid) FROM has_amenity,dorm_1,"['has_amenity', 'dorm_amenity']"
select count ( dorm_name ) from Dorm,False,How many dorms have amenities?,437,SELECT count(DISTINCT dormid) FROM has_amenity,dorm_1,"['dorm', 'has_amenity']"
select count ( gender ) from Dorm,False,Find the number of distinct gender for dorms.,438,SELECT count(DISTINCT gender) FROM dorm,dorm_1,['dorm']
select count ( gender ) from Dorm,False,How many different genders are there in the dorms?,439,SELECT count(DISTINCT gender) FROM dorm,dorm_1,['dorm']
select amenity_name from Dorm_amenity order by limit 1,False,List in alphabetic order all different amenities.,440,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,dorm_1,['dorm_amenity']
select T3.amenity_name from Dorm as T1 join Has_amenity as T2 on T1.dormid = T2.dormid join Dorm_amenity as T3 on T2.amenid = T3.amenid order by T1.dorm_name,False,What are the different dorm amenity names in alphabetical order?,441,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,dorm_1,"['dorm', 'has_amenity', 'dorm_amenity']"
select count ( complaint_type_code ) from Complaints,False,How many distinct complaint type codes are there in the database?,448,SELECT count(DISTINCT complaint_type_code) FROM complaints,customer_complaints,['complaints']
select count ( complaint_type_code ) from Complaints,False,Count the number of different complaint type codes.,449,SELECT count(DISTINCT complaint_type_code) FROM complaints,customer_complaints,['complaints']
select count ( * ) from Video_Games,False,How many video game types exist?,452,SELECT count(DISTINCT gtype) FROM Video_games,game_1,['video_games']
