SQL,hyp_correct,NL_query,index,GT,DB,tables
SELECT Products.product_color FROM Products,False,Show all product colors.,90,SELECT DISTINCT product_color FROM Products,customers_and_invoices,['products']
SELECT COUNT(*) FROM budget WHERE budget.Budget_invested_percent < (SELECT MIN(budget.Invested) FROM budget),False,How many budget record has a budget amount smaller than the invested amount?,106,SELECT count(*) FROM budget WHERE budgeted  <  invested,school_finance,['budget']
"SELECT COUNT(*), endowment.School_id FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.School_id HAVING COUNT(*) > 1",False,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,107,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),school_finance,['endowment']
SELECT Products_Booked.product_id FROM Products_Booked GROUP BY Products_Booked.product_id HAVING COUNT(*) >= 3,False,What is the id of the product that is booked for 3 times?,110,SELECT product_id FROM products_booked GROUP BY product_id HAVING count(*)  =  3,products_for_hire,['products_booked']
SELECT Employees.role_code FROM Employees,False,What are all role codes?,123,SELECT role_code FROM ROLES;,cre_Doc_Control_Systems,"['employees', 'roles']"
SELECT DISTINCT Participants_in_Events.Participant_ID FROM Participants_in_Events,False,What are all the distinct participant ids who attended any events?,134,SELECT count(DISTINCT participant_id) FROM participants_in_Events,local_govt_in_alabama,['participants_in_events']
SELECT SUM(perpetrator.Injured) FROM perpetrator ORDER BY perpetrator.Injured ASC,False,List the number of people injured by perpetrators in ascending order.,151,SELECT Injured FROM perpetrator ORDER BY Injured ASC,perpetrator,['perpetrator']
SELECT people.Name FROM people ORDER BY people.Date_of_Birth DESC,False,List all people names in the order of their date of birth from old to young.,159,SELECT name FROM people ORDER BY date_of_birth,candidate_poll,['people']
SELECT COUNT(*) FROM customer,False,How many customers are there?,190,SELECT sum(no_of_customers) FROM bank,loan_1,"['bank', 'customer']"
SELECT COUNT(*) FROM bank,False,What is the total number of customers across banks?,191,SELECT sum(no_of_customers) FROM bank,loan_1,['bank']
"SELECT COUNT(*) FROM bank WHERE bank.city = ""New York""",False,Find the number of customers in the banks at New York City.,192,SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',loan_1,['bank']
"SELECT SUM(bank.no_of_customers) FROM bank WHERE bank.city = ""New York""",False,What is the total number of customers who use banks in New York City?,193,SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',loan_1,['bank']
SELECT DISTINCT bank.branch_ID FROM bank JOIN loan ON bank.branch_ID = loan.branch_ID,False,Find the name of bank branches that provided some loans.,208,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,loan_1,"['bank', 'loan']"
SELECT DISTINCT customer.cust_name FROM bank JOIN loan ON bank.branch_ID = loan.cust_ID JOIN customer ON bank.branch_ID = customer.branch_ID,False,What are the names of the different banks that have provided loans?,209,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,loan_1,"['customer', 'bank', 'loan']"
SELECT COUNT(DISTINCT Fault_Log_Parts.fault_status) FROM Fault_Log_Parts,False,How many fault status codes are recorded in the fault log parts table?,211,SELECT DISTINCT fault_status FROM Fault_Log_Parts,assets_maintenance,['fault_log_parts']
SELECT SUM(club_rank.Total) FROM club JOIN club_rank ON club.Club_ID = club_rank.Club_ID,False,What is the total number of clubs?,216,SELECT count(*) FROM club,sports_competition,"['club_rank', 'club']"
SELECT SUM(club_rank.Total) FROM club_rank GROUP BY club_rank.Club_ID HAVING AVG(club_rank.Total) < 10,False,What is the total number of clubs that have less than 10 medals in total?,224,SELECT count(*) FROM club_rank WHERE Total  <  10,sports_competition,['club_rank']
SELECT club.name FROM club ORDER BY club.Start_year LIMIT 1,False,What are the names of all the clubs starting with the oldest?,226,SELECT name FROM club ORDER BY Start_year ASC,sports_competition,['club']
SELECT player.Position FROM player GROUP BY player.Position HAVING AVG(player.Points) > 20,False,List the position of players with average number of points scored by players of that position bigger than 20.,229,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,sports_competition,['player']
SELECT player.Position FROM player GROUP BY player.Position HAVING AVG(player.Points) > 20,False,What are the positions of players whose average number of points scored by that position is larger than 20?,230,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20,sports_competition,['player']
SELECT competition.Competition_type FROM competition GROUP BY competition.Competition_type HAVING COUNT(*) <= 10,False,List the types of competition that have at most five competitions of that type.,231,SELECT Competition_type FROM competition GROUP BY Competition_type HAVING COUNT(*)  <=  5,sports_competition,['competition']
SELECT competition.Competition_type FROM competition GROUP BY competition.Competition_type HAVING COUNT(*) > 5 ORDER BY COUNT(*) DESC LIMIT 5,False,What are the types of competition that have most 5 competitions for that type?,232,SELECT Competition_type FROM competition GROUP BY Competition_type HAVING COUNT(*)  <=  5,sports_competition,['competition']
"SELECT song.song_name FROM song WHERE song.languages = ""English""",False,Find the names of all English songs.,237,"SELECT song_name FROM song WHERE languages  =  ""english""",music_1,['song']
"SELECT song.song_name FROM song WHERE song.languages = ""English""",False,What are the names of all songs in English?,238,"SELECT song_name FROM song WHERE languages  =  ""english""",music_1,['song']
"SELECT files.file_size FROM files WHERE files.formats = ""mp3""",False,What are the id of all the files in mp3 format?,240,"SELECT f_id FROM files WHERE formats  =  ""mp3""",music_1,['files']
"SELECT COUNT(*) FROM artist WHERE artist.country = ""Bangladeshi""",False,How many Bangladeshi artists are listed?,242,"SELECT count(*) FROM artist WHERE country  =  ""Bangladesh""",music_1,['artist']
"SELECT COUNT(*) FROM company WHERE company.Headquarters = ""VALUE""",False,How many companies are headquartered in the US?,250,SELECT count(*) FROM company WHERE Headquarters  =  'USA',company_employee,['company']
SELECT Student.Fname FROM Student,False,What are the first names of all the students?,277,SELECT DISTINCT fname FROM student,club_1,['student']
SELECT Student.Fname FROM Student,False,Find each student's first name.,278,SELECT DISTINCT fname FROM student,club_1,['student']
"SELECT Club.ClubDesc FROM Club WHERE Club.ClubName = ""Tennis club""",False,"What is the description of the club named ""Tennis Club""?",279,"SELECT clubdesc FROM club WHERE clubname  =  ""Tennis Club""",club_1,['club']
"SELECT Club.ClubDesc FROM Club WHERE Club.ClubName = ""Tennis club""",False,"Find the description of the club called ""Tennis Club"".",280,"SELECT clubdesc FROM club WHERE clubname  =  ""Tennis Club""",club_1,['club']
"SELECT Club.ClubLocation FROM Club WHERE Club.ClubName = ""Tennis club""",False,"What is the location of the club named ""Tennis Club""?",283,"SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club""",club_1,['club']
"SELECT Club.ClubLocation FROM Club WHERE Club.ClubName = ""Tennis club""",False,"Where us the club named ""Tennis Club"" located?",284,"SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club""",club_1,['club']
"SELECT SUM(Staff_Roles.role_description) FROM Staff_Roles WHERE Staff_Roles.role_code = ""researcher""",False,What is the complete description of the researcher role.,295,SELECT role_description FROM Staff_Roles WHERE role_code  =  'researcher',tracking_grants_for_research,['staff_roles']
"SELECT SUM(Staff_Roles.role_description) FROM Staff_Roles WHERE Staff_Roles.role_code = ""researcher""",False,What is the complete description of the job of a researcher?,296,SELECT role_description FROM Staff_Roles WHERE role_code  =  'researcher',tracking_grants_for_research,['staff_roles']
SELECT COUNT(*) FROM Project_Outcomes,False,How many Patent outcomes are generated from all the projects?,297,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tracking_grants_for_research,['project_outcomes']
SELECT COUNT(*) FROM Project_Outcomes,False,How many patents outcomes were listed for all the projects?,298,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tracking_grants_for_research,['project_outcomes']
SELECT Research_Outcomes.outcome_description FROM Research_Outcomes,False,What are the descriptions of all the project outcomes?,303,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tracking_grants_for_research,"['research_outcomes', 'project_outcomes']"
SELECT Research_Outcomes.outcome_description FROM Research_Outcomes,False,List the description of the outcomes for all projects.,304,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tracking_grants_for_research,"['research_outcomes', 'project_outcomes']"
"SELECT COUNT(*) FROM Person WHERE Person.gender = ""VALUE""",False,How many females does this network has?,305,SELECT count(*) FROM Person WHERE gender  =  'female',network_2,['person']
"SELECT COUNT(*) FROM Person WHERE Person.gender = ""VALUE""",False,How many females are in the network?,306,SELECT count(*) FROM Person WHERE gender  =  'female',network_2,['person']
SELECT PersonFriend.friend FROM PersonFriend GROUP BY PersonFriend.name HAVING COUNT(*) = 1,False,Find the person who has exactly one friend.,317,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,network_2,['personfriend']
SELECT Course.CName FROM Course WHERE Course.CID = 1,False,What are the names of courses with 1 credit?,330,SELECT CName FROM COURSE WHERE Credits  =  1,college_3,['course']
"SELECT Course.CName FROM Course WHERE Course.CID = ""MTW""",False,What are the course names for courses taught on MTW?,332,"SELECT CName FROM COURSE WHERE Days  =  ""MTW""",college_3,['course']
SELECT COUNT(DISTINCT Department.DName) FROM Department WHERE Department.Division = as,False,"What is the number of departments in Division ""AS""?",333,"SELECT count(*) FROM DEPARTMENT WHERE Division  =  ""AS""",college_3,['department']
SELECT COUNT(DISTINCT Department.DName) FROM Department WHERE Department.Division = as,False,How many departments are in the division AS?,334,"SELECT count(*) FROM DEPARTMENT WHERE Division  =  ""AS""",college_3,['department']
SELECT Student.Fname FROM Student ORDER BY Student.Age,False,"What are the first names of students, ordered by age from greatest to least?",346,SELECT Fname FROM STUDENT ORDER BY Age DESC,college_3,['student']
SELECT aircraft.Description FROM aircraft JOIN airport_aircraft ON aircraft.Aircraft_ID = airport_aircraft.Aircraft_ID,False,What are the descriptions for the aircrafts?,350,SELECT Description FROM aircraft,aircraft,"['airport_aircraft', 'aircraft']"
SELECT COUNT(*) FROM College,False,How many students are enrolled in college?,360,SELECT sum(enr) FROM College,soccer_2,['college']
"SELECT AVG(College.enr), College.cName FROM College GROUP BY College.cName",False,"How many students, on average, does each college have enrolled?",362,SELECT avg(enr) FROM College,soccer_2,['college']
SELECT COUNT(DISTINCT College.cName) FROM College,False,How many different colleges are there?,364,SELECT count(*) FROM College,soccer_2,['college']
SELECT DISTINCT Tryout.pPos FROM Tryout,False,What are the unique types of player positions in the tryout?,373,SELECT count(DISTINCT pPos) FROM tryout,soccer_2,['tryout']
SELECT DISTINCT Tryout.pPos FROM Tryout,False,What are the different types of player positions?,374,SELECT count(DISTINCT pPos) FROM tryout,soccer_2,['tryout']
SELECT * FROM College,False,How many students got accepted after the tryout?,375,SELECT count(*) FROM tryout WHERE decision  =  'yes',soccer_2,"['tryout', 'college']"
"SELECT AVG(College.enr) FROM College WHERE College.state = ""Florida""",False,What is average number of students enrolled in Florida colleges?,380,SELECT avg(enr) FROM College WHERE state  =  'FL',soccer_2,['college']
SELECT * FROM College ORDER BY College.enr DESC,False,What information do you have on colleges sorted by increasing enrollment numbers?,384,SELECT * FROM College ORDER BY enr,soccer_2,['college']
SELECT College.state FROM Tryout JOIN College ON Tryout.cName = College.cName,False,Find the states where have some college students in tryout.,387,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,soccer_2,"['tryout', 'college']"
"SELECT COUNT(DISTINCT Tryout.pPos) FROM Tryout WHERE Tryout.pPos = ""goalie"" OR Tryout.pPos = ""mid""",False,How many schools have some students playing in goalie and mid positions.,389,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),soccer_2,['tryout']
"SELECT COUNT(*) FROM Tryout WHERE Tryout.pPos = ""goalie"" OR Tryout.pPos = ""mid mid""",False,How many schools have students playing in goalie and mid-field positions?,390,SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),soccer_2,['tryout']
"SELECT COUNT(*) FROM Tryout WHERE Tryout.pPos = ""mid"" AND Tryout.pPos != ""goalie""",False,How many states that have some college students playing in the mid position but not in the goalie position.,391,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),soccer_2,"['tryout', 'college']"
"SELECT COUNT(*) FROM Tryout WHERE Tryout.pPos = ""mid"" AND Tryout.pPos != ""goalies""",False,What is the count of states with college students playing in the mid position but not as goalies?,392,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),soccer_2,"['tryout', 'college']"
SELECT member.Hometown FROM member GROUP BY member.Hometown HAVING COUNT(*) > 100,False,What are the different cities that have more than 100 memberships?,414,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,shop_membership,"['branch', 'member']"
SELECT DISTINCT member.Level FROM member,False,What are the different membership levels?,418,SELECT count(DISTINCT LEVEL) FROM member,shop_membership,['member']
"SELECT Dorm.dorm_name FROM Dorm WHERE Dorm.gender = ""VALUE""",False,What are the names of the all-female dorms?,423,SELECT dorm_name FROM dorm WHERE gender  =  'F',dorm_1,['dorm']
SELECT Dorm.dorm_name FROM Dorm JOIN Lives_in ON Dorm.dormid = Lives_in.dormid WHERE Lives_in.stuid > 300 GROUP BY Dorm.dormid,False,What are the names of all the dorms that can accomdate more than 300 students?,425,SELECT dorm_name FROM dorm WHERE student_capacity  >  300,dorm_1,"['lives_in', 'dorm']"
SELECT COUNT(DISTINCT Dorm_amenity.amenity_name) FROM Dorm_amenity,False,Find the number of distinct amenities.,430,SELECT count(*) FROM dorm_amenity,dorm_1,['dorm_amenity']
SELECT COUNT(*) FROM Dorm,False,How many diffrent dorm amenities are there?,431,SELECT count(*) FROM dorm_amenity,dorm_1,"['dorm_amenity', 'dorm']"
SELECT COUNT(*) FROM Dorm,False,How many dorms have amenities?,437,SELECT count(DISTINCT dormid) FROM has_amenity,dorm_1,"['has_amenity', 'dorm']"
SELECT DISTINCT Dorm.dorm_name FROM Dorm JOIN Dorm_amenity ON Dorm.dormid = Dorm_amenity.amenid ORDER BY Dorm_amenity.amenity_name,False,What are the different dorm amenity names in alphabetical order?,441,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,dorm_1,"['dorm_amenity', 'dorm']"
SELECT Video_Games.GName FROM Video_Games,False,What are the names of all video games that are collectible cards?,457,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game""",game_1,['video_games']
"SELECT Video_Games.GType FROM Video_Games WHERE Video_Games.GName = ""Destiny""",False,What is the type of video game Call of Destiny.,458,"SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny""",game_1,['video_games']
"SELECT Video_Games.GType FROM Video_Games WHERE Video_Games.GName = ""Call Destiny""",False,What type of game is Call of Destiny?,459,"SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny""",game_1,['video_games']
SELECT DISTINCT Student.Advisor FROM Student,False,What are the advisors,469,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,game_1,['student']
SELECT COUNT(*) FROM SportsInfo,False,How many sports do we have?,470,SELECT count(DISTINCT sportname) FROM Sportsinfo,game_1,['sportsinfo']
SELECT COUNT(DISTINCT Video_Games.GType) FROM Video_Games,False,How many different types of sports do we offer?,471,SELECT count(DISTINCT sportname) FROM Sportsinfo,game_1,"['video_games', 'sportsinfo']"
SELECT COUNT(DISTINCT Plays_Games.StuID) FROM Plays_Games,False,How many students play sports?,472,SELECT count(DISTINCT StuID) FROM Sportsinfo,game_1,"['plays_games', 'sportsinfo']"
SELECT Student.StuID FROM Student,False,List ids for all student who are on scholarship.,474,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',game_1,"['student', 'sportsinfo']"
SELECT SportsInfo.StuID FROM SportsInfo,False,What are the ids for all sporty students who are on scholarship?,475,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',game_1,['sportsinfo']
SELECT COUNT(*) FROM Plays_Games,False,How many games are played for all students?,476,SELECT sum(gamesplayed) FROM Sportsinfo,game_1,"['plays_games', 'sportsinfo']"
SELECT Forms.form_type_code FROM Forms,False,List all the types of forms.,487,SELECT DISTINCT form_type_code FROM forms,e_government,['forms']
SELECT school.Type FROM school GROUP BY school.Type HAVING COUNT(*) >= 2,False,Show the types of schools that have two schools.,504,SELECT TYPE FROM school GROUP BY TYPE HAVING count(*)  =  2,school_bus,['school']
SELECT COUNT(DISTINCT Ref_Budget_Codes.Budget_Type_Code) FROM Ref_Budget_Codes,False,How many budget types do we have?,519,SELECT count(*) FROM Ref_budget_codes,cre_Docs_and_Epenses,['ref_budget_codes']
SELECT station.Location FROM station JOIN train_station ON station.Station_ID = train_station.Station_ID,False,What are all locations of train stations?,528,SELECT DISTINCT LOCATION FROM station,train_station,"['train_station', 'station']"
"SELECT COUNT(*) FROM Staff JOIN Addresses ON Staff.staff_address_id = Addresses.address_id WHERE Addresses.state_province_county = ""Georgia""",False,How many staff live in state Georgia?,541,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",driving_school,"['addresses', 'staff']"
"SELECT Customers.date_of_birth FROM Customers WHERE Customers.customer_status_code = ""Good customer""",False,When are the birthdays of customer who are classified as 'Good Customer' status?,543,SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer',driving_school,['customers']
"SELECT Customers.date_of_birth FROM Customers WHERE Customers.customer_status_code = ""Good customer""",False,What is the date of birth of every customer whose status code is 'Good Customer'?,544,SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer',driving_school,['customers']
"SELECT COUNT(*) FROM Lessons WHERE Lessons.lesson_status_code = ""cancelled""",False,How many lessons were in cancelled state?,547,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",driving_school,['lessons']
"SELECT COUNT(*) FROM Lessons WHERE Lessons.lesson_status_code = ""cancelled""",False,How many lessons have been cancelled?,548,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",driving_school,['lessons']
SELECT airports.name FROM airports WHERE airports.elevation BETWEEN 50 AND 50,False,Find the name of airports whose altitude is between -50 and 50.,557,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,flight_4,['airports']
SELECT airports.name FROM airports WHERE airports.elevation BETWEEN 50 AND 50,False,What are the names of all airports whose elevation is between -50 and 50?,558,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,flight_4,['airports']
"SELECT COUNT(*) FROM airports WHERE airports.country = ""Greenland""",False,In how many cities are there airports in the country of Greenland?,560,SELECT count(DISTINCT city) FROM airports WHERE country  =  'Greenland',flight_4,['airports']
SELECT COUNT(*) FROM airports GROUP BY airports.city HAVING COUNT(*) > 3,False,How many cities are there that have more than 3 airports?,561,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),flight_4,['airports']
SELECT COUNT(*) FROM airports GROUP BY airports.city HAVING COUNT(*) > 3,False,What is the count of cities with more than 3 airports?,562,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),flight_4,['airports']
SELECT Order_Items.order_id FROM Order_Items WHERE Order_Items.product_id = 11,False,Find the ids of all the order items whose product id is 11.,567,SELECT order_item_id FROM order_items WHERE product_id = 11,tracking_orders,['order_items']
SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,False,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,583,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,car_1,['cars_data']
SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,False,What is the average miles per gallon of all the cards with 4 cylinders?,584,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,car_1,['cars_data']
SELECT COUNT(*) FROM car_names WHERE car_names.Model = 1980,False,"In 1980, how many cars were made?",592,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,car_1,"['car_names', 'cars_data']"
SELECT cars_data.Year FROM cars_data WHERE cars_data.Weight <= 3000 AND 4000,False,In which years cars were produced weighing no less than 3000 and no more than 4000 ?,593,select distinct year from cars_data where weight between 3000 and 4000;,car_1,['cars_data']
"SELECT COUNT(DISTINCT Cartoon.Written_by) FROM Cartoon WHERE Cartoon.Written_by = ""Joseph Kuhr""",False,"How many cartoons were written by ""Joseph Kuhr""?",611,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",tvshow,['cartoon']
"SELECT COUNT(DISTINCT Cartoon.Written_by) FROM Cartoon WHERE Cartoon.Written_by = ""Joseph Kuhr""",False,What is the number of cartoones written by Joseph Kuhr?,612,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",tvshow,['cartoon']
"SELECT TV_series.Air_Date FROM TV_series WHERE TV_series.Episode = ""A Love of A Lifetime""",False,"What is the air date of TV series with Episode ""A Love of a Lifetime""?",621,"SELECT Air_Date FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tvshow,['tv_series']
"SELECT TV_series.Air_Date FROM TV_series WHERE TV_series.Episode = ""A Love of A Lifetime""",False,"When did the episode ""A Love of a Lifetime"" air?",622,"SELECT Air_Date FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tvshow,['tv_series']
"SELECT TV_series.Weekly_Rank FROM TV_series WHERE TV_series.Episode = ""A Love of A Lifetime""",False,"What is Weekly Rank of TV series with Episode ""A Love of a Lifetime""?",623,"SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tvshow,['tv_series']
"SELECT TV_series.Weekly_Rank FROM TV_series WHERE TV_series.Episode = ""A Love of A Lifetime""",False,"What is the weekly rank for the episode ""A Love of a Lifetime""?",624,"SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tvshow,['tv_series']
SELECT TV_Channel.Country FROM TV_Channel GROUP BY TV_Channel.Country HAVING COUNT(*) > 2,False,find id of the tv channels that from the countries where have more than two tv channels.,625,SELECT id FROM tv_channel GROUP BY country HAVING count(*)  >  2,tvshow,['tv_channel']
SELECT TV_series.Channel FROM TV_series GROUP BY TV_series.Channel HAVING COUNT(*) > 2,False,What are the ids of all tv channels that have more than 2 TV channels?,626,SELECT id FROM tv_channel GROUP BY country HAVING count(*)  >  2,tvshow,"['tv_series', 'tv_channel']"
"SELECT department.Name, COUNT(*) FROM management JOIN department ON department.Department_ID = management.head_ID WHERE management.temporary_acting = ""yes""",False,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,630,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",department_management,"['department', 'management']"
SELECT DISTINCT head.age FROM head,False,What are the distinct ages of the heads who are acting?,631,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',department_management,"['management', 'head']"
"SELECT department.Department_ID, department.Name, COUNT(*) FROM department JOIN management ON department.Department_ID = management.head_ID GROUP BY management.department_ID HAVING COUNT(*) > 1",False,"Which department has more than 1 head at a time? List the id, name and the number of heads.",632,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1",department_management,"['department', 'management']"
"SELECT head.head_ID, head.name FROM head WHERE head.name LIKE ""% Ha %""",False,Which head's name has the substring 'Ha'? List the id and name.,633,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'",department_management,['head']
"SELECT Catalogs.catalog_publisher FROM Catalogs WHERE Catalogs.catalog_name LIKE ""% Murray %""",False,"Find all the catalog publishers whose name contains ""Murray""",636,"SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",product_catalog,['catalogs']
"SELECT Catalogs.catalog_publisher FROM Catalogs WHERE Catalogs.catalog_name LIKE ""% Murray %""",False,"Which catalog publishers have substring ""Murray"" in their names?",637,"SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",product_catalog,['catalogs']
"SELECT Catalogs.catalog_name, Catalogs.date_of_publication FROM Catalogs JOIN Catalog_Structure ON Catalogs.catalog_id = Catalog_Structure.catalog_id WHERE Catalog_Structure.catalog_level_name > 5",False,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,638,"SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",product_catalog,"['catalog_structure', 'catalogs']"
