,Unnamed: 0,sql_id,nl_query,sql,GT_sql,tianyi_code,zhengn_code
38,38,475,What are the ids for all sporty students who are on scholarship?,SELECT SportsInfo.StuID FROM SportsInfo,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',"BN1, F4","BN1, F4"
39,39,1045,"How many songs, on average, are sung by a female artist?","SELECT COUNT(song.song_name) FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = ""VALUE""","SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""","BL1, L4, D1, F4","D1, L4, F4, BL1"
40,40,868,List the document ids for any documents with the status code done and the type code paper.,"SELECT Documents.document_id FROM Documents WHERE Documents.document_status_code = ""done"" AND Documents.document_type_code = ""paper""","SELECT document_id FROM Documents WHERE document_status_code = ""done"" AND document_type_code = ""Paper"";","BL1, L4, D1, D1a","D1, L4, D1a, BL1"
41,41,1325,"Which problems are reported by the staff with first name ""Christop""? Show the descriptions of the problems.","SELECT Problems.problem_description FROM Staff JOIN Problem_Log ON Staff.staff_id = Problem_Log.assigned_to_staff_id JOIN Problems ON Problem_Log.problem_id = Problems.problem_id WHERE Staff.staff_first_name = ""Christop""","SELECT T1.problem_description FROM problems AS T1 JOIN staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE T2.staff_first_name = ""Christop""","E1, BE5, D1a","E1, D1a"
42,42,1291,What is the average number of hours spent practicing for students who got rejected?,SELECT AVG(Player.HS) FROM Player WHERE Player.pID IN (SELECT Tryout.decision FROM Tryout),SELECT avg(T1.HS) FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'no',"CE2, E1, BE5","CE2, E1, F4"
43,43,1356,How many girl students who are younger than 25?,"SELECT COUNT(*) FROM Student WHERE Student.Age < 25 AND Student.Sex = ""VALUE""",SELECT count(*) FROM student WHERE sex  =  'F' AND age  <  25,"CE2, D1","D1, F4, CE2"
44,44,1214,Show the name and phone for customers with a mailshot with outcome code 'No Response'.,"SELECT Customers.customer_name, Customers.customer_phone FROM Customers JOIN Mailshot_Customers ON Customers.customer_id = Mailshot_Customers.customer_id WHERE Mailshot_Customers.outcome_code = ""no Response""","SELECT T1.customer_name ,  T1.customer_phone FROM customers AS T1 JOIN mailshot_customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.outcome_code  =  'No Response'","D1, D1a","D1, D1a"
45,45,584,What is the average miles per gallon of all the cards with 4 cylinders?,SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,"BL1, D1a","BL1, D1a"
46,46,1170,How many friends does Dan have?,"SELECT COUNT(*) FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE PersonFriend.friend = ""Dan""",SELECT count(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T1.name  =  'Dan',"BL1, BE5, BF4",BE5
47,47,978,What is the average account balance of customers with credit score below 50 for the different account types?,"SELECT AVG(customer.acc_bal), customer.acc_type FROM customer WHERE customer.acc_type < 50 GROUP BY customer.acc_type","SELECT avg(acc_bal) ,  acc_type FROM customer WHERE credit_score  <  50 GROUP BY acc_type",BE5,"BL1, BE5, BF4"
48,48,1251,What are the names of all pilots 30 years old or young in descending alphabetical order?,SELECT pilot.Name FROM pilot WHERE pilot.Age >= 30,SELECT Name FROM pilot WHERE Age  <=  30 ORDER BY Name DESC,"KA1b, F1, BF4","KA1b, F1, BF4"
49,49,471,How many different types of sports do we offer?,SELECT COUNT(DISTINCT Video_Games.GType) FROM Video_Games,SELECT count(DISTINCT sportname) FROM Sportsinfo,"CL1, BL1, KA1b, F1","CL1, F1, KA1b"
50,50,380,What is average number of students enrolled in Florida colleges?,"SELECT AVG(College.enr) FROM College WHERE College.state = ""Florida""",SELECT avg(enr) FROM College WHERE state  =  'FL',"CL1, D1c, BL1","CL1, D1c"
51,51,1250,List names of all pilot aged 30 or younger in descending alphabetical order.,SELECT pilot.Name FROM pilot WHERE pilot.Age <= 30 ORDER BY pilot.Age DESC,SELECT Name FROM pilot WHERE Age  <=  30 ORDER BY Name DESC,"D1c, BN1","D1c, BN1"
52,52,883,Return the names of entrepreneurs do no not have the investor Rachel Elnaugh.,"SELECT people.Name FROM people EXCEPT SELECT people.Name FROM entrepreneur JOIN people ON entrepreneur.People_ID = people.People_ID WHERE entrepreneur.Investor = ""Rachel Elnaugh""","SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Investor != ""Rachel Elnaugh""",F1,F1
53,53,1326,Find the ids of the problems that are reported by the staff whose last name is Bosco.,"SELECT Problem_Log.problem_id FROM Staff JOIN Problem_Log ON Staff.staff_id = Problem_Log.assigned_to_staff_id WHERE Staff.staff_last_name = ""Bosco""","SELECT T1.problem_id FROM problems AS T1 JOIN staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE T2.staff_last_name = ""Bosco""","A1a, BE5","BE5, A1a"
54,54,1016,Find the id and local authority of the station whose maximum precipitation is higher than 50.,"SELECT station.id, station.local_authority FROM station JOIN weekly_weather ON station.id = weekly_weather.station_id WHERE weekly_weather.precipitation > 50 ORDER BY weekly_weather.precipitation DESC LIMIT 1","SELECT t2.id ,  t2.local_authority FROM weekly_weather AS t1 JOIN station AS t2 ON t1.station_id  =  t2.id GROUP BY t1.station_id HAVING max(t1.precipitation)  >  50","BE5, F4, AN2",N3
55,55,1169,How many friends does Dan have?,"SELECT COUNT(*) FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE PersonFriend.friend = ""Dan""",SELECT count(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T1.name  =  'Dan',"BE5, F4, CF5","BL1, CF5"
56,56,1392,"What are lines 1 and 2 of the addressed of the customer with the email ""vbogisich@example.org""?","SELECT Customers.address_line_1, Customers.address_line_2 FROM Customers WHERE Customers.email_address = ""vbogisich @ example.org""","SELECT address_line_1 ,  address_line_2 FROM customers WHERE email_address  =  ""vbogisich@example.org""","D1c, BE5","BL1, D1, CF5"
57,57,134,What are all the distinct participant ids who attended any events?,SELECT DISTINCT Participants_in_Events.Participant_ID FROM Participants_in_Events,SELECT count(DISTINCT participant_id) FROM participants_in_Events,"L5, D1c","L5, D1, A2a"
58,58,360,How many students are enrolled in college?,SELECT COUNT(*) FROM College,SELECT sum(enr) FROM College,"L5, BL1","L5, L4, A2a"
59,59,1043,What is the count of the songs that last approximately 4 minutes?,SELECT COUNT(*) FROM song WHERE song.releasedate = 4,"SELECT count(*) FROM files WHERE duration LIKE ""4:%""","CL1, D1, BL1","CL1, L4, CF5"
60,60,1058,What are the names of artists who are Male and are from UK?,"SELECT artist.artist_name FROM artist WHERE artist.gender = ""UK""","SELECT artist_name FROM artist WHERE country  =  ""UK"" AND gender  =  ""Male""","CL1, D1, F4","CL1, D1, CF5, F4"
61,61,652,Find the names of the products with length smaller than 3 or height greater than 5.,SELECT Catalog_Contents.product_stock_number FROM Catalog_Contents WHERE Catalog_Contents.length < 3 OR Catalog_Contents.height > 5,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  <  3 OR width  >  5,"CL1, F4","D1, CL1, F4, BF4"
62,62,847,Are the customers holding coupons with amount 500 bad or good?,SELECT * FROM Discount_Coupons,SELECT T1.good_or_bad_customer FROM customers AS T1 JOIN discount_coupons AS T2 ON T1.coupon_id  =  T2.coupon_id WHERE T2.coupon_amount  =  500,"CL1, BL1","F4, BL2, CL1, BF4, CE2"
63,63,1067,Compute the average salary of the players in the team called 'Boston Red Stockings'.,"SELECT AVG(player_college.year) FROM player_college WHERE player_college.college_id = ""Boston Red Stockings""",SELECT avg(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id_br WHERE T2.name  = 'Boston Red Stockings',"BL1, BF4, CF5","CF5, F4, BL2"
64,64,994,What is the total amount of money loaned by banks in New York state?,"SELECT SUM(loan.amount) FROM bank JOIN loan ON bank.branch_ID = loan.cust_ID WHERE bank.state = ""New York""",SELECT sum(T2.amount) FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T1.state  =  'New York',"CL1, BL1, BE5, BF4","CL1, CE2, CF5, BE5"
65,65,998,"List all every engineer's first name, last name, details and coresponding skill description.","SELECT Maintenance_Engineers.first_name, Maintenance_Engineers.last_name, Skills.skill_description FROM Maintenance_Engineers JOIN Engineer_Skills ON Maintenance_Engineers.engineer_id = Engineer_Skills.engineer_id JOIN Skills ON Engineer_Skills.skill_id = Skills.skill_id","SELECT T1.first_name ,  T1.last_name ,  T1.other_details ,  T3.skill_description FROM Maintenance_Engineers AS T1 JOIN Engineer_Skills AS T2 ON T1.engineer_id  =  T2.engineer_id JOIN Skills AS T3 ON T2.skill_id  =  T3.skill_id","BE5, BL3","BE5, BL3"
66,66,709,What are the ids and trade names of the medicine that can interact with at least 3 enzymes?,"SELECT medicine.id, medicine.name FROM medicine_enzyme_interaction JOIN medicine ON medicine_enzyme_interaction.medicine_id = medicine.id GROUP BY medicine_enzyme_interaction.medicine_id HAVING COUNT(*) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3","BN1, BL3","BL1, BN1, BL3"
67,67,692,How many tracks are in the AAC audio file media type?,"SELECT COUNT(*) FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId WHERE MediaType.Name = ""AAC audio file media""","SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId  =  T2.MediaTypeId WHERE T1.Name  =  ""AAC audio file""","D1c, BN1","CL1, D1c, BN1"
68,68,1239,What are the full names and gradepoints for all enrollments?,"SELECT Student.Fname, Student.LName, Enrolled_in.Grade FROM Enrolled_in JOIN Student ON Enrolled_in.StuID = Student.StuID","SELECT T3.Fname ,  T3.LName ,  T2.gradepoint FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID","D1c, CE2, BL1","BE5, CL1, CE2, D1c"
69,69,1242,What are the first names and last names of the students that minor in the department with DNO 140.,"SELECT Student.Fname, Student.LName FROM Minor_in JOIN Student ON Minor_in.StuID = Student.StuID WHERE Student.Major = 140","SELECT T2.Fname ,  T2.Lname FROM MINOR_IN AS T1 JOIN STUDENT AS T2 ON T1.StuID  =  T2.StuID WHERE T1.DNO  =  140","CE2, CF5, BF4, CL1","CE2, CF5, CL1, BE5"
70,70,917,Find the names of the candidates whose support percentage is lower than their oppose rate.,SELECT people.Name FROM candidate JOIN people ON candidate.People_ID = people.People_ID WHERE candidate.Support_rate < (SELECT MIN(candidate.Support_rate) FROM candidate),SELECT t1.name FROM people AS t1 JOIN candidate AS t2 ON t1.people_id  =  t2.people_id WHERE t2.support_rate  <  t2.oppose_rate,CF5,"F3, CF5"
71,71,1225,What are the rooms for members of the faculty who are professors and who live in building NEB?,"SELECT DISTINCT Faculty.Room FROM Faculty JOIN Member_of ON Faculty.FacID = Member_of.FacID JOIN Department ON Member_of.DNO = Department.DNO WHERE Faculty.Rank = ""VALUE"" AND Faculty.Building = ""NEB""","SELECT Room FROM FACULTY WHERE Rank  =  ""Professor"" AND Building  =  ""NEB""","D1, E1, A2a, BF4","F3, D1, E1, A2a"
72,72,1146,"What are the titles and studios of films that have been produced by a studio whose name contains ""Universal""?","SELECT film.Title, film.Director FROM film WHERE film.Studio LIKE ""% Universal %""","SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""","E1, A2a","BL1, E1, D1, A2a"
73,73,392,What is the count of states with college students playing in the mid position but not as goalies?,"SELECT COUNT(*) FROM Tryout WHERE Tryout.pPos = ""mid"" AND Tryout.pPos != ""goalies""",SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),"CE2, D1","BL1, A1d"
74,74,1096,List the physicians' employee ids together with their primary affiliation departments' ids.,"SELECT Physician.EmployeeID, Affiliated_With.PrimaryAffiliation FROM Physician JOIN Affiliated_With ON Physician.EmployeeID = Affiliated_With.Physician WHERE Affiliated_With.Department = ""id""","SELECT physician ,  department FROM affiliated_with WHERE primaryaffiliation  =  1","CE2, E1, D1a, CL1","D1, E1, CL1, A1d"
75,75,547,How many lessons were in cancelled state?,"SELECT COUNT(*) FROM Lessons WHERE Lessons.lesson_status_code = ""cancelled""","SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";","E1, CL1","D1, E1, CL1, D1a"
76,76,771,"Show the id, the account name, and other account details for all accounts by the customer with first name 'Meaghan'.","SELECT Accounts.account_id, Accounts.account_name, Accounts.other_account_details FROM Customers JOIN Accounts ON Customers.customer_id = Accounts.customer_id WHERE Customers.customer_first_name = ""Meaghan""","SELECT T1.account_id ,  T1.date_account_opened ,  T1.account_name ,  T1.other_account_details FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  'Meaghan'","BL3, D1a","BL3, D1a"
77,77,806,"What are the different product names, and what is the sum of quantity ordered for each product?","SELECT Products.product_name, SUM(Order_Items.product_quantity) FROM Order_Items JOIN Products ON Order_Items.product_id = Products.product_id GROUP BY Order_Items.product_id","SELECT T2.product_name ,  sum(T1.product_quantity) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id GROUP BY T2.product_name","BN1, BL3","CF5, BL3"
78,78,593,In which years cars were produced weighing no less than 3000 and no more than 4000 ?,SELECT cars_data.Year FROM cars_data WHERE cars_data.Weight <= 3000 AND 4000,select distinct year from cars_data where weight between 3000 and 4000;,"A1b, BN1","A1b, D1, CF5"
79,79,208,Find the name of bank branches that provided some loans.,SELECT DISTINCT bank.branch_ID FROM bank JOIN loan ON bank.branch_ID = loan.branch_ID,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,"A1b, BL1","A1b, BL1, D1"
80,80,350,What are the descriptions for the aircrafts?,SELECT aircraft.Description FROM aircraft JOIN airport_aircraft ON aircraft.Aircraft_ID = airport_aircraft.Aircraft_ID,SELECT Description FROM aircraft,"BL1, E1",E1
81,81,874,"For each document, list the number of employees who have showed up in the circulation history of that document. List the document ids and number of employees.","SELECT Circulation_History.document_id, COUNT(*) FROM Circulation_History GROUP BY Circulation_History.document_id","SELECT document_id ,  count(DISTINCT employee_id) FROM Circulation_History GROUP BY document_id;","BL1, E1",E1
82,82,630,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT department.Name, COUNT(*) FROM management JOIN department ON department.Department_ID = management.head_ID WHERE management.temporary_acting = ""yes""","SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'","CL1, L4, D1a","CL1, D1a"
83,83,968,What are the names and account balances of customers with the letter a in their names?,"SELECT customer.cust_name, customer.acc_bal FROM customer WHERE customer.cust_name LIKE ""% a %""","SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%'","D1c, CL1, D1a","CL1, D1, D1a"
84,84,1273,"For each position, what is the minimum time students spent practicing?","SELECT Tryout.pPos, MIN(*) FROM Tryout GROUP BY Tryout.pPos","SELECT min(T2.HS) ,   T1.pPos FROM tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID GROUP BY T1.pPos","D1c, BL1, E1","BL1, CE2, D1"
