,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
25,396,"What are the different carriers for devices, listed in alphabetical order?",select Carrier from device order by Device,SELECT Carrier FROM device ORDER BY Carrier ASC,tianyi,3ac2e1eb-66ad-4a36-af77-2c7d3291b906,BK1,zhengning,5b7cba44-6579-451f-919d-b226d88960ee,"L4, D1c, CL1, BL1, L5, D1, D1a, CL1"
26,414,What are the different cities that have more than 100 memberships?,select T1.Hometown from member as T1 join purchase as T2 on T1.Member_ID = T2.Member_ID join branch as T3 on T2.Branch_ID = T3.Branch_ID where T3.City > 100,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,tianyi,53498186-82f0-4363-94b8-25a549f3d85c,"CL1, BF4, BL1, F1, A1b, E1",zhengning,373ac0b2-ad83-4629-a3eb-c5440ef92458,"CF5, A1b, E1"
27,437,How many dorms have amenities?,select count ( dorm_name ) from Dorm,SELECT count(DISTINCT dormid) FROM has_amenity,tianyi,d296c7bf-d450-432e-b6af-a87ba63d8155,"CL1, A1b",zhengning,64f4141e-d0ca-4b2a-89f7-e7543d619fb0,"CL1, BL1, A1b"
28,471,How many different types of sports do we offer?,select count ( GType ) from Video_Games,SELECT count(DISTINCT sportname) FROM Sportsinfo,tianyi,de6428dc-08e7-4cc6-b326-146e50f8609a,"CL1, BL1, A1b",zhengning,9c9eabf3-9f96-456a-a03d-96035781e184,"CL1, BL1, A1b"
29,472,How many students play sports?,select count ( StuID ) from Plays_Games,SELECT count(DISTINCT StuID) FROM Sportsinfo,tianyi,f13c32e9-95d2-4850-a9d6-6da1d66f3229,"CL1, A1b",zhengning,2d086897-a290-4f9d-8a5a-0bde6719f5ff,"CL1, A1b"
30,474,List ids for all student who are on scholarship.,select StuID from Student,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',tianyi,e5f9e57c-96df-46ef-a8e1-1702ae2788e6,"CL1, F4",zhengning,9a84b6f7-4180-490f-9c37-06219f75bc00,"CL1, F4"
31,476,How many games are played for all students?,select count ( * ) from Plays_Games,SELECT sum(gamesplayed) FROM Sportsinfo,tianyi,ff4191cd-5c96-4d22-95fa-dacfa99fefe9,"L4, CL1, BL2",zhengning,12ba2f87-27ce-4e57-9850-8663d67c9792,"L4, CL1, BL1"
32,477,What is the total number of games played?,select count ( * ) from Plays_Games,SELECT sum(gamesplayed) FROM Sportsinfo,tianyi,b39a14fb-8dd5-45b7-95e8-61adbc15609b,"L4, CL1, BL2",zhengning,5776be3e-1a1a-4fbd-9855-ecc46dae18e7,"L4, CL1, BL1"
33,527,How many train stations are there?,select count ( * ) from train_station,SELECT count(*) FROM station,tianyi,fe0f1808-b8ae-4fc2-af19-ab8c6f9de7ab,CL1,zhengning,a915defd-2b40-432d-b107-11ef37a3f9f6,CL1
34,541,How many staff live in state Georgia?,"select count ( * ) from Staff as T1 join Addresses as T2 on T1.staff_address_id = T2.address_id where T2.state_province_county = ""Georgia""","SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",tianyi,d1b451c9-b491-4113-a5e5-54e641c2166c,"E1, CL1",zhengning,5508bb26-db17-41fe-9db4-b61fddf70855,"CL1, E1"
35,561,How many cities are there that have more than 3 airports?,select count ( * ) from airports group by city having count ( * ) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,a007c46d-bd2d-4b87-9f71-a6a58424ffbd,CL1,zhengning,c43e73bf-123b-478e-bde8-2170db7d6b12,CL1
36,562,What is the count of cities with more than 3 airports?,select count ( * ) from airports group by city having count ( * ) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,d309f080-bc0e-46d8-bd73-26cfb4f7341a,"BL3, CL1",zhengning,fd0232e7-5f70-4481-80bc-8b00713e9920,CL1
37,592,"In 1980, how many cars were made?",select count ( * ) from car_names where Make = 1980,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,tianyi,9958fd04-0e8a-4344-85a9-eab67952da6a,"CL1, BF4",zhengning,2fc9d026-c936-4bf8-bb4c-f77251295ae6,"CL1, BF4"
38,631,What are the distinct ages of the heads who are acting?,select age from head,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',tianyi,e75bda8c-a702-4dbc-be10-5b9e7822b265,"CE2, A1b",zhengning,17eaccd0-273a-4b3e-98ad-b2f1067fecd4,"F4, CL1, CE2, A1b"
39,632,"Which department has more than 1 head at a time? List the id, name and the number of heads.","select T1.Name , T3.name , count ( * ) from department as T1 join management as T2 on T1.Department_ID = T2.department_ID join head as T3 on T2.head_ID = T3.head_ID group by T3.head_ID having count ( * ) > 1","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1",tianyi,ec428297-695e-4761-8025-76c5e5534dcf,"BN1, BL1, CL1",zhengning,ed2ade0f-48d0-44be-8b4b-4ad4d5b13613,"CL1, BL1, AN2"
40,634,Find the name and level of catalog structure with level between 5 and 10.,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10","SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",tianyi,79ffc43e-5e91-4443-87cb-a8ab99960a58,"E1, BL1",zhengning,4f6842da-2561-4b71-a488-446a13c8688d,"E1, CL1"
41,635,What are the name and level of catalog structure with level number between 5 and 10,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10","SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",tianyi,5f007c1e-82f6-4e5f-9b55-cf182b92dd35,"E1, BL1",zhengning,00d19dc0-cfed-47d0-bee8-b122f43d59bf,"E1, CL1"
42,638,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"select T1.catalog_name , T1.date_of_publication from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_name > 5","SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",tianyi,5d7cc666-213b-46bb-ba28-ba06a8026dde,BF4,zhengning,41643013-6352-43ae-b025-c2242b900491,CF5
43,648,"Find the names of all the products whose stock number starts with ""2"".",select product_stock_number from Catalog_Contents where product_stock_number like 2%',"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,fd0e02d5-4a56-459f-8794-d6ec4470733a,BL1,zhengning,448199bf-2bb7-4575-84d3-5ca078a1f471,"BL1, P3"
44,649,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.",select catalog_entry_name from Catalog_Contents where product_stock_number like 2,"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,0fe04fa6-42f2-4e0c-a4e0-e6a9a09158f6,D1,zhengning,5b3ffcba-3aa2-4a0b-a063-f316a1329ed2,P3
45,650,Find the names of catalog entries with level number 8.,select T1.catalog_entry_name from Catalog_Contents as T1 join Catalog_Structure as T2 on T1.catalog_level_number = T2.catalog_level_number where T2.catalog_level_name = 8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",tianyi,4cff95b5-a986-45df-b1c7-103934b69eea,"BE5, D1, CE3",zhengning,a2740956-792c-4665-85bd-f90a13d5bbfa,"CE3, BE5"
46,651,What are the names of catalog entries with level number 8?,select catalog_entry_name from Catalog_Contents where catalog_level_number = 8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",tianyi,1ff989b0-6cb5-497d-a569-b49149eb43c9,E1,zhengning,175084f1-1021-4cbf-8b96-b25601e0aee8,"CL1, CE2"
47,660,"Find the names of all artists that have ""a"" in their names.","select Name from Artist where Name like ""% a %""","SELECT Name FROM ARTIST WHERE Name LIKE ""%a%""",tianyi,e98d67b6-a32a-4e7a-8a97-07619d3e0646,D1c,zhengning,ae5d77af-d19f-489e-8ec7-46a41550e14e,P3
48,668,"Find the names of all the tracks that contain the word ""you"".","select Name from Track where Name like ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,dda0983d-c3f4-49ab-bf9e-c58d4bbb966a,D1c,zhengning,d70eba5e-e2d5-41d4-91a1-b76bdffe7838,P3
49,669,What are the names of tracks that contain the the word you in them?,select Name from Track where Name like 1,SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,38a116f1-763d-40a9-9e4f-55985c037035,D1,zhengning,eb09802c-2d39-4eb4-b9c9-86f13779ab78,P3
50,672,"Show the album names, ids and the number of tracks for each album.","select T2.Title , T1.AlbumId , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.Title","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",tianyi,42da2d3d-7820-490d-867e-b78c50a5c8c9,"BN1, CL1",zhengning,b55eb153-8481-446c-96a9-24b67578f6ee,"CL1, BN1"
51,673,"What are the names and ids of the different albums, and how many tracks are on each?","select T2.Title , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.AlbumId","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",tianyi,9dbe412f-5ed9-4daa-b24a-7562ad2d4441,"BL2, CL1",zhengning,6128a879-1ca5-47c0-9e5a-dee9028659d8,"CL1, AN2"
52,677,Find the average unit price of jazz tracks.,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""jazz""","SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Jazz""",tianyi,4b23877f-93ee-4aa8-ba8a-17c7618253bf,D1a,zhengning,b1d5b7ef-6ba9-4319-82a9-b920353243e3,"D1a, CL1, E1"
53,680,"How many customers have email that contains ""gmail.com""?","select count ( * ) from Customer where Email like ""gmail . com %""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,efdf72c5-0c23-4a71-b60e-0220055bb2b6,D1c,zhengning,58ced0b7-5a07-4b4f-b8f7-223a7178b9d3,P3
54,681,"Count the number of customers that have an email containing ""gmail.com"".","select count ( * ) from Customer where Email = ""gmail . com""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,e3388ea3-2eab-4296-b59c-d64ee8e9c2e4,"D1c, P1",zhengning,d4011417-1589-4df4-aca7-e8b94bdd391e,P1
55,684,What city does the employee who helps the customer with postal code 70174 live in?,select City from Employee where PostalCode = 70174,"SELECT T2.City FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId WHERE T1.PostalCode  =  ""70174""",tianyi,4daece7d-58d6-4cb0-b115-a87cfa0b1499,"E1, D1c, CE2",zhengning,9149c834-9b0e-4564-bd6d-2d6003625329,CE2
56,692,How many tracks are in the AAC audio file media type?,"select count ( * ) from MediaType as T1 join Track as T2 on T1.MediaTypeId = T2.MediaTypeId where T1.Name = ""AAC audio file media""","SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId  =  T2.MediaTypeId WHERE T1.Name  =  ""AAC audio file""",tianyi,e756c32f-e45b-4eaf-af72-438be74858f4,"D1c, CL1",zhengning,a59004e1-5b55-4434-807e-e1227df19aa0,"CL1, D1"
57,695,What are the first names and support rep ids for employees serving 10 or more customers?,"select T1.FirstName , T2.FirstName , T3.CustomerId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId join Invoice as T3 on T2.CustomerId = T3.CustomerId group by T1.EmployeeId having count ( T2.CustomerId ) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",tianyi,b42ed689-6f3b-4b49-8455-e41ad60604cc,"BL2, E1, O3, CL1",zhengning,16d11ce8-b350-46a4-9b75-95833770da0e,"O3, BL2, E1, BL1, CL1"
58,696,Please show the employee last names that serves no more than 20 customers.,select T1.LastName from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId where T2.LastName < 20 group by T1.LastName having count ( * ) >= 1,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,tianyi,c5531347-7d9c-4f23-8b31-141c9798a64a,"BN1, CL1, D1, O3",zhengning,3ef57686-2282-415c-be90-98adf8f25723,"O3, F3, CL1"
59,698,What is the average unit price of rock tracks?,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""rock""","SELECT AVG(T2.UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",tianyi,0c1846e7-746a-499c-aa22-494101f74c54,"D1a, E1, CL1",zhengning,d7986848-35a3-4e48-94da-6be370ce6462,"D1a, E1, CL1"
60,708,What is the id and trade name of the medicines can interact with at least 3 enzymes?,"select T3.id , T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id join enzyme as T3 on T1.enzyme_id = T3.id group by T1.medicine_id having count ( * ) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",tianyi,96f932cb-8c07-495d-b247-dd056f82bd3a,"BN1, E1, BL1, CL1",zhengning,140d1be2-4f97-4ebb-acce-e722e7fd63b5,"BN1, E1, CL1"
61,709,What are the ids and trade names of the medicine that can interact with at least 3 enzymes?,"select T1.medicine_id , T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id group by T1.medicine_id having count ( * ) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",tianyi,3151f680-03a6-4c81-bab5-1ce011af9d7a,"BN1, BL1, CL1",zhengning,4e6a7252-b942-4d8b-951e-1f214ba58c93,"BN1, CL1"
62,712,"Which enzyme names have the substring ""ALA""?","select name from enzyme where name like ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",tianyi,3c91a06b-15e4-4662-a9e0-e2acaeb90f0a,D1c,zhengning,308aa7a6-c2cf-4301-aa7c-c5d397d859fe,P3
63,725,What are the all games score and location of the school called Clemson?,"select Location , School from university where Nickname = ""Clemson""","SELECT t2.All_Games ,  t1.location FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE team_name  =  'Clemson'",tianyi,aaf674d1-afe7-4e3e-9ca9-db61a195cb37,"BF4, BL1, CE2, CL1",zhengning,9cb8c300-2675-4a52-82ea-8a6276ddcfed,"BF4, CE2, CL1"
64,735,How many universities have a location that contains NY?,"select count ( * ) from university where Location like ""% ny %""","SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",tianyi,15b01dc6-5a13-496c-b010-bae940e199b5,D1a,zhengning,f1b89f8c-21fd-44cd-97b8-5bb441f32e66,P3
65,740,List all country and league names.,"select country_id , name from League","SELECT T1.name ,  T2.name FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id",tianyi,cd153e9e-8193-48b5-82ab-df6cb1e50bb9,"BL1, CE2, CL1",zhengning,dd8d8939-ec96-494d-ac41-f850051b92cf,"BL1, CE2, CL1"
66,741,How many leagues are there in England?,"select count ( * ) from sqlite_sequence as T1 join League as T2 where T1.seq = ""England""","SELECT count(*) FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id WHERE T1.name  =  ""England""",tianyi,f3b080ab-9dc8-43e1-96a3-efc7857c777b,"BF4, CE2, CL1",zhengning,066c8866-7154-4455-b659-381076a28296,"F4, CL1"
67,744,List the names of all left-footed players who have overall rating between 85 and 90.,select T2.player_name from Player_Attributes as T1 join Player as T2 on T1.player_fifa_api_id = T2.player_fifa_api_id where T1.overall_rating between 85 and 90,"SELECT DISTINCT T1.player_name FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T2.preferred_foot  =  ""left"" AND T2.overall_rating  >=  85 AND T2.overall_rating  <=  90",tianyi,9514e1a1-9c1a-4fc0-a6ee-ff0dcaa4cbe4,"BE5, F4, A1b",zhengning,c91d35ae-1d88-4a18-a19d-3d9ba3a4614a,"CE2, A1b"
68,759,"Find all the policy type codes associated with the customer ""Dayana Robel""","select T1.Policy_Type_Code from Policies as T1 join Claim_Headers as T2 on T1.Policy_ID = T2.Policy_ID where T2.Claim_Type_Code = ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",tianyi,53a2d33c-be79-47f4-aa6b-0032c5d9b36c,"BE5, BF4, CE2",zhengning,9f0aba5a-f751-488b-a57f-8cfa9f6e9d35,"CE3, BE5, BF4"
69,760,"What are the type codes of the policies used by the customer ""Dayana Robel""?","select Policy_Type_Code from Policies where Customer_ID = ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",tianyi,99959077-a554-441d-9495-d27a781bebc9,"BE5, BF4, CE2",zhengning,912e34fd-bd02-4798-bb5e-7df8f5efc76a,"CF5, D1, CE2"
70,763,"Find the names of customers whose name contains ""Diana"".","select Customer_Details from Customers where like ""% Diana %""","SELECT customer_details FROM customers WHERE customer_details LIKE ""%Diana%""",tianyi,a094bfe5-c0b8-458b-812f-80ae8399f7ef,D1c,zhengning,9c872d09-6cf0-42fd-9633-23387b05c13e,P3
71,765,Find the names of the customers who have an deputy policy.,select Customer_ID from Policies where Policy_Type_Code = 'deputy',"SELECT DISTINCT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.policy_type_code  =  ""Deputy""",tianyi,f931838e-bc32-4bfb-a97d-e9ccbe02f213,"D1a, BE5, BL1, A1b, CE2",zhengning,6b4c9327-5cfb-4708-bf61-a17a1e0ab63e,"CE2, A1b"
72,775,"Show the unique first names, last names, and phone numbers for all customers with any account.","select customer_first_name , customer_last_name , phone_number from Customers","SELECT DISTINCT T1.customer_first_name ,  T1.customer_last_name ,  T1.phone_number FROM Customers AS T1 JOIN Accounts AS T2 ON T1.customer_id  =  T2.customer_id",tianyi,70808ec1-0c58-4228-a00c-7c03f965e446,"CE2, A1b",zhengning,77d0056e-c4c5-486a-a4d8-506c41967fb4,"CE2, A1b"
