,Unnamed: 0,Unnamed: 0.1,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
27,27,54,79,Count the number of distinct claim outcome codes.,select count ( Claim_Outcome_Code ) from Claims_Processing,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,tianyi,3d8e1434-cef8-4723-9636-18fc486bba06,A1b,zhengning,1cc1bd34-3d16-413b-8df8-9f7682b4e39c,A1b
28,28,56,82,How many customers have opened an account?,select count ( customer_id ) from Accounts,SELECT count(DISTINCT customer_id) FROM Accounts,tianyi,2df2c909-7232-4417-af8d-82773b0452db,A1b,zhengning,42b7acd0-92ec-4504-8c74-d04a9672f2aa,A1b
29,29,58,83,Count the number of customers who have an account.,select count ( customer_id ) from Accounts,SELECT count(DISTINCT customer_id) FROM Accounts,tianyi,dca32a7d-fe36-44b2-bd54-ec2a641202b9,A1b,zhengning,50a0d2ed-3284-4d14-bb30-d9aa893f46aa,A1b
30,30,60,88,Show all product sizes.,select product_size from Products,SELECT DISTINCT product_size FROM Products,tianyi,43ebba06-4b97-4d39-af62-72f94c58cb02,A1b,zhengning,fa002c98-c5b6-4fdb-9460-95f72bd1e5fd,A1b
31,31,62,89,What are the different product sizes?,select product_size from Products,SELECT DISTINCT product_size FROM Products,tianyi,df5ac56f-d1ca-439c-845e-6f36c7f58cda,A1b,zhengning,8e650bb3-7bec-43ba-99bb-871062116540,A1b
32,32,64,90,Show all product colors.,select product_color from Products,SELECT DISTINCT product_color FROM Products,tianyi,dc055c24-5e5f-4362-906d-bdef9e484f94,A1b,zhengning,9f226f5b-ae96-4297-ba30-afdcb6b8531d,A1b
33,33,66,91,What are the different product colors?,select product_color from Products,SELECT DISTINCT product_color FROM Products,tianyi,52ceef35-ee2a-4dc8-8699-f0b9c23cbdbb,A1b,zhengning,317161d2-7258-4a15-b024-7423859d9ef9,A1b
34,34,68,106,How many budget record has a budget amount smaller than the invested amount?,select count ( * ) from budget where Invested < ( select total_budget_percent_invested from budget where Budget_invested_percent < 1 ),SELECT count(*) FROM budget WHERE budgeted  <  invested,tianyi,545cfeed-deb4-4d73-9710-d1dde88403fa,"F1, D1",zhengning,2b6705e8-39b5-4a3c-8a26-c215b30fcb0c,F3
35,35,70,107,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,select count ( School_id ) from endowment where amount < 8.5 group by amount having count ( amount ) > 1,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),tianyi,82794915-4fab-4a41-bed6-4e5b4fce1a92,"F1, BN1, O3",zhengning,38370d45-f938-4076-90c3-8cf25ac1397e,"O3, F1, BL3"
36,36,72,109,Show all the distinct institution types.,select Type from Institution,SELECT DISTINCT TYPE FROM institution,tianyi,76c695ac-5fea-492b-afb4-fe73bf4bc689,A1b,zhengning,6426b18f-6992-4666-ac64-fdc9024cbd53,A1b
37,37,74,111,How many different product types are there?,select count ( product_type_code ) from Products_for_Hire,SELECT count(DISTINCT product_type_code) FROM products_for_hire,tianyi,4247830c-e4e3-47a1-bce0-709be50404e8,A1b,zhengning,830651dd-31cd-40e8-a278-26b451fa368b,A1b
38,38,76,113,What are all the distinct payment types?,select payment_type_code from Payments,SELECT DISTINCT payment_type_code FROM payments,tianyi,edde3153-4741-4b9f-9aab-6a1cc76777d5,A1b,zhengning,afdd4084-a22d-4132-a6db-c4819272f547,A1b
39,39,78,116,List the distinct positions of pilots older than 30.,select Position from pilot where Age > 30,SELECT DISTINCT POSITION FROM pilot WHERE Age  >  30,tianyi,9830db77-891a-424d-93fc-f11b45e2c6b3,A1b,zhengning,0812b865-f144-4534-a620-6448ec1d890f,A1b
40,40,80,119,What document type codes do we have?,select document_type_code from Documents,SELECT document_type_code FROM Ref_Document_Types;,tianyi,931b1517-ce69-432a-9525-0a3c54a03a4f,CL1,zhengning,a9169b89-d81c-4a44-b3e0-c7c9ac869046,CL1
41,41,82,122,What is the shipping agent code of shipping agent UPS?,"select shipping_agent_code from Ref_Shipping_Agents where shipping_agent_name = ""shipping""","SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = ""UPS"";",tianyi,4153aace-a197-47fb-a444-2b0dab493ecd,D1,zhengning,81fac392-327b-48de-8374-7cefc77f6e3a,D1
42,42,84,123,What are all role codes?,select role_code from Employees,SELECT role_code FROM ROLES;,tianyi,b082cd9f-2047-497e-ac96-0327c93e790d,CL1,zhengning,a81cf762-95ec-4546-898e-5217251f6ae5,CL1
43,43,86,126,How many documents have the status code done?,select count ( * ) from Documents where document_status_code = 1,"SELECT count(*) FROM Documents WHERE document_status_code = ""done"";",tianyi,ed3d5a17-45be-46fd-87dd-21d6abe42ec4,D1,zhengning,33115e36-8adb-4780-a1a2-19301166292d,D1
44,44,88,127,List the document type code for the document with the id 2.,select document_type_code from Documents where document_status_code = 2,SELECT document_type_code FROM Documents WHERE document_id = 2;,tianyi,2719864b-6886-4084-a345-445d95cb8c85,BF4,zhengning,eb5605c6-0200-4480-b90c-c5e221c108a7,BF4
45,45,90,129,What is the mail date of the document with id 7?,select T1.mailing_date from Documents_Mailed as T1 join Documents as T2 on T1.document_id = T2.document_id where T2.document_type_code = 7,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,tianyi,762f8695-eb48-4a5e-9022-ae8e9d0f4535,"BF4, E1",zhengning,b2e5701e-40d2-46fe-a703-d42ac2090090,"CF5, E1"
46,46,92,134,What are all the distinct participant ids who attended any events?,select Participant_ID from Participants_in_Events,SELECT count(DISTINCT participant_id) FROM participants_in_Events,tianyi,434bcee5-95a5-49dd-a700-84017f5ba1ae,"L5, A1b",zhengning,05a97a6c-7d2f-412e-9d8d-d9cc3725b1f8,A1b
47,47,94,143,What are the names of entrepreneurs?,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,dc497ba2-6789-40e3-9864-7ca1ca5fd38e,"CL1, CE2",zhengning,03f102d2-dfae-4dfb-b997-6eecdf9ff0bd,"CL1, CE2"
48,48,96,144,Return the names of entrepreneurs.,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,390b708b-6dd4-4d24-bd80-d610f33289c8,"BE5, CE2",zhengning,e02f1e77-ef01-467e-9343-88fc2710ae43,"CL1, CE2"
49,49,98,149,How many perpetrators are there?,select count ( Perpetrator_ID ) from perpetrator,SELECT count(*) FROM perpetrator,tianyi,b21cfc92-a422-4191-9b5e-eacf56ae7fbd,BL1,zhengning,39741dbb-5e41-4012-8173-43793c3a0a22,BL3
50,50,100,151,List the number of people injured by perpetrators in ascending order.,select Injured from perpetrator order by Killed asc,SELECT Injured FROM perpetrator ORDER BY Injured ASC,tianyi,bd94dfee-8680-4e73-8550-5a39b469950f,BK1,zhengning,d77d0c3c-a8fa-46d8-899b-2dc2770521da,BK1
51,51,102,154,What are the names of perpetrators?,select Name from people,SELECT T1.Name FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,b04b82f6-fe00-49b5-b6f0-517c907fb34b,BE5,zhengning,4089bcca-39fe-4770-b94f-c40fd6b3eadc,CE2
52,52,104,159,List all people names in the order of their date of birth from old to young.,select Name from people order by Date_of_Birth desc,SELECT name FROM people ORDER BY date_of_birth,tianyi,98ec1d1d-80b9-4028-87cb-51b16076c5a5,K3,zhengning,e63e2783-81cf-4dc1-b086-19da965a1462,K2
53,53,106,167,Show all the distinct districts for elections.,select District from election,SELECT DISTINCT District FROM election,tianyi,4f7178a7-b455-4f79-8ccc-e06e04c08cb5,A1b,zhengning,11ef2f10-2ac7-4f3f-8f04-f02348ed7690,A1b
54,54,108,168,What are the distinct districts for elections?,select District from election,SELECT DISTINCT District FROM election,tianyi,6a972ca1-1be8-47b1-a77c-6d333e76b080,A1b,zhengning,d3d09c57-375e-4239-873f-b27f88846777,A1b
55,55,110,173,How many distinct governors are there?,select count ( Governor ) from party,SELECT count(DISTINCT Governor) FROM party,tianyi,53eb4303-0d4b-4925-995d-43fa4fd3cb4d,A1b,zhengning,6ccf18cd-f801-497c-8bef-ef9a5b83b73e,A1b
56,56,112,174,Count the number of distinct governors.,select count ( Governor ) from party,SELECT count(DISTINCT Governor) FROM party,tianyi,27905f7f-8861-41d1-8155-43f848bc4392,A1b,zhengning,acd19652-8153-430f-ace6-e398ca95a503,A1b
57,57,114,175,"In which distinct years was the governor ""Eliot Spitzer""?","select Year from party where Governor = ""Eliot"" and Lieutenant_Governor = 1","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",tianyi,84b0ea95-48d2-4bd6-a20f-412b8a1c0e14,"D1c, F3, A1b",zhengning,13de64fa-6b1e-441b-9d39-9d2fbb0464c1,"D1, F3, A1b"
58,58,116,176,"Find the distinct years when the governor was named ""Eliot Spitzer"".","select Year from party where Governor = ""Eliot Spitzer""","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",tianyi,3134c638-85cb-42f2-a0e3-3fd53322a126,A1b,zhengning,26e52c72-339d-42fb-947d-d50430db401f,A1b
59,59,118,190,How many customers are there?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,tianyi,340b2b87-0747-4ca1-9746-d9d13a8681dc,"L4, CL1",zhengning,28f5a7dd-f643-49c3-9171-606aa14f46fe,"L4, CL1, BL2"
60,60,120,191,What is the total number of customers across banks?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,tianyi,50a14f94-e093-4fbe-aa10-55188d985ce0,"L4, CL1",zhengning,6f23242e-f265-4ab9-9c31-0851252eef7b,"L4, CL1, BL1"
61,61,123,192,Find the number of customers in the banks at New York City.,"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York"" and T2.state = 1",SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',tianyi,e513eeb8-f292-4f51-9b55-e1e6046dde5d,"D1c, F4, E1",zhengning,c73e9cce-e2dc-4d44-a64b-3e8bbc788e39,"L4, F3, BL2, E1"
62,62,125,193,What is the total number of customers who use banks in New York City?,"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York""",SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',tianyi,a8c728bf-f636-4688-a0b8-f744852b7865,"nan, A1b, CE2",zhengning,de42bd95-1e5f-4a68-b545-9d70403dc474,"CL1, BL1, A1b, CE2"
63,63,127,206,How many distinct types of accounts are there?,select count ( acc_type ) from customer,SELECT count(DISTINCT acc_type) FROM customer,tianyi,0b19e19b-8c7e-476c-a1d6-f4730b4c785d,"nan, A1b, CE2",zhengning,0b661b70-0749-4ec0-baa5-370c6f240309,"CL1, BL1, A1b, CE2"
64,64,129,207,Count the number of different account types.,select count ( acc_type ) from customer,SELECT count(DISTINCT acc_type) FROM customer,tianyi,25b2f7cf-bceb-4ad4-bffb-d7ab2e6d5821,"nan, A1b",zhengning,e9b79d1e-bb6a-4fd7-aa1d-478dab228a7c,A1b
65,65,131,208,Find the name of bank branches that provided some loans.,select branch_ID from loan,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,tianyi,28954dca-6942-4b62-b539-832da61a7dfb,CE2,zhengning,bfbc76f2-8465-4bcd-a695-db1e011d73fa,CE2
66,66,133,209,What are the names of the different banks that have provided loans?,select count ( no_of_loans ) from customer,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,tianyi,68a41d3e-b823-4bff-988b-c03b03a20f12,CE2,zhengning,74cab336-fbc9-43aa-9010-7a682170d2cd,CE2
67,67,135,211,How many fault status codes are recorded in the fault log parts table?,select count () from Fault_Log_Parts,SELECT DISTINCT fault_status FROM Fault_Log_Parts,tianyi,06f3ec38-4050-48bd-b9d3-197551f08e82,"L4, A1b, nan",zhengning,6dd719b9-12fb-4197-8e06-147223cf2dcd,"L4, A1b"
68,68,137,213,How many different services are provided by all stations?,select count ( services ) from station,SELECT count(DISTINCT services) FROM station,tianyi,1d92f024-5b0b-492d-b0ef-85f0d3359b3d,A1b,zhengning,b4272952-6a6f-43c5-aa92-749702c1cb75,A1b
69,69,139,221,"What are the distinct years in which the competitions type is not ""Tournament""?","select Year from competition where Competition_type != ""Tournament""","SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",tianyi,e3a0540d-f973-49f9-bf03-ab4fae10be0f,A1b,zhengning,a655be30-88fe-4a3f-b45e-31d331562c74,A1b
70,70,141,222,What are the different years for all competitions that are not of type equal to tournament?,select Year from competition where Competition_type != 1,"SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",tianyi,7e057a61-1552-4321-b785-e3e1723ae6a1,"D1, A1b",zhengning,5fc612c7-af2d-4867-bdf3-207a486423aa,"D1, A1b"
71,71,143,226,What are the names of all the clubs starting with the oldest?,select name from club order by Start_year desc limit 1,SELECT name FROM club ORDER BY Start_year ASC,tianyi,90dd67ac-9cce-485d-8322-136432e946c5,"K3, Q1",zhengning,897a8e8f-6f7f-48ee-986d-10035a2010c8,"Q1, K2"
72,72,145,298,How many patents outcomes were listed for all the projects?,select count ( outcome_code ) from Project_Outcomes,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',tianyi,9cc26cd1-8cc3-471b-99e9-628ac6361e14,"D1, K3, L4, F4",zhengning,00e73534-a2db-41f2-aa35-886fed89b0c2,"BL1, F4"
73,73,148,303,What are the descriptions of all the project outcomes?,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tianyi,4d16efeb-c3ce-40d1-82a1-0e47f77fb25e,"BN1, E1, CL1",zhengning,64f839d7-13e9-4211-8733-1c87efa36b29,"CL1, BN1"
74,74,151,304,List the description of the outcomes for all projects.,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tianyi,2909b0e2-effd-4a5f-9fcd-d28fd0110ba9,"CF5, E1",zhengning,32c59d0a-2de8-461e-90a8-5ed32bc45288,"CF5, CL1, E1"
75,75,154,305,How many females does this network has?,select count ( gender ) from Person where limit 'f' = 1,SELECT count(*) FROM Person WHERE gender  =  'female',tianyi,78a0825b-3b46-4e3f-8624-612633f55f74,"D1, BF4, Q1",zhengning,23c24f96-66ff-46c5-9902-8c3a112e32bf,"BF4, BL1, Q1"
76,76,157,311,How many type of jobs do they have?,select count ( job ) from Person,SELECT count(DISTINCT job) FROM Person,tianyi,38b05df3-0f1d-40f1-a5ee-8cf261e4d914,A1b,zhengning,dc78ea53-6f05-4bf5-b08c-62ea23522389,A1b
77,77,160,312,How many different jobs are listed?,select count ( job ) from Person,SELECT count(DISTINCT job) FROM Person,tianyi,70979b8e-37b2-45e1-9235-f2ced23f6864,A1b,zhengning,5e5ee96e-871c-4753-b261-bc61312690ee,A1b
78,78,163,317,Find the person who has exactly one friend.,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,tianyi,2b8f9ab4-6cea-48e2-a81f-186d475b3e95,CL1,zhengning,48e1a08c-fd46-4863-9665-11fb56f5f496,CL1
79,79,166,323,What are all the distinct premise types?,select premises_type from Premises,SELECT DISTINCT premises_type FROM premises,tianyi,7a411314-9a10-4a5a-9222-5c64d203c8a5,A1b,zhengning,0d53c2c4-ab34-469c-8fe5-a75ae198c407,A1b
80,80,169,324,What are the distinct address type codes for all customer addresses?,select address_type_code from Customer_Addresses,SELECT DISTINCT address_type_code FROM customer_addresses,tianyi,ac61d054-b688-44f8-a1f7-27c70d3db596,A1b,zhengning,d936e293-8cab-474d-9664-4819ad49f542,A1b
81,81,172,329,List all names of courses with 1 credit?,select CName from Course group by CName having count ( Credits ) = 1,SELECT CName FROM COURSE WHERE Credits  =  1,tianyi,5a45e343-0e8a-4425-bf69-ec47708c25b0,"N3, O2",zhengning,ba37906b-07af-4894-ad05-722c5267d6f7,"O2, F4, N3"
82,82,174,330,What are the names of courses with 1 credit?,select CName from Course group by CName having count ( Credits ) = 1,SELECT CName FROM COURSE WHERE Credits  =  1,tianyi,6a1fb714-bb1a-4852-bbdd-7c3deacc5cef,"N3, O2",zhengning,58479476-011c-446a-a2c4-99e295e22f5a,"O2, F4, N3"
83,83,177,332,What are the course names for courses taught on MTW?,"select T2.CName from Department as T1 join Course as T2 on T1.DNO = T2.DNO where T1.DName = ""MTW""","SELECT CName FROM COURSE WHERE Days  =  ""MTW""",tianyi,3cea9221-f1d8-49d3-848c-4527858d19e3,"BF4, BL2, E1",zhengning,a5fff4bd-a5b1-4779-9738-f4dbca594826,"CF5, E1, BL1"
84,84,180,335,What are the phones of departments in Room 268?,select DPhone from Department where Division = 268,SELECT DPhone FROM DEPARTMENT WHERE Room  =  268,tianyi,1c1114a5-7b84-4095-a985-d01ac2543816,BF4,zhengning,e35e2c68-7cf7-4f31-bb59-c7570901b2e4,BF4
85,85,183,337,"Find the number of students that have at least one grade ""B"".",select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = 'b',"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",tianyi,f5b58643-f574-48d5-9cac-62eb76b2039d,E1,zhengning,36900fc9-ee08-4fb5-98c5-b1fc045aa21c,"BL1, D1a, E1"
86,86,185,338,"How many students have had at least one ""B"" grade?","select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = ""B""","SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",tianyi,14534187-790a-44ba-ba74-fce183ae010f,E1,zhengning,7ff6aaae-ee91-43db-9425-a4d6e2763ceb,"BL1, E1"
87,87,187,346,"What are the first names of students, ordered by age from greatest to least?",select Fname from Student order by Age asc,SELECT Fname FROM STUDENT ORDER BY Age DESC,tianyi,46ec3535-1ce2-402c-9efc-ef26e7cc8be1,K2,zhengning,e92a92ca-6c12-4bc1-a416-7d7a1cee0901,K2
88,88,189,348,What is the number of aircraft?,select count ( * ) from airport_aircraft,SELECT count(*) FROM aircraft,tianyi,16229dd9-0c25-47c4-9560-ccf5a7f69e2a,"CE2, A1b",zhengning,f3a88c74-b5f1-45e9-88d5-0400a57317c1,"CE2, A1b"
89,89,191,360,How many students are enrolled in college?,select count ( enr ) from College,SELECT sum(enr) FROM College,tianyi,195983c7-0855-4a59-b9b1-7bf16b6f8127,L4,zhengning,fc1ecb64-7d5e-4c8c-846d-22fb6e7ab5ad,L4
90,90,193,362,"How many students, on average, does each college have enrolled?","select avg ( enr ) , count ( * ) from College group by cName",SELECT avg(enr) FROM College,tianyi,8628ad92-4b37-41b9-9243-38895b9d2f58,"BL2, N3",zhengning,a83f3ef8-7205-4617-ba48-b6203b304f6f,"BL2, N3"
91,91,195,364,How many different colleges are there?,select count ( cName ) from College,SELECT count(*) FROM College,tianyi,5cdbf7b0-7f9d-4e90-bbd7-661d3b8236c6,BL2,zhengning,196e0af4-2d3e-4bf9-8b8f-1c49607b8105,BL1
92,92,197,366,How many different players trained for more than 1000 hours?,select count ( HS ) from Player where HS > 1000,SELECT count(*) FROM Player WHERE HS  >  1000,tianyi,934ed680-d926-4430-8481-3a857aa8b257,BL2,zhengning,34e1ea33-d411-4602-98a3-6aa0cce27ce6,BL1
