coder,id,category
tianyi,31,D1a
tianyi,32,D1a
tianyi,33,D1a
tianyi,35,D1a
tianyi,36,D1a
tianyi,37,D1a
tianyi,39,D1a
tianyi,40,D1a
tianyi,41,BF4
tianyi,42,BF4
tianyi,43,BF4
tianyi,44,BF4
tianyi,45,I1
tianyi,46,I1
tianyi,47,I1
tianyi,49,I1
tianyi,50,I1
tianyi,51,A1a
tianyi,52,I1
tianyi,53,I1
tianyi,54,I1
tianyi,55,I1
tianyi,56,BL2
tianyi,57,BL3
tianyi,58,BL3
tianyi,59,BL3
tianyi,60,BL3
tianyi,61,CE3
tianyi,62,CL1
tianyi,63,I1
tianyi,64,F4
tianyi,65,CE3
tianyi,66,CE3
tianyi,67,CE3
tianyi,68,CE3
tianyi,69,BL3
tianyi,70,BL3
tianyi,71,BL3
tianyi,72,BL3
tianyi,73,KA1b
tianyi,74,KA1b
tianyi,75,I1
tianyi,76,KA1b
tianyi,77,F1
tianyi,78,F1
tianyi,79,I1
tianyi,80,F1
tianyi,81,CL1
tianyi,82,CL1
tianyi,83,CL1
tianyi,84,CL1
tianyi,85,BL1
tianyi,86,BL1
tianyi,87,G
tianyi,88,G
tianyi,89,BL2
tianyi,90,BL2
tianyi,91,I1
tianyi,92,I1
tianyi,93,H2
tianyi,94,CE2
tianyi,95,CL1
tianyi,96,BL1
tianyi,97,BF4
tianyi,98,G
tianyi,99,I1
tianyi,100,G
tianyi,101,CE2
tianyi,102,CE2
tianyi,103,BF4
tianyi,104,BL1
tianyi,105,BL3
tianyi,106,BL3
tianyi,107,BL3
tianyi,108,I1
tianyi,109,CE3
tianyi,110,CE3
tianyi,111,CL1
tianyi,112,CE3
tianyi,113,CL1
tianyi,114,BL1
tianyi,115,A1d
tianyi,116,F3
tianyi,117,A1e
tianyi,118,A1e
tianyi,119,A1e
tianyi,121,D1b
tianyi,122,D1b
tianyi,123,D1b
tianyi,124,D1b
tianyi,125,L4
tianyi,126,H2
tianyi,127,I1
tianyi,128,I1
tianyi,129,A1b
tianyi,130,A1b
tianyi,131,A1b
tianyi,132,A1b
tianyi,133,CE2
tianyi,135,CM6
tianyi,136,BL1
tianyi,137,CM4
tianyi,138,KA1b
tianyi,139,KA1b
tianyi,140,KA1b
tianyi,141,KA1b
tianyi,142,D1a
tianyi,143,A1b
tianyi,144,D1a
tianyi,145,DF2
tianyi,146,CE3
tianyi,149,BE5
tianyi,150,D1
tianyi,151,D1
tianyi,152,D1
tianyi,153,D1
tianyi,154,BL1
tianyi,155,BL1
tianyi,156,BE5
tianyi,157,CL1
tianyi,158,BL1
tianyi,159,BL1
tianyi,160,BL1
tianyi,161,BL1
tianyi,162,CL1
tianyi,163,CL1
tianyi,164,CL1
tianyi,165,CL1
tianyi,166,CE2
tianyi,167,CE2
tianyi,168,CE2
tianyi,169,CE2
tianyi,170,D1a
tianyi,171,D1a
tianyi,172,D1a
tianyi,173,D1a
tianyi,174,E1
tianyi,175,H2
tianyi,176,BE5
tianyi,177,E1
tianyi,178,BF4
tianyi,179,BF4
tianyi,180,BF4
tianyi,181,D1a
tianyi,182,D1a
tianyi,183,D1a
tianyi,1,H2
tianyi,7,CL1
tianyi,13,BL3
tianyi,15,BL3
tianyi,16,CM6
tianyi,17,D1
tianyi,18,CM6
tianyi,19,CM6
tianyi,26,BL1
tianyi,36,D1b
tianyi,37,D1b
tianyi,39,D1b
tianyi,40,D1b
tianyi,42,I1
tianyi,45,
tianyi,46,H1
tianyi,47,A1d
tianyi,49,A1a
tianyi,50,H1
tianyi,53,BL2
tianyi,54,BL3
tianyi,55,I2
tianyi,56,I1
tianyi,57,I2
tianyi,58,H1
tianyi,59,I1
tianyi,60,I1
tianyi,62,BE5
tianyi,64,
tianyi,65,BE5
tianyi,66,BE5
tianyi,75,KA1b
tianyi,79,F1
tianyi,82,
tianyi,83,
tianyi,84,
tianyi,86,I1
tianyi,87, 
tianyi,88,BL1
tianyi,89,H2
tianyi,90,BL3
tianyi,91,BL3
tianyi,92,BL3
tianyi,93,CL1
tianyi,94,CL1
tianyi,95,H1
tianyi,98,BF4
tianyi,100,BF4
tianyi,101,BL1
tianyi,102,BL1
tianyi,106,E1
tianyi,107,I1
tianyi,108,F1
tianyi,110,BE5
tianyi,111,CM6
tianyi,113,BL1
tianyi,114,I1
tianyi,116,
tianyi,128,F2
tianyi,135,CE2
tianyi,139,CE2
tianyi,143,D1a
tianyi,144,A1b
tianyi,145,D1a
tianyi,149,CE3
tianyi,154,CL1
tianyi,155,CL1
tianyi,160,CL1
tianyi,162,CM6
tianyi,163,CM6
tianyi,164,CM6
tianyi,165,CM6
tianyi,167,A1b
tianyi,168,A1b
tianyi,179,CF4
tianyi,180,CF4
tianyi,1,l1
tianyi,7,I1
tianyi,17,I1
tianyi,19,CE2
tianyi,47,DF2
tianyi,50,A1a
tianyi,58,I2
tianyi,66,I1
tianyi,86, G
tianyi,90,H1
tianyi,100,I1
tianyi,102,CL2
tianyi,106,BN1
tianyi,113,
tianyi,114,H2
tianyi,135,F3
tianyi,143,E1
tianyi,17,CM6
tianyi,47,
tianyi,90,H2
zhengn,0,A1a
zhengn,1,A1a
zhengn,2,A1a
zhengn,3,A1a
zhengn,4,BL2
zhengn,5,CL1
zhengn,6,I2
zhengn,7,CL1
zhengn,8,KA1b
zhengn,9,KA1b
zhengn,10,KA1b
zhengn,11,KA1b
zhengn,12,BL1
zhengn,13,BL1
zhengn,14,A1
zhengn,15,BL1
zhengn,16,CL1
zhengn,17,D1
zhengn,18,CL1
zhengn,19,CL1
zhengn,20,D1b
zhengn,21,D1b
zhengn,22,D1b
zhengn,23,D1b
zhengn,24,D1b
zhengn,25,BL1
zhengn,26,BL1
zhengn,27,I2
zhengn,28,D1a
zhengn,29,D1a
zhengn,31,D1a
zhengn,32,D1a
zhengn,33,D1a
zhengn,35,D1a
zhengn,36,D1a
zhengn,37,D1a
zhengn,38,D1a
zhengn,39,D1a
zhengn,40,D1a
zhengn,41,BF4
zhengn,42,BF4
zhengn,43,BF4
zhengn,44,BF4
zhengn,45,I2
zhengn,46,I2
zhengn,47,I2
zhengn,48,I2
zhengn,49,I2
zhengn,50,I2
zhengn,51,I1
zhengn,52,I2
zhengn,53,I2
zhengn,54,I2
zhengn,55,I2
zhengn,56,BL2
zhengn,57,I2
zhengn,58,BL3
zhengn,59,BL3
zhengn,60,BL3
zhengn,61,CL1
zhengn,62,CL1
zhengn,63,CL1
zhengn,64,I2
zhengn,65,F3
zhengn,66,CL1
zhengn,67,CL1
zhengn,68,CL1
zhengn,69,BL3
zhengn,70,BL3
zhengn,71,BL3
zhengn,72,BL3
zhengn,73,KA1b
zhengn,74,KA1b
zhengn,75,KA1b
zhengn,76,KA1b
zhengn,77,F1
zhengn,78,D1
zhengn,79,I2
zhengn,80,I2
zhengn,81,CM6
zhengn,82,CM6
zhengn,83,CM6
zhengn,84,BL1
zhengn,85,BL1
zhengn,87,BL1
zhengn,88,G
zhengn,89,D1
zhengn,90,BL1
zhengn,91,I2
zhengn,92,I2
zhengn,93,CE2
zhengn,94,CE2
zhengn,95,CE2
zhengn,96,CL2
zhengn,97,BF4
zhengn,98,BF4
zhengn,99,I2
zhengn,100,I2
zhengn,101,BL1
zhengn,102,BL1
zhengn,103,BE5
zhengn,104,BE5
zhengn,105,BL3
zhengn,106,BL3
zhengn,107,BL3
zhengn,108,BL3
zhengn,109,CL1
zhengn,110,CL1
zhengn,111,CL1
zhengn,112,CL1
zhengn,113,CL1
zhengn,114,I2
zhengn,115,I2
zhengn,116,F3
zhengn,117,BL1
zhengn,118,H1
zhengn,119,BL1
zhengn,121,D1b
zhengn,122,D1b
zhengn,123,D1b
zhengn,124,D1b
zhengn,125,BL1
zhengn,126,BL1
zhengn,127,I2
zhengn,128,BL1
zhengn,129,A1
zhengn,130,H1
zhengn,131,A1
zhengn,132,A1
zhengn,133,BL3
zhengn,134,BL3
zhengn,135,BL3
zhengn,136,BL3
zhengn,137,BL3
zhengn,138,KA1b
zhengn,139,KA1b
zhengn,140,KA1b
zhengn,141,KA1b
zhengn,142,D1a
zhengn,143,D1a
zhengn,144,D1a
zhengn,145,D1a
zhengn,146,CE3
zhengn,147,CE3
zhengn,148,CE3
zhengn,149,CE3
zhengn,150,D1c
zhengn,151,D1c
zhengn,152,D1c
zhengn,153,D1c
zhengn,154,BL1
zhengn,155,BL1
zhengn,156,BL1
zhengn,157,BL1
zhengn,158,BL2
zhengn,159,BL2
zhengn,160,CL1
zhengn,161,BL2
zhengn,162,CL1
zhengn,163,CL1
zhengn,164,CL1
zhengn,165,CL1
zhengn,166,CE2
zhengn,167,CE2
zhengn,168,CE2
zhengn,169,CE2
zhengn,170,D1a
zhengn,171,D1a
zhengn,172,D1a
zhengn,173,D1a
zhengn,174,E1
zhengn,175,E1
zhengn,176,E1
zhengn,177,E1
zhengn,178,BF4
zhengn,179,BF4
zhengn,180,BF4
zhengn,181,D1a
zhengn,182,D1a
zhengn,183,D1a
zhengn,0,A1
zhengn,1,H1
zhengn,3,I1
zhengn,4,CL1
zhengn,5,I2
zhengn,6,CL1
zhengn,7,BL1
zhengn,15,BL2
zhengn,17,CL1
zhengn,46,H1
zhengn,47,A1
zhengn,53,BL2
zhengn,56,BL1
zhengn,57,BL3
zhengn,58,H2
zhengn,59,I2
zhengn,60,I2
zhengn,62,I2
zhengn,63,I2
zhengn,64,F3
zhengn,65,CL2
zhengn,66,BL1
zhengn,68,BL3
zhengn,77,D1
zhengn,80,F1
zhengn,89,BL1
zhengn,90,H1
zhengn,91,BL3
zhengn,92,BL3
zhengn,93,CL1
zhengn,94,CL1
zhengn,95,CL1
zhengn,100, G
zhengn,101,BE5
zhengn,102,BE5
zhengn,107,I2
zhengn,108,I2
zhengn,109,CE3
zhengn,110,CE3
zhengn,112,BE5
zhengn,113,BE5
zhengn,128,I2
zhengn,135,F4
zhengn,155,BE5
zhengn,156,BE5
zhengn,159,CL1
zhengn,163,BL2
zhengn,168,A1
zhengn,179,CF5
zhengn,180,CF5
zhengn,0,I1
zhengn,65,BL1
zhengz,0,A1a
zhengz,1,A1a
zhengz,2,A1a
zhengz,3,A1a
zhengz,4,BL2
zhengz,5,I2
zhengz,6,CL1
zhengz,7,CL1
zhengz,8,KA1b
zhengz,9,KA1b
zhengz,10,KA1b
zhengz,11,KA1b
zhengz,12,BL1
zhengz,13,BL1
zhengz,14,BL1
zhengz,15,BL2
zhengz,16,CM4
zhengz,17,D1a
zhengz,18,CL1
zhengz,19,CE2
zhengz,20,D1b
zhengz,21,D1b
zhengz,22,D1b
zhengz,23,D1b
zhengz,24,D1b
zhengz,25,BL1
zhengz,26,BL1
zhengz,27,I1
zhengz,28,D1a
zhengz,29,D1a
zhengz,31,D1a
zhengz,32,D1a
zhengz,33,D1a
zhengz,35,D1a
zhengz,36,D1b
zhengz,37,D1b
zhengz,38,D1b
zhengz,39,D1b
zhengz,40,D1b
zhengz,41,BF4
zhengz,42,BF4
zhengz,43,BF4
zhengz,44,BF4
zhengz,45,I2
zhengz,46,H2
zhengz,47,I1
zhengz,48,I1
zhengz,49,A1a
zhengz,50,I2
zhengz,51,A1a
zhengz,52,I2
zhengz,53,I2
zhengz,54,I2
zhengz,55,I2
zhengz,56,BL2
zhengz,57,BL3
zhengz,58,BL3
zhengz,59,BL3
zhengz,60,BL3
zhengz,61,CF5
zhengz,62,CF5
zhengz,63,I1
zhengz,64,I2
zhengz,65,CE3
zhengz,66,CE3
zhengz,67,CE3
zhengz,68,CE3
zhengz,69,BL3
zhengz,70,BL3
zhengz,71,BL3
zhengz,72,BL3
zhengz,73,KA1b
zhengz,74,KA1b
zhengz,75,KA1b
zhengz,76,KA1b
zhengz,77,F1
zhengz,78,F1
zhengz,79,I1
zhengz,80,F1
zhengz,81,CL1
zhengz,82,CL1
zhengz,83,CE3
zhengz,84,CL1
zhengz,85,BL1
zhengz,87,G
zhengz,88,G
zhengz,89,BF4
zhengz,90,BL1
zhengz,91,BL3
zhengz,92,BL1
zhengz,93,CE2
zhengz,94,CE2
zhengz,95,CL1
zhengz,96,CL1
zhengz,97,BF4
zhengz,98,BF4
zhengz,99,I1
zhengz,100,G
zhengz,101,CE2
zhengz,102,BL1
zhengz,103,BE5
zhengz,104,BL1
zhengz,105,BL1
zhengz,106,BL1
zhengz,107,BL3
zhengz,108,I1
zhengz,109,CE3
zhengz,110,CE3
zhengz,111,CM6
zhengz,112,CE3
zhengz,113,BL1
zhengz,114,I2
zhengz,115,A1d
zhengz,116,F3
zhengz,117,BL1
zhengz,118,H2
zhengz,119,A1e
zhengz,121,D1b
zhengz,122,D1b
zhengz,123,D1b
zhengz,124,D1b
zhengz,125,L4
zhengz,126,H2
zhengz,127,I1
zhengz,128,I1
zhengz,129,A1b
zhengz,130,A1b
zhengz,131,A1b
zhengz,132,A1b
zhengz,133,CE2
zhengz,134,CM6
zhengz,135,F4
zhengz,136,BF4
zhengz,137,CM4
zhengz,138,KA1b
zhengz,139,KA1b
zhengz,140,KA1b
zhengz,141,KA1b
zhengz,142,D1a
zhengz,143,A1b
zhengz,144,A1b
zhengz,145,H2
zhengz,146,CE3
zhengz,147,E1
zhengz,148,CE3
zhengz,149,CE3
zhengz,150,D1c
zhengz,151,D1c
zhengz,152,D1c
zhengz,153,D1c
zhengz,154,BL1
zhengz,155,BL1
zhengz,156,BE5
zhengz,157,BL1
zhengz,158,BL2
zhengz,159,BL2
zhengz,160,CM6
zhengz,161,BL2
zhengz,162,CM6
zhengz,163,CM6
zhengz,164,CM6
zhengz,165,CM6
zhengz,166,CE2
zhengz,167,A1b
zhengz,168,CE2
zhengz,169,CE2
zhengz,170,D1a
zhengz,171,D1a
zhengz,172,D1a
zhengz,173,D1a
zhengz,174,E1
zhengz,175,H2
zhengz,176,BE5
zhengz,177,E1
zhengz,178,BF4
zhengz,179,BF4
zhengz,180,BF4
zhengz,181,D1a
zhengz,182,D1a
zhengz,183,D1a
zhengz,0,I2
zhengz,1,H2
zhengz,4,CL1
zhengz,5,CL1
zhengz,6,I2
zhengz,7,I2
zhengz,15,BL3
zhengz,17,CL1
zhengz,25,BE5
zhengz,46,I2
zhengz,47,A1d
zhengz,49,I2
zhengz,50,H2
zhengz,53,BL2
zhengz,55,I1
zhengz,56,BL1
zhengz,57,I2
zhengz,58,H2
zhengz,59,I1
zhengz,60,I1
zhengz,62,I2
zhengz,63,CF5
zhengz,64,E1
zhengz,65,BE5
zhengz,66,CE5
zhengz,68,CE5
zhengz,79,F1
zhengz,81,CE3
zhengz,82,CE3
zhengz,88,BL1
zhengz,89,D1
zhengz,90,H1
zhengz,91,I1
zhengz,92,I1
zhengz,93,CL1
zhengz,94,CL1
zhengz,95,H1
zhengz,100,I1
zhengz,101,BL1
zhengz,102,CE2
zhengz,106,BN1
zhengz,107,I1
zhengz,108,F1
zhengz,110,BE5
zhengz,116,BL1
zhengz,128,F2
zhengz,134,F4
zhengz,135,CM6
zhengz,143,D1a
zhengz,144,D1a
zhengz,145,D1a
zhengz,147,F4
zhengz,149,BE5
zhengz,159,CM6
zhengz,160,BL1
zhengz,167,CE2
zhengz,168,A1b
zhengz,179,CF5
zhengz,180,CF5
zhengz,5,BL1
zhengz,7,BL1
zhengz,100,BF4
zhengz,102,CL1
zhengz,143,BF4
