,desrciption,Krippendroffis_alpha
131,2151zhengzhang,1.0
132,2151tianyi,0.7945578231292517
133,2151zhengning,1.0
134,2151toby,1.0
135,2025zhengzhang,1.0
136,2025tianyi,0.46071428571428574
137,2025zhengning,0.8512315270935961
138,2025toby,0.3105022831050228
139,2070zhengzhang,0.4898648648648649
140,2070tianyi,0.12615740740740722
141,2070zhengning,1.0
142,2070toby,0.8512315270935961
143,1804zhengzhang,0.4898648648648649
144,1804tianyi,0.4898648648648649
145,1804zhengning,0.4898648648648649
146,1804toby,0.4898648648648649
147,1747zhengzhang,0.7945578231292517
148,1747tianyi,0.6528735632183909
149,1747zhengning,0.3105022831050228
150,1747toby,0.4898648648648649
151,1673zhengzhang,0.5206349206349208
152,1673tianyi,0.2561576354679803
153,1673zhengning,0.355336617405583
154,1673toby,0.21178225205070844
155,2310zhengzhang,0.5206349206349208
156,2310tianyi,0.355336617405583
157,2310zhengning,0.5206349206349208
158,2310toby,0.5206349206349208
159,2061zhengzhang,1.0
160,2061tianyi,0.6552511415525114
161,2061zhengning,0.6528735632183909
162,2061toby,1.0
163,478zhengzhang,1.0
164,478tianyi,1.0
165,478zhengning,1.0
166,478toby,1.0
167,1189zhengzhang,1.0
168,1189tianyi,0.3198198198198199
169,1189zhengning,0.1097505668934241
170,1189toby,0.7945578231292517
171,1563zhengzhang,1.0
172,1563tianyi,0.7378472222222222
173,1563toby,0.7378472222222222
174,531zhengzhang,1.0
175,531tianyi,1.0
176,531toby,1.0
177,798tianyi,-0.01342281879194629
178,average,0.5619965545348957
