,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
50,75,Find the number of distinct stages in claim processing.,select count ( Claim_Stage_ID ) from Claims_Processing,SELECT count(*) FROM claims_processing_stages,zhengning,2cd2b14a-e15f-468c-8360-21cda7f13242,"CL1, BL3"
52,78,How many distinct claim outcome codes are there?,select count ( Claim_Outcome_Code ) from Claims_Processing,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,zhengning,68f9681c-4643-4c0c-914a-519d487a2f2f,"BL1, A1b"
54,79,Count the number of distinct claim outcome codes.,select count ( Claim_Outcome_Code ) from Claims_Processing,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,zhengning,1cc1bd34-3d16-413b-8df8-9f7682b4e39c,A1b
56,82,How many customers have opened an account?,select count ( customer_id ) from Accounts,SELECT count(DISTINCT customer_id) FROM Accounts,zhengning,42b7acd0-92ec-4504-8c74-d04a9672f2aa,A1b
58,83,Count the number of customers who have an account.,select count ( customer_id ) from Accounts,SELECT count(DISTINCT customer_id) FROM Accounts,zhengning,50a0d2ed-3284-4d14-bb30-d9aa893f46aa,A1b
60,88,Show all product sizes.,select product_size from Products,SELECT DISTINCT product_size FROM Products,zhengning,fa002c98-c5b6-4fdb-9460-95f72bd1e5fd,A1b
62,89,What are the different product sizes?,select product_size from Products,SELECT DISTINCT product_size FROM Products,zhengning,8e650bb3-7bec-43ba-99bb-871062116540,A1b
64,90,Show all product colors.,select product_color from Products,SELECT DISTINCT product_color FROM Products,zhengning,9f226f5b-ae96-4297-ba30-afdcb6b8531d,A1b
66,91,What are the different product colors?,select product_color from Products,SELECT DISTINCT product_color FROM Products,zhengning,317161d2-7258-4a15-b024-7423859d9ef9,A1b
68,106,How many budget record has a budget amount smaller than the invested amount?,select count ( * ) from budget where Invested < ( select total_budget_percent_invested from budget where Budget_invested_percent < 1 ),SELECT count(*) FROM budget WHERE budgeted  <  invested,zhengning,2b6705e8-39b5-4a3c-8a26-c215b30fcb0c,F3
70,107,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,select count ( School_id ) from endowment where amount < 8.5 group by amount having count ( amount ) > 1,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),zhengning,38370d45-f938-4076-90c3-8cf25ac1397e,"O3, F1, BL3"
72,109,Show all the distinct institution types.,select Type from Institution,SELECT DISTINCT TYPE FROM institution,zhengning,6426b18f-6992-4666-ac64-fdc9024cbd53,A1b
74,111,How many different product types are there?,select count ( product_type_code ) from Products_for_Hire,SELECT count(DISTINCT product_type_code) FROM products_for_hire,zhengning,830651dd-31cd-40e8-a278-26b451fa368b,A1b
76,113,What are all the distinct payment types?,select payment_type_code from Payments,SELECT DISTINCT payment_type_code FROM payments,zhengning,afdd4084-a22d-4132-a6db-c4819272f547,A1b
78,116,List the distinct positions of pilots older than 30.,select Position from pilot where Age > 30,SELECT DISTINCT POSITION FROM pilot WHERE Age  >  30,zhengning,0812b865-f144-4534-a620-6448ec1d890f,A1b
80,119,What document type codes do we have?,select document_type_code from Documents,SELECT document_type_code FROM Ref_Document_Types;,zhengning,a9169b89-d81c-4a44-b3e0-c7c9ac869046,CL1
82,122,What is the shipping agent code of shipping agent UPS?,"select shipping_agent_code from Ref_Shipping_Agents where shipping_agent_name = ""shipping""","SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = ""UPS"";",zhengning,81fac392-327b-48de-8374-7cefc77f6e3a,D1
84,123,What are all role codes?,select role_code from Employees,SELECT role_code FROM ROLES;,zhengning,a81cf762-95ec-4546-898e-5217251f6ae5,CL1
86,126,How many documents have the status code done?,select count ( * ) from Documents where document_status_code = 1,"SELECT count(*) FROM Documents WHERE document_status_code = ""done"";",zhengning,33115e36-8adb-4780-a1a2-19301166292d,D1
88,127,List the document type code for the document with the id 2.,select document_type_code from Documents where document_status_code = 2,SELECT document_type_code FROM Documents WHERE document_id = 2;,zhengning,eb5605c6-0200-4480-b90c-c5e221c108a7,BF4
90,129,What is the mail date of the document with id 7?,select T1.mailing_date from Documents_Mailed as T1 join Documents as T2 on T1.document_id = T2.document_id where T2.document_type_code = 7,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,zhengning,b2e5701e-40d2-46fe-a703-d42ac2090090,"CF5, E1"
92,134,What are all the distinct participant ids who attended any events?,select Participant_ID from Participants_in_Events,SELECT count(DISTINCT participant_id) FROM participants_in_Events,zhengning,05a97a6c-7d2f-412e-9d8d-d9cc3725b1f8,A1b
94,143,What are the names of entrepreneurs?,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,zhengning,03f102d2-dfae-4dfb-b997-6eecdf9ff0bd,"CL1, CE2"
96,144,Return the names of entrepreneurs.,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,zhengning,e02f1e77-ef01-467e-9343-88fc2710ae43,"CL1, CE2"
98,149,How many perpetrators are there?,select count ( Perpetrator_ID ) from perpetrator,SELECT count(*) FROM perpetrator,zhengning,39741dbb-5e41-4012-8173-43793c3a0a22,BL3
100,151,List the number of people injured by perpetrators in ascending order.,select Injured from perpetrator order by Killed asc,SELECT Injured FROM perpetrator ORDER BY Injured ASC,zhengning,d77d0c3c-a8fa-46d8-899b-2dc2770521da,BK1
102,154,What are the names of perpetrators?,select Name from people,SELECT T1.Name FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID,zhengning,4089bcca-39fe-4770-b94f-c40fd6b3eadc,CE2
104,159,List all people names in the order of their date of birth from old to young.,select Name from people order by Date_of_Birth desc,SELECT name FROM people ORDER BY date_of_birth,zhengning,e63e2783-81cf-4dc1-b086-19da965a1462,K2
106,167,Show all the distinct districts for elections.,select District from election,SELECT DISTINCT District FROM election,zhengning,11ef2f10-2ac7-4f3f-8f04-f02348ed7690,A1b
108,168,What are the distinct districts for elections?,select District from election,SELECT DISTINCT District FROM election,zhengning,d3d09c57-375e-4239-873f-b27f88846777,A1b
110,173,How many distinct governors are there?,select count ( Governor ) from party,SELECT count(DISTINCT Governor) FROM party,zhengning,6ccf18cd-f801-497c-8bef-ef9a5b83b73e,A1b
112,174,Count the number of distinct governors.,select count ( Governor ) from party,SELECT count(DISTINCT Governor) FROM party,zhengning,acd19652-8153-430f-ace6-e398ca95a503,A1b
114,175,"In which distinct years was the governor ""Eliot Spitzer""?","select Year from party where Governor = ""Eliot"" and Lieutenant_Governor = 1","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",zhengning,13de64fa-6b1e-441b-9d39-9d2fbb0464c1,"D1, F3, A1b"
116,176,"Find the distinct years when the governor was named ""Eliot Spitzer"".","select Year from party where Governor = ""Eliot Spitzer""","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer""",zhengning,26e52c72-339d-42fb-947d-d50430db401f,A1b
118,190,How many customers are there?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,zhengning,28f5a7dd-f643-49c3-9171-606aa14f46fe,"L4, CL1, BL2"
120,191,What is the total number of customers across banks?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,zhengning,6f23242e-f265-4ab9-9c31-0851252eef7b,"L4, CL1, BL1"
123,192,Find the number of customers in the banks at New York City.,"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York"" and T2.state = 1",SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',zhengning,c73e9cce-e2dc-4d44-a64b-3e8bbc788e39,"L4, F3, BL2, E1"
125,193,What is the total number of customers who use banks in New York City?,"select count ( * ) from customer as T1 join bank as T2 on T1.branch_ID = T2.branch_ID where T2.city = ""New York""",SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',zhengning,de42bd95-1e5f-4a68-b545-9d70403dc474,"L4, D1c, E1"
127,206,How many distinct types of accounts are there?,select count ( acc_type ) from customer,SELECT count(DISTINCT acc_type) FROM customer,zhengning,0b661b70-0749-4ec0-baa5-370c6f240309,A1b
129,207,Count the number of different account types.,select count ( acc_type ) from customer,SELECT count(DISTINCT acc_type) FROM customer,zhengning,e9b79d1e-bb6a-4fd7-aa1d-478dab228a7c,A1b
131,208,Find the name of bank branches that provided some loans.,select branch_ID from loan,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,zhengning,bfbc76f2-8465-4bcd-a695-db1e011d73fa,"CL1, BL1, A1b, CE2"
133,209,What are the names of the different banks that have provided loans?,select count ( no_of_loans ) from customer,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,zhengning,74cab336-fbc9-43aa-9010-7a682170d2cd,"CL1, BL1, A1b, CE2"
135,211,How many fault status codes are recorded in the fault log parts table?,select count () from Fault_Log_Parts,SELECT DISTINCT fault_status FROM Fault_Log_Parts,zhengning,6dd719b9-12fb-4197-8e06-147223cf2dcd,"L4, A1b"
137,213,How many different services are provided by all stations?,select count ( services ) from station,SELECT count(DISTINCT services) FROM station,zhengning,b4272952-6a6f-43c5-aa92-749702c1cb75,A1b
139,221,"What are the distinct years in which the competitions type is not ""Tournament""?","select Year from competition where Competition_type != ""Tournament""","SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",zhengning,a655be30-88fe-4a3f-b45e-31d331562c74,A1b
141,222,What are the different years for all competitions that are not of type equal to tournament?,select Year from competition where Competition_type != 1,"SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament""",zhengning,5fc612c7-af2d-4867-bdf3-207a486423aa,"D1, A1b"
143,226,What are the names of all the clubs starting with the oldest?,select name from club order by Start_year desc limit 1,SELECT name FROM club ORDER BY Start_year ASC,zhengning,897a8e8f-6f7f-48ee-986d-10035a2010c8,"Q1, K2"
145,298,How many patents outcomes were listed for all the projects?,select count ( outcome_code ) from Project_Outcomes,SELECT count(*) FROM Project_outcomes WHERE outcome_code  =  'Patent',zhengning,00e73534-a2db-41f2-aa35-886fed89b0c2,"BL1, F4"
148,303,What are the descriptions of all the project outcomes?,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,zhengning,64f839d7-13e9-4211-8733-1c87efa36b29,CE2
151,304,List the description of the outcomes for all projects.,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,zhengning,32c59d0a-2de8-461e-90a8-5ed32bc45288,CE2
154,305,How many females does this network has?,select count ( gender ) from Person where limit 'f' = 1,SELECT count(*) FROM Person WHERE gender  =  'female',zhengning,23c24f96-66ff-46c5-9902-8c3a112e32bf,"BF4, BL1, Q1"
157,311,How many type of jobs do they have?,select count ( job ) from Person,SELECT count(DISTINCT job) FROM Person,zhengning,dc78ea53-6f05-4bf5-b08c-62ea23522389,A1b
160,312,How many different jobs are listed?,select count ( job ) from Person,SELECT count(DISTINCT job) FROM Person,zhengning,5e5ee96e-871c-4753-b261-bc61312690ee,A1b
163,317,Find the person who has exactly one friend.,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,zhengning,48e1a08c-fd46-4863-9665-11fb56f5f496,"CL1, BN1"
166,323,What are all the distinct premise types?,select premises_type from Premises,SELECT DISTINCT premises_type FROM premises,zhengning,0d53c2c4-ab34-469c-8fe5-a75ae198c407,A1b
169,324,What are the distinct address type codes for all customer addresses?,select address_type_code from Customer_Addresses,SELECT DISTINCT address_type_code FROM customer_addresses,zhengning,d936e293-8cab-474d-9664-4819ad49f542,A1b
172,329,List all names of courses with 1 credit?,select CName from Course group by CName having count ( Credits ) = 1,SELECT CName FROM COURSE WHERE Credits  =  1,zhengning,ba37906b-07af-4894-ad05-722c5267d6f7,"O2, F4, N3"
174,330,What are the names of courses with 1 credit?,select CName from Course group by CName having count ( Credits ) = 1,SELECT CName FROM COURSE WHERE Credits  =  1,zhengning,58479476-011c-446a-a2c4-99e295e22f5a,"O2, F4, N3"
177,332,What are the course names for courses taught on MTW?,"select T2.CName from Department as T1 join Course as T2 on T1.DNO = T2.DNO where T1.DName = ""MTW""","SELECT CName FROM COURSE WHERE Days  =  ""MTW""",zhengning,a5fff4bd-a5b1-4779-9738-f4dbca594826,"CF5, CL1, E1"
180,335,What are the phones of departments in Room 268?,select DPhone from Department where Division = 268,SELECT DPhone FROM DEPARTMENT WHERE Room  =  268,zhengning,e35e2c68-7cf7-4f31-bb59-c7570901b2e4,BF4
183,337,"Find the number of students that have at least one grade ""B"".",select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = 'b',"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",zhengning,36900fc9-ee08-4fb5-98c5-b1fc045aa21c,"BL1, D1a, E1"
185,338,"How many students have had at least one ""B"" grade?","select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = ""B""","SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B""",zhengning,7ff6aaae-ee91-43db-9425-a4d6e2763ceb,"BL1, E1"
187,346,"What are the first names of students, ordered by age from greatest to least?",select Fname from Student order by Age asc,SELECT Fname FROM STUDENT ORDER BY Age DESC,zhengning,e92a92ca-6c12-4bc1-a416-7d7a1cee0901,K2
189,348,What is the number of aircraft?,select count ( * ) from airport_aircraft,SELECT count(*) FROM aircraft,zhengning,f3a88c74-b5f1-45e9-88d5-0400a57317c1,CL1
191,360,How many students are enrolled in college?,select count ( enr ) from College,SELECT sum(enr) FROM College,zhengning,fc1ecb64-7d5e-4c8c-846d-22fb6e7ab5ad,L4
193,362,"How many students, on average, does each college have enrolled?","select avg ( enr ) , count ( * ) from College group by cName",SELECT avg(enr) FROM College,zhengning,a83f3ef8-7205-4617-ba48-b6203b304f6f,"BL2, N3"
195,364,How many different colleges are there?,select count ( cName ) from College,SELECT count(*) FROM College,zhengning,196e0af4-2d3e-4bf9-8b8f-1c49607b8105,BL1
197,366,How many different players trained for more than 1000 hours?,select count ( HS ) from Player where HS > 1000,SELECT count(*) FROM Player WHERE HS  >  1000,zhengning,34e1ea33-d411-4602-98a3-6aa0cce27ce6,BL1
199,371,How many different colleges do attend the tryout test?,select count ( cName ) from Tryout,SELECT count(DISTINCT cName) FROM tryout,zhengning,6b183ca8-4c9e-4d33-88f0-38baab053c66,A1b
201,372,How many different colleges were represented at tryouts?,select count ( cName ) from Tryout,SELECT count(DISTINCT cName) FROM tryout,zhengning,28ba346e-7d27-46de-8f66-a2ea305aba8e,A1b
203,373,What are the unique types of player positions in the tryout?,select pPos from Tryout,SELECT count(DISTINCT pPos) FROM tryout,zhengning,727d5ef5-cc7e-4ef6-b1a2-88271289d7dd,"L5, A1b"
205,374,What are the different types of player positions?,select pPos from Tryout,SELECT count(DISTINCT pPos) FROM tryout,zhengning,9d13d426-30ee-4b4b-a2cd-8dca49402f0b,"L5, A1b"
207,376,How many students received a yes from tryouts?,select count ( * ) from Tryout,SELECT count(*) FROM tryout WHERE decision  =  'yes',zhengning,71845cff-f19f-44e8-9ef4-be9136bd07e5,F4
209,378,What is the number of students playing as a goalie?,"select count ( T1.pPos ) from Tryout as T1 join Player as T2 on T1.pID = T2.pID where T2.pName = ""goalie""",SELECT count(*) FROM tryout WHERE pPos  =  'goalie',zhengning,4af4608c-c733-4d88-aa8a-52603573ab6f,"CF5, E1, BL1"
211,380,What is average number of students enrolled in Florida colleges?,"select avg ( enr ) from College where state = ""Florida""",SELECT avg(enr) FROM College WHERE state  =  'FL',zhengning,5b551262-b719-43a7-b23e-0fd21de11c00,D1c
213,384,What information do you have on colleges sorted by increasing enrollment numbers?,select * from College order by enr desc,SELECT * FROM College ORDER BY enr,zhengning,cd80a871-9ac9-457d-b128-48b5d6101d8a,K2
215,385,Find the name of different colleges involved in the tryout in alphabetical order.,select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,SELECT DISTINCT cName FROM tryout ORDER BY cName,zhengning,cac4276f-03b6-43b2-b52a-ae5218cc01d5,"A1b, BK1, E1"
217,386,What are the different names of the colleges involved in the tryout in alphabetical order?,select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,SELECT DISTINCT cName FROM tryout ORDER BY cName,zhengning,1deda17d-9794-477b-b26c-bab6e5ec61d6,"A1b, BK1, E1"
219,387,Find the states where have some college students in tryout.,select state from College,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,zhengning,c8954785-0d94-4395-8b6e-f3745ba9df60,"CE2, A1b"
221,388,What are the different states that have students trying out?,select count ( state ) from College,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,zhengning,19d1f8ff-cdb7-4258-8fc0-9cdaf8afef40,"L4, CE2, A1b"
223,389,How many schools have some students playing in goalie and mid positions.,"select count ( cName ) from Tryout where pPos = ""goalie"" and pPos = ""mid""",SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),zhengning,27148e0f-9072-47a7-bcc7-701da0817d14,"BL1, A1g"
225,390,How many schools have students playing in goalie and mid-field positions?,"select count ( cName ) from Tryout where pPos = ""goalie"" and pPos = ""mid field""",SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),zhengning,194cd7a4-d18c-4d42-ab75-da960fadf371,"BL1, A1g"
227,391,How many states that have some college students playing in the mid position but not in the goalie position.,select count ( T2.state ) from Tryout as T1 join College as T2 on T1.cName = T2.cName where T1.pPos = 'mid' except select T4.state from Tryout as T3 join College as T4 on T3.cName = T4.cName where T3.pPos = 'goalie',SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),zhengning,5202109f-8a20-46b4-bade-6deef5cecde9,"A1d, BL1"
229,392,What is the count of states with college students playing in the mid position but not as goalies?,"select count ( T2.state ) from Tryout as T1 join College as T2 on T1.cName = T2.cName where T1.pPos = ' and T1.cName = ""goalies""",SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),zhengning,989f2710-7479-43a4-aeec-15966ffdf9a0,"A1d, BL1"
231,395,List the carriers of devices in ascending alphabetical order.,select Carrier from device order by Device asc,SELECT Carrier FROM device ORDER BY Carrier ASC,zhengning,6f40562d-9a24-47a9-aa71-7ac4319eedb3,BK1
234,396,"What are the different carriers for devices, listed in alphabetical order?",select Carrier from device order by Device,SELECT Carrier FROM device ORDER BY Carrier ASC,zhengning,5b7cba44-6579-451f-919d-b226d88960ee,"L4, D1c, CL1, BL1, L5, D1, D1a, CL1"
236,398,Return the device carriers that do not have Android as their software platform.,select Device from device except select Carrier from device where Software_Platform = 'Android',SELECT Carrier FROM device WHERE Software_Platform != 'Android',zhengning,6b34f2fe-7fe2-4002-8b83-28518b0705f6,"A1d, A1a, BL1"
238,403,How many different software platforms are there for devices?,select count ( Software_Platform ) from device,SELECT count(DISTINCT Software_Platform) FROM device,zhengning,41f86ae7-7d8b-4c74-a1f9-73aeed43dfe7,A1b
240,404,Count the number of different software platforms.,select count ( Software_Platform ) from device,SELECT count(DISTINCT Software_Platform) FROM device,zhengning,fd8b696f-092c-453f-9c59-ace590a3222c,A1b
242,413,Show all distinct city where branches with at least 100 memberships are located.,select T2.City from membership_register_branch as T1 join branch as T2 on T1.Branch_ID = T2.Branch_ID group by T1.Branch_ID having count ( * ) >= 100,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,zhengning,59021a67-461b-4a96-a41a-23edea390deb,"F4, E1, A1b"
244,414,What are the different cities that have more than 100 memberships?,select T1.Hometown from member as T1 join purchase as T2 on T1.Member_ID = T2.Member_ID join branch as T3 on T2.Branch_ID = T3.Branch_ID where T3.City > 100,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,zhengning,373ac0b2-ad83-4629-a3eb-c5440ef92458,"CF5, A1b, E1"
246,415,List all open years when at least two shops are opened.,select Open_year from branch group by Open_year having count ( ) >= 2,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,zhengning,d05fbddd-b5a4-4e3a-9b44-b783df909d3b,O3
248,416,What are the opening years in which at least two shops opened?,select Open_year from branch group by Open_year having count ( ) >= 2,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,zhengning,5983492e-377c-4a0e-8d1e-b1cbfee56a1b,O3
250,417,How many different levels do members have?,select count ( Level ) from member,SELECT count(DISTINCT LEVEL) FROM member,zhengning,3f44b254-488a-4834-9eec-43b5bde7122b,A1b
252,418,What are the different membership levels?,select Level from member,SELECT count(DISTINCT LEVEL) FROM member,zhengning,23f874ed-4ca8-4cf7-a42f-95f9cbdf9eb7,"L5, A1b"
254,422,Find the name of dorms only for female (F gender).,select dorm_name from Dorm where gender = 'F' and gender = 1,SELECT dorm_name FROM dorm WHERE gender  =  'F',zhengning,06ac0e85-64b3-4900-bbc9-fed298ed7c2d,F3
256,423,What are the names of the all-female dorms?,select dorm_name from Dorm where gender = 'f',SELECT dorm_name FROM dorm WHERE gender  =  'F',zhengning,095887a2-4a43-418b-ab3b-7d3d166502ae,D1a
258,430,Find the number of distinct amenities.,select count ( amenity_name ) from Dorm_amenity,SELECT count(*) FROM dorm_amenity,zhengning,5f3f50c4-e23f-44cd-a6ea-a7bd37302d2e,BL2
260,431,How many diffrent dorm amenities are there?,select count ( amenity_name ) from Dorm_amenity,SELECT count(*) FROM dorm_amenity,zhengning,5ad70d13-93d2-43bd-ad43-f2ae15468f85,BL2
