,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
49,669,What are the names of tracks that contain the the word you in them?,select Name from Track where Name like 1,SELECT Name FROM TRACK WHERE Name LIKE '%you%',zhengning,eb09802c-2d39-4eb4-b9c9-86f13779ab78,P3
50,672,"Show the album names, ids and the number of tracks for each album.","select T2.Title , T1.AlbumId , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.Title","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",zhengning,b55eb153-8481-446c-96a9-24b67578f6ee,"CL1, BN1"
51,673,"What are the names and ids of the different albums, and how many tracks are on each?","select T2.Title , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.AlbumId","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",zhengning,6128a879-1ca5-47c0-9e5a-dee9028659d8,"CL1, AN2"
52,677,Find the average unit price of jazz tracks.,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""jazz""","SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Jazz""",zhengning,b1d5b7ef-6ba9-4319-82a9-b920353243e3,"D1a, CL1, E1"
53,680,"How many customers have email that contains ""gmail.com""?","select count ( * ) from Customer where Email like ""gmail . com %""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",zhengning,58ced0b7-5a07-4b4f-b8f7-223a7178b9d3,P3
54,681,"Count the number of customers that have an email containing ""gmail.com"".","select count ( * ) from Customer where Email = ""gmail . com""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",zhengning,d4011417-1589-4df4-aca7-e8b94bdd391e,P1
55,684,What city does the employee who helps the customer with postal code 70174 live in?,select City from Employee where PostalCode = 70174,"SELECT T2.City FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId WHERE T1.PostalCode  =  ""70174""",zhengning,9149c834-9b0e-4564-bd6d-2d6003625329,CE2
56,692,How many tracks are in the AAC audio file media type?,"select count ( * ) from MediaType as T1 join Track as T2 on T1.MediaTypeId = T2.MediaTypeId where T1.Name = ""AAC audio file media""","SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId  =  T2.MediaTypeId WHERE T1.Name  =  ""AAC audio file""",zhengning,a59004e1-5b55-4434-807e-e1227df19aa0,"CL1, D1"
57,695,What are the first names and support rep ids for employees serving 10 or more customers?,"select T1.FirstName , T2.FirstName , T3.CustomerId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId join Invoice as T3 on T2.CustomerId = T3.CustomerId group by T1.EmployeeId having count ( T2.CustomerId ) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",zhengning,16d11ce8-b350-46a4-9b75-95833770da0e,"O3, BL2, E1, CL1"
58,696,Please show the employee last names that serves no more than 20 customers.,select T1.LastName from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId where T2.LastName < 20 group by T1.LastName having count ( * ) >= 1,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,zhengning,3ef57686-2282-415c-be90-98adf8f25723,"O3, F3, CL1"
59,698,What is the average unit price of rock tracks?,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""rock""","SELECT AVG(T2.UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",zhengning,d7986848-35a3-4e48-94da-6be370ce6462,"D1a, E1, CL1"
60,708,What is the id and trade name of the medicines can interact with at least 3 enzymes?,"select T3.id , T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id join enzyme as T3 on T1.enzyme_id = T3.id group by T1.medicine_id having count ( * ) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",zhengning,140d1be2-4f97-4ebb-acce-e722e7fd63b5,"BN1, E1, CL1"
61,709,What are the ids and trade names of the medicine that can interact with at least 3 enzymes?,"select T1.medicine_id , T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id group by T1.medicine_id having count ( * ) >= 3","SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",zhengning,4e6a7252-b942-4d8b-951e-1f214ba58c93,"BN1, CL1"
62,712,"Which enzyme names have the substring ""ALA""?","select name from enzyme where name like ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",zhengning,308aa7a6-c2cf-4301-aa7c-c5d397d859fe,P3
63,725,What are the all games score and location of the school called Clemson?,"select Location , School from university where Nickname = ""Clemson""","SELECT t2.All_Games ,  t1.location FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE team_name  =  'Clemson'",zhengning,9cb8c300-2675-4a52-82ea-8a6276ddcfed,"BF4, CE2, CL1"
64,735,How many universities have a location that contains NY?,"select count ( * ) from university where Location like ""% ny %""","SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",zhengning,f1b89f8c-21fd-44cd-97b8-5bb441f32e66,P3
65,740,List all country and league names.,"select country_id , name from League","SELECT T1.name ,  T2.name FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id",zhengning,dd8d8939-ec96-494d-ac41-f850051b92cf,"CE2, CL1"
66,741,How many leagues are there in England?,"select count ( * ) from sqlite_sequence as T1 join League as T2 where T1.seq = ""England""","SELECT count(*) FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id WHERE T1.name  =  ""England""",zhengning,066c8866-7154-4455-b659-381076a28296,"F4, CL1"
67,744,List the names of all left-footed players who have overall rating between 85 and 90.,select T2.player_name from Player_Attributes as T1 join Player as T2 on T1.player_fifa_api_id = T2.player_fifa_api_id where T1.overall_rating between 85 and 90,"SELECT DISTINCT T1.player_name FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id WHERE T2.preferred_foot  =  ""left"" AND T2.overall_rating  >=  85 AND T2.overall_rating  <=  90",zhengning,c91d35ae-1d88-4a18-a19d-3d9ba3a4614a,"CE2, A1b"
68,759,"Find all the policy type codes associated with the customer ""Dayana Robel""","select T1.Policy_Type_Code from Policies as T1 join Claim_Headers as T2 on T1.Policy_ID = T2.Policy_ID where T2.Claim_Type_Code = ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",zhengning,9f0aba5a-f751-488b-a57f-8cfa9f6e9d35,"CE3, BF4"
69,760,"What are the type codes of the policies used by the customer ""Dayana Robel""?","select Policy_Type_Code from Policies where Customer_ID = ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",zhengning,912e34fd-bd02-4798-bb5e-7df8f5efc76a,"CF5, D1, CE2"
70,763,"Find the names of customers whose name contains ""Diana"".","select Customer_Details from Customers where like ""% Diana %""","SELECT customer_details FROM customers WHERE customer_details LIKE ""%Diana%""",zhengning,9c872d09-6cf0-42fd-9633-23387b05c13e,P3
71,765,Find the names of the customers who have an deputy policy.,select Customer_ID from Policies where Policy_Type_Code = 'deputy',"SELECT DISTINCT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.policy_type_code  =  ""Deputy""",zhengning,6b4c9327-5cfb-4708-bf61-a17a1e0ab63e,"CE2, A1b"
72,775,"Show the unique first names, last names, and phone numbers for all customers with any account.","select customer_first_name , customer_last_name , phone_number from Customers","SELECT DISTINCT T1.customer_first_name ,  T1.customer_last_name ,  T1.phone_number FROM Customers AS T1 JOIN Accounts AS T2 ON T1.customer_id  =  T2.customer_id",zhengning,77d0056e-c4c5-486a-a4d8-506c41967fb4,"CE2, A1b"
73,790,"Return the average, minimum, maximum, and total transaction amounts.","select avg ( T1.transaction_amount ) , min ( T6.product_quantity ) , max ( T1.transaction_amount ) from Financial_Transactions as T1 join Accounts as T2 on T1.account_id = T2.account_id join Customers as T3 on T2.customer_id = T3.customer_id join Orders as T4 on T3.customer_id = T4.customer_id join Order_Items as T5 on T4.order_id = T5.order_id join Invoice_Line_Items as T6 on T5.order_item_id = T6.order_item_id","SELECT avg(transaction_amount) ,  min(transaction_amount) ,  max(transaction_amount) ,   sum(transaction_amount) FROM Financial_transactions",zhengning,acf86ba8-fa45-4a7b-bfc6-89466cdce9d1,"E1, CL1"
74,794,"Return the names and ids of each account, as well as the number of transactions.","select T1.account_name , T2.account_id , count ( * ) from Accounts as T1 join Financial_Transactions as T2 on T1.account_id = T2.account_id group by T1.account_name","SELECT T2.account_name ,  T1.account_id ,  count(*) FROM Financial_transactions AS T1 JOIN Accounts AS T2 ON T1.account_id  =  T2.account_id GROUP BY T1.account_id",zhengning,67b090b3-90d0-462d-a60a-e39e748a14fb,"BN1, CL1"
75,804,Return the order ids and details for orderes with two or more invoices.,"select T1.order_id , T2.order_details from Invoices as T1 join Orders as T2 on T1.order_id = T2.order_id group by T1.order_id having count ( * ) >= 2","SELECT T2.order_id ,  T2.order_details FROM Invoices AS T1 JOIN Orders AS T2 ON T1.order_id  =  T2.order_id GROUP BY T2.order_id HAVING count(*)  >  2",zhengning,50fa50aa-c662-4fdb-9043-316c81aceaad,"BK1, CL1"
76,809,Show the product ids and the number of unique orders containing each product.,"select T2.product_id , count ( T1.product_id ) from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id","SELECT product_id ,  count(DISTINCT order_id) FROM Order_items GROUP BY product_id",zhengning,261e811c-a9e1-4ace-84fe-6c6fabae0fc3,"E1, A1b, CL1"
77,810,How many distinct order ids correspond to each product?,"select count ( T2.product_id ) , T1.product_id from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id","SELECT product_id ,  count(DISTINCT order_id) FROM Order_items GROUP BY product_id",zhengning,50597a64-bd4a-456f-9c79-5fa239cb1cce,"E1, CL1"
78,811,Show order ids and the number of products in each order.,"select T2.order_id , count ( * ) from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T1.product_id","SELECT order_id ,  count(DISTINCT product_id) FROM Order_items GROUP BY order_id",zhengning,b44ee27e-beb8-449b-920c-4569782191bf,"E1, CL1, A1b"
79,812,How many different products correspond to each order id?,"select count ( T2.product_id ) , T1.product_id from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id","SELECT order_id ,  count(DISTINCT product_id) FROM Order_items GROUP BY order_id",zhengning,9bdecfe6-06f7-48ca-9705-f2f5f70b8d81,"E1, A1b, CL1"
80,863,What is the role of the employee named Koby?,"select role_code from Employees where employee_name = ""Koby""","SELECT T1.role_description FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code WHERE T2.employee_name = ""Koby"";",zhengning,0b33753d-7580-4a72-8abe-5896fe5e7ea1,"CL1, CE2"
81,866,List roles that have more than one employee. List the role description and number of employees.,"select role_description , count ( * ) from Roles group by role_description having count ( * ) > 1","SELECT Roles.role_description , count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING count(Employees.employee_id)  >  1;",zhengning,f26aa361-8d19-4c53-80d1-99ff4306500f,"O3, BL1, CE2"
82,867,What is the document status description of the document with id 1?,select document_status_description from Ref_Document_Status where document_status_code = 1,SELECT Ref_Document_Status.document_status_description FROM Ref_Document_Status JOIN Documents ON Documents.document_status_code = Ref_Document_Status.document_status_code WHERE Documents.document_id = 1;,zhengning,a86631ec-6c7b-4ff5-a103-afd3f2cc3d86,"BF4, CE2"
83,869,What is the name of the shipping agent of the document with id 2?,select shipping_agent_name from Ref_Shipping_Agents where shipping_agent_code = 2,SELECT Ref_Shipping_Agents.shipping_agent_name FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Documents.document_id = 2;,zhengning,efeaf07e-8d08-438a-8529-71a84faa7e6f,"CF5, CE2"
84,870,How many documents were shipped by USPS?,"select count ( * ) from Documents where shipping_agent_code = ""USPS""","SELECT count(*) FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Ref_Shipping_Agents.shipping_agent_name = ""USPS"";",zhengning,b7650679-da39-4c89-a8f7-06661d6cee3e,"CL1, CE2"
85,871,What address was the document with id 4 mailed to?,select mailed_to_address_id from Documents_Mailed where document_id = 4,SELECT Addresses.address_details FROM Addresses JOIN Documents_Mailed ON Documents_Mailed.mailed_to_address_id = Addresses.address_id WHERE document_id = 4;,zhengning,14cbddcb-3e31-4eed-979c-07828906bd84,"CL1, CE2"
86,874,"For each document, list the number of employees who have showed up in the circulation history of that document. List the document ids and number of employees.","select count ( * ) , T2.employee_id from Employees as T1 join Circulation_History as T2 on T1.employee_id = T2.employee_id group by T2.employee_id , count () >= 1","SELECT document_id ,  count(DISTINCT employee_id) FROM Circulation_History GROUP BY document_id;",zhengning,b399092f-d5db-4c22-bb06-2ec6ebf5ee96,"E1, CL1"
87,876,What are the ids and details of events that have more than one participants?,"select T3.Event_ID , T1.Participant_Details from Participants as T1 join Participants_in_Events as T2 on T1.Participant_ID = T2.Participant_ID join Events as T3 on T2.Event_ID = T3.Event_ID group by T2.Participant_ID having count ( * ) > 1","SELECT T1.event_id ,  T1.event_details FROM EVENTS AS T1 JOIN Participants_in_Events AS T2 ON T1.Event_ID  =  T2.Event_ID GROUP BY T1.Event_ID HAVING count(*)  >  1",zhengning,78d2c9cd-2209-4f1e-aec1-f2f9fb78e0e7,"BN1, BE5, BL1, CL1"
