record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,coder,duration,cur_id,batch_id,GT_sql
c9da76da-8852-4f87-b6f7-46fbc71c97f5,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,WHERE project_staff.role_code = 'researcher',"1, ignore the key word ""Not""",Miss a keyword,Zheng Z,720.949,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
bb34cb0a-bb6f-43ff-8602-e9a4e7f9aafe,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"WHERE project_staff.role_code = 'researcher', projects.project_id = project_staff.project_id",The result query didn't catch the negation and returns the project details of projects that hire staff in a researcher role instead.,Misunderstand the query; Miss a keyword,Zheng Z,6.946,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
07cd3641-37d2-4d77-adc6-3145d6a1ed7b,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,JOIN,"The SQL query gives an opposite answer, it actually queries ""projects which hire staff for researcher roles"".",keyword error: miss negation keywords,Zheng N,250.24,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
bb34cb0a-bb6f-43ff-8602-e9a4e7f9aafe,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"WHERE project_staff.role_code = 'researcher', projects.project_id = project_staff.project_id",The result query didn't catch the negation and returns the project details of projects that hire staff in a researcher role instead.,keyword error: miss negation keywords,Zheng N,6.946,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
43fe6397-5991-4649-93f7-b2799ca6bdc5,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"JOIN, project_staff, ON, projects.project_id = project_staff.project_id","The phrase of NL query is '...projects which did not hire any staff...'. The Ground truth query is correct which is '...WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff...)', however, the Hypothetical query,'... FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id ...', is incorrect.; The first type of error in Hypothetical query is incorrect representation because of a lack of negation.; The second type of error in Hypothetical query is inappropriate use of syntax because 'JOIN ...ON...' does not support negation and we should use 'NOT IN( SELECT ... FROM ...)'.",keyword error: miss negation keywords,Zheng N,1590.209,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
c9da76da-8852-4f87-b6f7-46fbc71c97f5,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,WHERE project_staff.role_code = 'researcher',"1, ignore the key word ""Not""",keyword error: miss negation keywords,Zheng N,720.949,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
6af39e05-6ffe-44be-bd00-6cea7df72725,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games",the model failed to understand the column of interest and returns the number of students and the student id instead; the model uses the wrong table,Misunderstand column; refer to incorrect column,Tianyi,77.397,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
586c3ee8-a8b9-465b-9e75-e00e4b21773c,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
 2, didn't understand the meaning of a column, here it is ""how many games"" not ""how many students""",Refer to incorrect table; Misunderstand the NLQ.,Tianyi,97.082,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
17db26fa-b2c6-4cb4-8bbd-f125bf1c45ca,d2cb25e4-9d32-46a8-9c5b-8c885d330032,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",Refer to incorrect table and column; Misunderstand the NLQ.,Tianyi,6.904,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
083648b7-309e-494b-a65c-f23938a5529e,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid","Return a redundant column ""stuid"".",Return redundant column,Tianyi,156.966,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
083648b7-309e-494b-a65c-f23938a5529e,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid","Return a redundant column ""stuid"".",Return a redundant column; Return a wrong column;,Toby,156.966,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
44ed974d-1e31-4858-90d1-02ef847715a9,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"SELECT, COUNT( * ) , plays_games.stuid, FROM, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",Refer to a wrong table; Refer to a wrong column; Misunderstand instruction,Toby,2213.004,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
a58284f0-43dc-4a16-b65d-0cf5a5f09e9e,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
 2, didn't understand the meaning of ""how many games""",Refer to a wrong table,Toby,137.111,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
6af39e05-6ffe-44be-bd00-6cea7df72725,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games",the model failed to understand the column of interest and returns the number of students and the student id instead; the model uses the wrong table,Refer to a wrong table; Refer to a wrong column;,Toby,77.397,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
083648b7-309e-494b-a65c-f23938a5529e,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid","Return a redundant column ""stuid"".",Returned a needless attribute; Inappropriate use of table,Zheng Z,156.966,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
44ed974d-1e31-4858-90d1-02ef847715a9,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"SELECT, COUNT( * ) , plays_games.stuid, FROM, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",misunderstand the query; inapporpriate use of table; inappropriate use of attribute,Zheng Z,2213.004,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
a58284f0-43dc-4a16-b65d-0cf5a5f09e9e,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
 2, didn't understand the meaning of ""how many games""",Inappropriate use of table; misunderstand the query,Zheng Z,137.111,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
6af39e05-6ffe-44be-bd00-6cea7df72725,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games",the model failed to understand the column of interest and returns the number of students and the student id instead; the model uses the wrong table,Inappropriate returned attribute; Inappropriate use of table,Zheng Z,77.397,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
586c3ee8-a8b9-465b-9e75-e00e4b21773c,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
 2, didn't understand the meaning of a column, here it is ""how many games"" not ""how many students""",fail to understand the query; table error: select a wrong table,Zheng N,97.082,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
083648b7-309e-494b-a65c-f23938a5529e,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid","Return a redundant column ""stuid"".",column error: select redundant columns,Zheng N,156.966,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
44ed974d-1e31-4858-90d1-02ef847715a9,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"SELECT, COUNT( * ) , plays_games.stuid, FROM, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",fail to understand the query; table error: select a wrong table,Zheng N,2213.004,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
6af39e05-6ffe-44be-bd00-6cea7df72725,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games",the model failed to understand the column of interest and returns the number of students and the student id instead; the model uses the wrong table,fail to understand the query; table error: select a wrong table,Zheng N,77.397,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
17db26fa-b2c6-4cb4-8bbd-f125bf1c45ca,d2cb25e4-9d32-46a8-9c5b-8c885d330032,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",fail to understand the query; table error: select a wrong table,Zheng N,6.904,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
a58284f0-43dc-4a16-b65d-0cf5a5f09e9e,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
 2, didn't understand the meaning of ""how many games""",fail to understand the query; table error: select a wrong table,Zheng N,137.111,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
02cb1d7d-139d-441f-a721-6ca87e9b5444,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,the result query did not order the result by year descending,Miss sorting,Tianyi,107.19,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
f66a55a0-bf2e-4248-b9fa-33ff33b5ef68,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"1, ignore key word: ""order by"";",Miss sorting.,Tianyi,684.231,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
0795597b-ab78-4837-8bab-46e8e2de4b04,7644ed70-1947-4cb1-82f8-5a54d5867b29,tianyi,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"The Result is incorrect. Based on the MARKET and FILM_MARKET_ESTIMATION tables, the Result should be '1978 1945' instead of '1945 1978 2000 1994'.; The reason is that the Hypothetical query is missing condition 'ORDER BY T1.Year DESC'.",Miss sorting.,Tianyi,231.119,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
8f8b86db-8ace-4668-8794-357389deecea,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"Miss the ""descending order"" clause.",Miss sorting.,Tianyi,90.156,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
8f8b86db-8ace-4668-8794-357389deecea,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"Miss the ""descending order"" clause.",Miss a keyword; Sorting Error;,Toby,90.156,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
0795597b-ab78-4837-8bab-46e8e2de4b04,7644ed70-1947-4cb1-82f8-5a54d5867b29,tianyi,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"The Result is incorrect. Based on the MARKET and FILM_MARKET_ESTIMATION tables, the Result should be '1978 1945' instead of '1945 1978 2000 1994'.; The reason is that the Hypothetical query is missing condition 'ORDER BY T1.Year DESC'.",Miss a keyword; Sorting Error;,Toby,231.119,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
f66a55a0-bf2e-4248-b9fa-33ff33b5ef68,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"1, ignore key word: ""order by"";",Miss a keyword; Sorting Error;,Toby,684.231,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
02cb1d7d-139d-441f-a721-6ca87e9b5444,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,the result query did not order the result by year descending,Miss a keyword; Sorting Error;,Toby,107.19,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
8f8b86db-8ace-4668-8794-357389deecea,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"Miss the ""descending order"" clause.",Miss a keyword (ORDER BY … DESC),Zheng Z,90.156,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
0795597b-ab78-4837-8bab-46e8e2de4b04,7644ed70-1947-4cb1-82f8-5a54d5867b29,tianyi,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"The Result is incorrect. Based on the MARKET and FILM_MARKET_ESTIMATION tables, the Result should be '1978 1945' instead of '1945 1978 2000 1994'.; The reason is that the Hypothetical query is missing condition 'ORDER BY T1.Year DESC'.",Miss a keyword (ORDER BY … DESC),Zheng Z,231.119,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
f66a55a0-bf2e-4248-b9fa-33ff33b5ef68,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"1, ignore key word: ""order by"";",Miss a keyword (ORDER BY … DESC),Zheng Z,684.231,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
02cb1d7d-139d-441f-a721-6ca87e9b5444,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,the result query did not order the result by year descending,Miss a keyword (ORDER BY),Zheng Z,107.19,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
f66a55a0-bf2e-4248-b9fa-33ff33b5ef68,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"1, ignore key word: ""order by"";",miss ORDER BY,Zheng N,684.231,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
