,sql,nl_query,Unnamed: 0,sql_id,record_id,session_id,coder,sql_id.1,GT_sql,username,code_ning,code_tianyi
78,"SELECT COUNT( * ) , block.blockfloor FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockfloor",How many rooms does each block floor have?,19,119,445aff06-c9a5-4778-8e58-5b8e9565ec41,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1187,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor",tianyi,F2,F2
82,"SELECT medicine.id , medicine.name FROM medicine_enzyme_interaction JOIN medicine ON medicine_enzyme_interaction.medicine_id = medicine.id HAVING COUNT( * ) >= 4","For every medicine id, what are the names of the medicines that can interact with more than one enzyme?",20,120,f084f018-f9c5-4420-bccf-914d8d0b9d2f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,763,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2",tianyi,"O3, AN2","O3, AN2"
86,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.league_id_loser = team.div_id WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,How many times did Boston Red Stockings lose in 2009 postseason?,21,121,1ac50d74-54b2-4f8a-bf68-e293e216a603,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1138,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year = 2009;,tianyi,"BF4, BE5",BE5
90,"SELECT MAX( stadium.capacity ) , AVG( stadium.average ) FROM stadium",What is the maximum capacity and the average of all stadiums ?,22,122,a26dddaa-c27b-41e3-87e6-fbe4f19cec7c,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1719,"select max(capacity), average from stadium",tianyi,L5,L4
94,"SELECT song.artist_name , COUNT( * ) FROM song WHERE song.languages = 'English' GROUP BY artist.artist_name",What are the names and number of works for all artists who have sung at least one song in English?,23,123,b8c986c4-6aed-44c7-b4c3-2db941dab14b,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2014,"SELECT T1.artist_name ,  count(*) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.languages  =  ""english"" GROUP BY T2.artist_name HAVING count(*)  >=  1",tianyi,"D1a, AO","D1a, A1f"
98,SELECT COUNT( DISTINCT has_amenity.amenid ) FROM has_amenity,Find the number of distinct amenities.,24,124,4c1aeacf-ce69-4fe0-8b38-45ebe5b39754,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,486,SELECT count(*) FROM dorm_amenity,tianyi,CL1,CL1
102,"SELECT artist.artist_name , artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.song_name = 'love'","What is the name and country of origin of the artist who released a song that has ""love"" in its title?",25,125,aedba491-c6cc-49a1-9fde-e3879e366cb5,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1997,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%""",tianyi,D1c,DF2
106,"SELECT artist.name , album.artistid FROM album JOIN artist ON album.artistid = artist.artistid GROUP BY album.artistid HAVING COUNT( * ) >= 3",Please list the name and id of all artists that have at least 3 albums in alphabetical order.,26,126,119a0757-7dce-4b56-a0f3-827b20e8ba65,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1821,"SELECT T2.Name ,  T1.ArtistId FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistID GROUP BY T1.ArtistId HAVING COUNT(*)  >=  3 ORDER BY T2.Name",tianyi,KA1b,KA1b
116,SELECT physician.name FROM physician WHERE physician.employeeid NOT IN (SELECT appointment.physician FROM appointment),Which physicians have never taken any appointment? Find their names.,28,127,e9285c41-b5d5-4cbe-857c-6e3d2a3ccd45,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2050,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,tianyi,F4,F4
120,"SELECT tv_channel.package_option , tv_channel.series_name FROM tv_channel WHERE tv_channel.hight_definition_tv = 1",Find the package choice and series name of the TV channel that has high definition TV.,29,128,579d93f4-7be3-4ee0-96cc-31eebafeee0f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1803,"SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""",tianyi,D1,DF2
124,SELECT tv_channel.package_option FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.directed_by != 'Ben Jones',What are the package options of all tv channels that are not playing any cartoons directed by Ben Jones?,30,129,3022b3d0-d104-4b6c-aa13-d39373207fb8,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2408,SELECT package_option FROM TV_Channel WHERE id NOT IN (SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'),tianyi,"A1, D1","A1, D1"
128,"SELECT addresses.town_city , addresses.state_province_county FROM addresses",What are the names of all cities and states?,31,130,9fe616ad-1b36-4d04-b71f-5c95228fd0df,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2313,SELECT town_city FROM addresses UNION SELECT state_province_county FROM addresses,tianyi,A1e,A1e
132,SELECT customer.lastname FROM customer JOIN invoice ON customer.customerid = invoice.customerid WHERE invoice.total > 20,What are the last names of customers without invoice totals exceeding 20?,32,131,45029eb8-6f32-42cb-85a8-773937955d65,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1818,SELECT LastName FROM CUSTOMER EXCEPT SELECT T1.LastName FROM CUSTOMER AS T1 JOIN Invoice AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T2.total  >  20,tianyi,A1d,A1d
136,"SELECT train.name , train.time FROM route JOIN train ON route.train_id = train.id JOIN route ON station.id = route.station_id WHERE station.local_authority = 'Chiltern'",Find names and times of trains that run through stations for the local authority Chiltern.,33,132,947933f5-2a1f-4ad6-97ba-ec2b5030f98b,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1968,"SELECT t3.name ,  t3.time FROM station AS t1 JOIN route AS t2 ON t1.id  =  t2.station_id JOIN train AS t3 ON t2.train_id  =  t3.id WHERE t1.local_authority  =  ""Chiltern""",tianyi,,
140,SELECT staff.date_of_birth FROM staff WHERE staff.nickname = 'Janessa Sawayn',What is the date of birth for the staff member named Janessa Sawayn?,34,133,812802f9-a2c0-4128-9a37-a1e760b5fd06,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1596,"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",tianyi,"BF4, F4",D1c
144,"SELECT documents.document_name , documents.document_description , documents.document_date FROM documents JOIN ref_document_types ON documents.document_type_code = ref_document_types.document_type_code","Return the type name, type description, and date of creation for each document.",35,134,33c02072-18b2-48fd-81d8-74715072e5e5,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1567,"SELECT T1.document_type_name ,  T1.document_type_description ,  T2.Document_date FROM Ref_document_types AS T1 JOIN Documents AS T2 ON T1.document_type_code  =  T2.document_type_code",tianyi,CL1,CL1
148,"SELECT college.state FROM college, tryout WHERE college.state = (SELECT college.state , COUNT( * ) FROM college JOIN tryout ON college.cname = tryout.cname WHERE tryout.ppos = 'goalies')",What is the count of states with college students playing in the mid position but not as goalies?,36,135,51ce689f-7206-42be-a0f1-43e7263da706,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,448,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),tianyi,"D1b, F4, A1d","D1b, F4, A1d"
152,SELECT COUNT( * ) FROM genre JOIN track ON genre.genreid = track.genreid WHERE genre.name = 'rock',How many tracks belong to rock genre?,37,136,67958b99-8136-48a3-9998-215118593cbc,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,730,"SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",tianyi,D1a,D1a
156,"SELECT products.product_color , COUNT( * ) FROM order_items JOIN products ON order_items.product_id = products.product_id GROUP BY order_items.product_id","What are teh names of the different products, as well as the number of customers who have ordered each product.",38,137,9cb8a395-9b9d-4e82-bc8d-2c1f8138739a,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1869,"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name",tianyi,"BL2, CE2, BN1","CE2, BN1"
160,"SELECT AVG( song.rating ) , AVG( song.resolution ) FROM song WHERE song.languages = 'Bangla'",What are the average rating and resolution of songs that are in Bangla?,39,138,5a19f852-c2e4-44a3-9069-90bacf376ccb,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1118,"SELECT avg(rating) ,  avg(resolution) FROM song WHERE languages  =  ""bangla""",tianyi,D1a,D1a
164,SELECT SUM( salary.salary ) FROM salary JOIN player ON salary.player_id = player.player_id WHERE player.name_first = 'Len and last name Barker' AND player.name_last = 'Len and last name Barker' AND salary.salary BETWEEN 1985 and 1990,How much did the the player with first name Len and last name Barker earn between 1985 to 1990 in total?,40,139,4ce3eaa4-a031-440e-b6d0-b3a3b8299d14,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1152,SELECT sum(T1.salary) FROM salary AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T2.name_first  =  'Len' AND T2.name_last = 'Barker' AND T1.year BETWEEN 1985 AND 1990;,tianyi,"D1, BF4","DF2, BF4"
168,"SELECT ref_budget_codes.budget_type_code , COUNT( * ) FROM ref_budget_codes GROUP BY ref_budget_codes.budget_type_code",Show budget type codes and the number of documents in each budget type.,41,140,6237482a-c802-4b9a-8cbd-45b993d497aa,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1580,"SELECT budget_type_code ,  count(*) FROM Documents_with_expenses GROUP BY budget_type_code",tianyi,CL1,CL1
172,SELECT AVG( song.rating ) FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = 'female',"How many songs, on average, are sung by a female artist?",42,141,4a258ee0-5361-43ef-8874-acc0b8627ec6,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1101,"SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""",tianyi,D1a,D1a
176,SELECT college.state FROM college JOIN tryout ON college.cname = tryout.cname WHERE tryout.ppos = 'mid' EXCEPT SELECT college.state FROM college JOIN tryout ON college.cname = tryout.cname WHERE tryout.ppos = 'goalie',How many states that have some college students playing in the mid position but not in the goalie position.,43,142,c9776596-bdc9-4416-b66f-3195465c77b0,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,447,SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),tianyi,L5,L5
180,SELECT products.parent_product_id FROM products WHERE products.product_id NOT IN (SELECT order_items.product_id FROM order_items),What are the names of products that have never been ordered?,44,143,6442180f-48de-485c-8f32-f2648af35941,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1867,SELECT product_name FROM Products EXCEPT SELECT T1.product_name FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id,tianyi,BL1,BL1
184,SELECT COUNT( DISTINCT airports.name ) FROM airlines JOIN routes ON airlines.alid = routes.alid JOIN airports ON routes.alid = airports.apid WHERE airlines.name = 'American Airlines',Find the number of different airports which are the destinations of the American Airlines.,45,144,587abeb0-999b-42eb-98e5-ccd37ff07782,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1665,SELECT count(DISTINCT dst_apid) FROM airlines AS T1 JOIN routes AS T2 ON T1.alid  =  T2.alid WHERE T1.name  =  'American Airlines',tianyi,"E1, BL1","BL1, E1"
188,"SELECT products.product_color , SUM( order_items.product_quantity ) FROM order_items JOIN products ON order_items.product_id = products.product_id GROUP BY products.product_color","What are the different product names, and what is the sum of quantity ordered for each product?",46,145,d430784a-89df-447f-b65d-f9abd590968f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,862,"SELECT T2.product_name ,  sum(T1.product_quantity) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id GROUP BY T2.product_name",tianyi,"BL1, BN1","BL1, BN1"
192,SELECT projects.project_details FROM projects GROUP BY projects.organisation_id ORDER BY COUNT( * ) DESC LIMIT 1,What are the details for the projects which were launched by the organization with the most projects?,47,146,0da4fa40-256e-4bed-978e-8b9fe8bef18d,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2162,SELECT project_details FROM Projects WHERE organisation_id IN ( SELECT organisation_id FROM Projects GROUP BY organisation_id ORDER BY count(*) DESC LIMIT 1 ),tianyi,F4,F4
