,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengn,zhengn_code
108,"SELECT draft_copies.document_id , COUNT( * ) FROM draft_copies GROUP BY draft_copies.document_id ORDER BY COUNT( * ) DESC LIMIT 1",Which document has the most draft copies? List its document id and number of draft copies.,"SELECT document_id , count(copy_number) FROM Draft_Copies GROUP BY document_id ORDER BY count(copy_number) DESC LIMIT 1;",tianyi,,zhengning,
123,SELECT AVG( customer.credit_score ) FROM customer JOIN loan ON customer.cust_id = loan.cust_id,What is the average credit score for customers who have taken a loan?,SELECT avg(credit_score) FROM customer WHERE cust_id IN (SELECT cust_id FROM loan),tianyi,,zhengning,
138,SELECT addresses.city FROM addresses JOIN staff ON addresses.address_id = staff.staff_address_id WHERE customers.first_name = 'Janessa' AND customers.last_name = 'Sawayn',In what city does Janessa Sawayn live?,"SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",tianyi,,zhengning,
152,SELECT customers.customer_name FROM customers JOIN orders ON customers.customer_id = orders.customer_id WHERE orders.date_order_placed >= 2009-01-01 AND orders.date_order_placed <= 2010-01-01,Give me the names of customers who have placed orders between 2009-01-01 and 2010-01-01.,"SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.date_order_placed >= ""2009-01-01"" AND T2.date_order_placed <= ""2010-01-01""",tianyi,DF2,zhengning,DF2
181,SELECT staff.first_name FROM staff WHERE staff.staff_id NOT IN (SELECT lessons.staff_id FROM lessons),What is the first name of the staff who did not give any lesson?,SELECT first_name FROM Staff EXCEPT SELECT T2.first_name FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id  =  T2.staff_id,tianyi,,zhengning,
184,SELECT countries.countryname FROM countries WHERE countries.countryid NOT IN (SELECT car_makers.country FROM car_makers),What are the names of the countries with no car makers?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,tianyi,,zhengning,
189,"SELECT COUNT( * ) , block.blockfloor FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockfloor",Find the number of rooms located on each block floor.,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor",tianyi,"BL2, G1",zhengning,"BL2, G1"
196,SELECT DISTINCT student.fname FROM enrolled_in JOIN student ON enrolled_in.stuid = student.stuid WHERE gradeconversion.gradepoint >= 3.8 GROUP BY enrolled_in.stuid HAVING COUNT( * ) >= 3,What are the distinct first names for students with a grade point of 3.8 or above in at least one course?,SELECT DISTINCT T3.Fname FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T2.gradepoint  >=  3.8,tianyi,"CE2, O2, N3",zhengning,"CE2, O2, N3"
215,"SELECT MIN( tv_series.share ) , MAX( tv_series.share ) FROM tv_series",What is minimum and maximum share of TV series?,"SELECT max(SHARE) , min(SHARE) FROM TV_series;",tianyi,,zhengning,
216,"SELECT train.time , train.train_number FROM train WHERE train.destination = 'Chennai,' ORDER BY train.time ASC","Give me the times and numbers of all trains that go to Chennai, ordered by time.","SELECT TIME ,  train_number FROM train WHERE destination  =  'Chennai' ORDER BY TIME",tianyi,D1c,zhengning,D1c
236,"SELECT company.name , people.name FROM employment JOIN people ON employment.people_id = people.people_id JOIN company ON employment.company_id = company.company_id ORDER BY employment.year_working DESC",Show names of companies and that of employees in descending order of number of years working for that employee.,"SELECT T3.Name ,  T2.Name FROM employment AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID JOIN company AS T3 ON T1.Company_ID  =  T3.Company_ID ORDER BY T1.Year_working",tianyi,K2,zhengning,K2
238,SELECT customers.state FROM customers GROUP BY customers.state ORDER BY COUNT( * ) DESC LIMIT 1,Give the state that has the most customers.,SELECT state FROM customers GROUP BY state ORDER BY count(*) LIMIT 1,tianyi,K2,zhengning,K2
239,SELECT plays_games.stuid FROM plays_games INTERSECT SELECT sportsinfo.sportname FROM sportsinfo,Show ids of students who play video game and play sports.,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games,tianyi,,zhengning,
242,SELECT DISTINCT student.fname FROM student JOIN enrolled_in ON student.stuid = enrolled_in.stuid JOIN gradeconversion ON gradeconversion.lettergrade = enrolled_in.stuid WHERE gradeconversion.gradepoint >= 3.8 GROUP BY enrolled_in.stuid,Find the distinct student first names of all students that have grade point at least 3.8 in one course.,SELECT DISTINCT T3.Fname FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T2.gradepoint  >=  3.8,tianyi,N3,zhengning,N3
246,SELECT countries.countryname FROM countries WHERE countries.countryid NOT IN (SELECT car_makers.country FROM car_makers),What are the name of the countries where there is not a single car maker?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,tianyi,,zhengning,
255,SELECT customers.customer_details FROM customers WHERE customers.customer_id NOT IN (SELECT policies.customer_id FROM policies),What are the names of customers who do not have any policies?,SELECT customer_details FROM customers EXCEPT SELECT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id,tianyi,,zhengning,
257,SELECT student.stuid FROM student WHERE student.stuid NOT IN (SELECT sportsinfo.stuid FROM plays_games UNION SELECT plays_games.stuid FROM plays_games),What are the ids of all students who are not video game players?,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Plays_games,tianyi,A2b,zhengning,A2b
265,SELECT tv_channel.package_option FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.directed_by != 'Ben Jones',find the package option of the tv channel that do not have any cartoon directed by Ben Jones.,SELECT package_option FROM TV_Channel WHERE id NOT IN (SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'),tianyi,,zhengning,
266,SELECT DISTINCT products.product_id FROM order_items JOIN orders ON order_items.order_id = orders.order_id WHERE orders.date_order_placed >= '1975-01-01' AND orders.date_order_placed <= '1976-01-01',What are the distinct ids of products ordered between 1975-01-01 and 1976-01-01??,"SELECT DISTINCT T2.product_id FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id = T2.order_id WHERE T1.date_order_placed >= ""1975-01-01"" AND T1.date_order_placed <= ""1976-01-01""",tianyi,CL1,zhengning,CL1
267,SELECT COUNT( * ) FROM train_station,How many train stations are there?,SELECT count(*) FROM station,tianyi,CL1,zhengning,CL1
268,SELECT COUNT( DISTINCT airports.city ) FROM airports HAVING COUNT( * ) > 3,How many cities are there that have more than 3 airports?,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,AN2,zhengning,AN2
269,"SELECT COUNT( * ) , airports.name FROM airports JOIN routes ON airports.apid = routes.src_apid GROUP BY airports.name ORDER BY COUNT( * ) DESC LIMIT 1","For each  airport name, how many routes start at that airport, ordered from most to least?","SELECT count(*) ,  T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid  =  T2.src_apid GROUP BY T1.name ORDER BY count(*) DESC",tianyi,Q1,zhengning,Q1
270,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"Please list the years of film market estimations when the market is in country ""Japan"" in descending order.","SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC",tianyi,KA1b,zhengning,KA1b
271,SELECT sportsinfo.stuid FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE sportsinfo.onscholarship = 'y' AND sportsinfo.onscholarship = 'y' AND student.major = 600,What are the student ids for those on scholarship in major number 600?,SELECT StuID FROM Student WHERE major  =  600 INTERSECT SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',tianyi,"BL3, F3, A1g",zhengning,"BL3, F3, A1g"
272,"SELECT physician.name , affiliated_with.department FROM affiliated_with JOIN physician ON affiliated_with.physician = physician.employeeid WHERE affiliated_with.primaryaffiliation = 2",What are the name and primarily affiliated department name of each physician?,"SELECT T1.name ,  T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T2.PrimaryAffiliation  =  1",tianyi,"CL1, CE3",zhengning,"CL1, CE3"
273,SELECT COUNT( * ) FROM airports WHERE airports.name LIKE '%Interanation%',How many airports' names have the word Interanation in them?,SELECT count(*) FROM airports WHERE name LIKE '%International%',tianyi,D1c,zhengning,D1c
274,SELECT SUM( salary.salary ) FROM salary WHERE salary.year = 2001 ORDER BY salary.salary DESC LIMIT 3,How much salary did the top 3 well-paid players get in 2001?,SELECT salary FROM salary WHERE YEAR  =  2001 ORDER BY salary DESC LIMIT 3;,tianyi,L4,zhengning,L4
275,SELECT DISTINCT products.product_color FROM products,What are the different product sizes?,SELECT DISTINCT product_size FROM Products,tianyi,BL1,zhengning,BL1
276,"SELECT student.fname , student.lname FROM club JOIN member_of_club ON club.clubid = member_of_club.clubid JOIN student ON member_of_club.stuid = student.stuid WHERE club.clubdesc = 'CTO' AND club.clubname = 'Hopkins Student Enterprises'","Find the first name and last name for the ""CTO"" of the club ""Hopkins Student Enterprises""?","SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Hopkins Student Enterprises"" AND t2.position  =  ""CTO""",tianyi,BF4,zhengning,BF4
277,SELECT countries.countryid FROM car_makers GROUP BY car_makers.country HAVING COUNT( car_makers.id ) >= 4,How many countries has more than 2 car makers ?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,tianyi,"L5, CE2, L4, DF2",zhengning,"L5, CE2, L4, DF2"
278,SELECT COUNT( * ) FROM student JOIN lives_in ON student.stuid = lives_in.stuid JOIN dorm ON dorm.dormid = lives_in.dormid WHERE dorm.gender = 'm',What are the total number of students who are living in a male dorm?,SELECT count(*) FROM student AS T1 JOIN lives_in AS T2 ON T1.stuid  =  T2.stuid JOIN dorm AS T3 ON T3.dormid  =  T2.dormid WHERE T3.gender  =  'M',tianyi,D1a,zhengning,D1a
279,"SELECT shop.name , COUNT( * ) FROM hiring JOIN shop ON hiring.shop_id = shop.shop_id GROUP BY shop.shop_id",Find the number of employees hired in each shop; show the shop name as well.,"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",tianyi,BN1,zhengning,BN1
280,SELECT artist.name FROM artist WHERE artist.artistid NOT IN (SELECT album.artistid FROM album),What are the names of artists who have not released any albums?,SELECT Name FROM ARTIST EXCEPT SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId,tianyi,BF4,zhengning,BF4
281,"SELECT medicine.name , medicine.trade_name FROM medicine WHERE medicine.fda_approved = 'yes'",What are the names and trade names of the medcines that are FDA approved?,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'",tianyi,D1a,zhengning,D1a
282,SELECT SUM( salary.salary ) FROM salary WHERE salary.year = 2001 AND salary.salary <= 2010,List all the salary values players received in 2010 and 2001.,SELECT salary FROM salary WHERE YEAR  =  2010 UNION SELECT salary FROM salary WHERE YEAR  =  2001,tianyi,"A1e, BF4",zhengning,"A1e, BF4"
283,SELECT player_attributes.overall_rating FROM player_attributes ORDER BY player_attributes.overall_rating DESC LIMIT 3,Who are the top 3 players in terms of overall rating?,SELECT DISTINCT T1.player_name FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id  =  T2.player_api_id ORDER BY overall_rating DESC LIMIT 3,tianyi,"A2a, BL1, CE2",zhengning,"A2a, BL1, CE2"
284,SELECT AVG( track.name ) FROM genre JOIN track ON genre.genreid = track.genreid WHERE genre.name = 'Pop',Find the average millisecond length of Latin and Pop tracks.,"SELECT AVG(Milliseconds) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Latin"" OR T1.Name  =  ""Pop""",tianyi,"F4, BL1",zhengning,"F4, BL1"
285,SELECT competition.country FROM competition EXCEPT SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly',What are the countries that have never participated in any friendly-type competitions?,SELECT country FROM competition EXCEPT SELECT country FROM competition WHERE competition_type  =  'Friendly',tianyi,D1a,zhengning,D1a
286,SELECT COUNT( * ) FROM staff JOIN addresses ON staff.staff_address_id = addresses.address_id WHERE addresses.state_province_county = 'Georgia',How many employees live in Georgia?,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",tianyi,"CL1, E1",zhengning,"CL1, E1"
287,"SELECT payments.customer_id , MAX( payments.amount_paid ) FROM payments GROUP BY payments.customer_id",What is the maximum total amount paid by a customer? List the customer id and amount.,"SELECT customer_id ,  sum(amount_paid) FROM Payments GROUP BY customer_id ORDER BY sum(amount_paid) DESC LIMIT 1",tianyi,"L4, KA1b",zhengning,"L4, KA1b"
288,"SELECT camera_lens.name , COUNT( * ) FROM photos JOIN camera_lens ON photos.camera_lens_id = camera_lens.id GROUP BY photos.camera_lens_id",What is the name of each camera lens and the number of photos taken by it? Order the result by the count of photos.,"SELECT T1.name ,  count(*) FROM camera_lens AS T1 JOIN photos AS T2 ON T1.id  =  T2.camera_lens_id GROUP BY T1.id ORDER BY count(*)",tianyi,"CL1, CE3, KA1b",zhengning,"CL1, CE3, KA1b"
289,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.physician JOIN physician ON trained_in.physician = physician.employeeid WHERE physician.name = 'John Wen' OR procedures.cost > 1000,Find all procedures which cost more than 1000 or which physician John Wen was trained in.,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",tianyi,"A1e, BL3",zhengning,"A1e, BL3"
290,SELECT song.song_name FROM song WHERE song.genre_is = 'modern' OR song.languages = 'English',What are the names of the songs that are modern or sung in English?,"SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english""",tianyi,D1a,zhengning,D1a
291,SELECT customers.customer_name FROM customers JOIN orders ON customers.customer_id = orders.customer_id GROUP BY orders.customer_id HAVING COUNT( * ) >= 2,What are the names of the customers who have made two or less orders?,SELECT T2.customer_name FROM orders AS T1 JOIN customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T2.customer_id HAVING count(*)  <=  2,tianyi,"F1, BN1",zhengning,"F1, BN1"
292,SELECT COUNT( DISTINCT addresses.town_city ) FROM addresses WHERE addresses.state_province_county = 'Colorado',"How many cities are there in state ""Colorado""?","SELECT count(*) FROM addresses WHERE state_province_county  =  ""Colorado""",tianyi,BL1,zhengning,BL1
293,SELECT endowment.donator_name FROM endowment WHERE endowment.amount<9,Show the names of all the donors except those whose donation amount less than 9.,SELECT donator_name FROM endowment EXCEPT SELECT donator_name FROM endowment WHERE amount  <  9,tianyi,A1d,zhengning,A1d
294,SELECT COUNT( * ) FROM genre JOIN track ON genre.genreid = track.genreid WHERE genre.name = 'rock',Count the number of tracks that are part of the rock genre.,"SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",tianyi,D1a,zhengning,D1a
295,"SELECT COUNT( * ) , dorm.dormid FROM dorm JOIN has_amenity ON dorm.dormid = has_amenity.dormid GROUP BY dorm.dormid","For each dorm, how many amenities does it have?","SELECT count(*) ,  T1.dormid FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid WHERE T1.student_capacity  >  100 GROUP BY T1.dormid",tianyi,F4,zhengning,F4
296,SELECT customers.customer_name FROM customers JOIN mailshot_customers ON customers.customer_id = mailshot_customers.customer_id GROUP BY mailshot_customers.customer_id HAVING COUNT( * ) >= 2,Show the names of customers who have at least 2 mailshots with outcome code 'Order'.,SELECT T2.customer_name FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE outcome_code  =  'Order' GROUP BY T1.customer_id HAVING count(*)  >=  2,tianyi,F4,zhengning,F4
297,SELECT company.headquarters FROM company WHERE company.industry = 'banking' INTERSECT SELECT company.headquarters FROM company WHERE company.industry = 'oil and gas',Show the headquarters that have both companies in banking industry and companies in oil and gas industry.,"SELECT Headquarters FROM company WHERE Industry  =  ""Banking"" INTERSECT SELECT Headquarters FROM company WHERE Industry  =  ""Oil and gas""",tianyi,"D1, D1a",zhengning,"D1, D1a"
298,SELECT catalog_contents.catalog_entry_name FROM catalog_contents WHERE catalog_contents.product_stock_number LIKE '%2%',"Find the names of all the products whose stock number starts with ""2"".","SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,D1c,zhengning,D1c
299,SELECT COUNT( * ) FROM model_list JOIN car_makers ON model_list.maker = car_makers.id WHERE car_makers.country = 'usa',How many car models are produced in the usa?,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,tianyi,CE2,zhengning,CE2
300,"SELECT SUM( checking.balance ) FROM checking ORDER BY checking.balance , savings.balance ASC","What is the sum of checking and savings balances for all customers, ordered by the total balance?",SELECT T1.balance + T2.balance FROM checking AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid ORDER BY T1.balance + T2.balance,tianyi,"L4, CE2, K3",zhengning,"L4, CE2, K3"
301,SELECT COUNT( * ) FROM home_game JOIN park ON home_game.park_id = park.park_id WHERE home_game.attendance = 2000 AND park.city = 'Atlanta',Find the number of games taken place in city Atlanta in 2000.,SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id  =  T2.park_id WHERE T1.year  =  2000 AND T2.city  =  'Atlanta';,tianyi,BF4,zhengning,BF4
302,SELECT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.country = 'UK' AND song.languages = 'English',Find the names of the artists who are from UK and have produced English songs.,"SELECT artist_name FROM artist WHERE country  =  ""UK"" INTERSECT SELECT artist_name FROM song WHERE languages  =  ""english""",tianyi,"A1g, D1a",zhengning,"A1g, D1a"
303,"SELECT faculty.fname , faculty.lname FROM faculty WHERE faculty.sex = 'm' AND faculty.building = 'NEB'",Find the first names and last names of male (sex is M) faculties who live in building NEB.,"SELECT Fname ,  Lname FROM FACULTY WHERE sex  =  ""M"" AND Building  =  ""NEB""",tianyi,D1a,zhengning,D1a
304,SELECT COUNT( * ) FROM sportsinfo,How many students play sports?,SELECT count(DISTINCT StuID) FROM Sportsinfo,tianyi,BL1,zhengning,BL1
305,"SELECT medicine.id , medicine.name , COUNT( * ) FROM medicine_enzyme_interaction JOIN medicine ON medicine_enzyme_interaction.medicine_id = medicine.id GROUP BY medicine.id ORDER BY COUNT( * ) DESC","What are the ids, names, and FDA approval status for medicines ordered by descending number of possible enzyme interactions?","SELECT T1.id ,  T1.Name ,  T1.FDA_approved FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id ORDER BY count(*) DESC",tianyi,"BL3, L4",zhengning,"BL3, L4"
306,SELECT college.country FROM college WHERE college.city = 'Yale University',What is the average height of the players from the college named 'Yale University'?,SELECT avg(T1.height) FROM player AS T1 JOIN player_college AS T2 ON T1.player_id  =  T2.player_id JOIN college AS T3 ON T3.college_id  =  T2.college_id WHERE T3.name_full  =  'Yale University';,tianyi,"CE2, CM6, L4",zhengning,"CE2, CM6, L4"
307,SELECT documents.document_id FROM documents JOIN documents_with_expenses ON documents.document_id = documents_with_expenses.document_id WHERE documents.document_type_code = 'CV',Show ids for all documents in type CV without expense budgets.,"SELECT document_id FROM Documents WHERE document_type_code  =  ""CV"" EXCEPT SELECT document_id FROM Documents_with_expenses",tianyi,A1d,zhengning,A1d
308,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,Which states have more than 2 parks?,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;,tianyi,"BL1, BN1",zhengning,"BL1, BN1"
309,SELECT student.lname FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE sportsinfo.onscholarship = 'y',What are the last names for all scholarship students?,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y',tianyi,D1a,zhengning,D1a
310,"SELECT faculty.fname , faculty.lname FROM course JOIN faculty ON course.instructor = faculty.facid WHERE course.cname = 'course.cname'",Find the first name and last name of the instructor of course that has course name,"SELECT T2.Fname ,  T2.Lname FROM COURSE AS T1 JOIN FACULTY AS T2 ON T1.Instructor  =  T2.FacID WHERE T1.CName  =  ""COMPUTER LITERACY""",tianyi,D1,zhengning,D1
311,"SELECT continents.continent , COUNT( * ) FROM countries JOIN continents ON countries.continent = continents.contid GROUP BY continents.continent",What is the name of each continent and how many car makers are there in each one?,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",tianyi,"CE2, CM4",zhengning,"CE2, CM4"
312,"SELECT course.cname FROM course JOIN 3 credits, or 1 ON course.credits = 3 credits, or 1 UNION SELECT course.cname FROM course WHERE course.credits = 1 AND course.hours = 4","What are the names of courses that give either 3 credits, or 1 credit and 4 hours?",SELECT CName FROM COURSE WHERE Credits  =  3 UNION SELECT CName FROM COURSE WHERE Credits  =  1 AND Hours  =  4,tianyi,"F4, E1",zhengning,"F4, E1"
129,SELECT COUNT( * ) FROM model_list JOIN car_makers ON model_list.maker = car_makers.id WHERE car_makers.country = 'United States',What is the count of the car models produced in the United States?,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,tianyi,"CE2, D1c",zhengning,D1c
130,SELECT AVG( gradeconversion.gradepoint ) FROM student WHERE student.lname = 'Smith',What is the average gradepoint for students with the last name Smith?,"SELECT avg(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.LName  =  ""Smith""",tianyi,CE2,zhengning,CE2
131,"SELECT documents.document_name , documents.document_date FROM projects JOIN documents ON projects.project_id = documents.project_id WHERE projects.project_details = 'Graph Database'",Show the document name and the document date for all documents on project with details 'Graph Database project'.,"SELECT document_name ,  document_date FROM Documents AS T1 JOIN projects AS T2 ON T1.project_id  =  T2.project_id WHERE T2.project_details  =  'Graph Database project'",tianyi,D1,zhengning,D1c
132,"SELECT song.f_id , song.genre_is , song.artist_name FROM song WHERE song.languages = 'English' ORDER BY song.rating ASC","What is the id, genre, and name of the artist for every English song ordered by ascending rating?","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",tianyi,D1a,zhengning,D1a
133,SELECT building.name FROM building JOIN institution ON building.building_id = institution.building_id WHERE institution.founded = 2003 EXCEPT SELECT building.name FROM building JOIN institution ON building.building_id = institution.building_id WHERE institution.founded = 2003,Show the names of buildings except for those having an institution founded in 2003.,SELECT name FROM building EXCEPT SELECT T1.name FROM building AS T1 JOIN institution AS T2 ON T1.building_id  =  T2.building_id WHERE T2.founded  =  2003,tianyi,E1,zhengning,A1d
134,"SELECT car_makers.maker , model_list.model FROM car_makers JOIN model_list ON car_makers.id = model_list.maker",What are the makers and models?,"SELECT Maker ,  Model FROM MODEL_LIST;",tianyi,E1,zhengning,"CL1, E1"
